,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
533,ARRDC1,C5orf56,TMEM203,DUSP23,TUBA4A,IGBP1,MYH9,BBX,SDHA,TOR1A,TIGIT,FAM219B,CPD,PAK3,GPR146,SYPL1,TAB2
534,SAP30BP,GET3,TOMM6,MEAF6,MKRN1,NUMA1,CSK,CRIP2,YIPF3,EIF4EBP2,GALC,GPSM2,ACTR2,PCNX2,IPCEF1,B3GNT2,CSK
535,JPT1,COX7A2,BAK1,ADCY7,TBC1D4,SMARCA2,ZC3HAV1,MICAL1,RABGAP1L,TMEM208,MYDGF,RCHY1,STARD3NL,HM13,RASGRF2,BEX2,ECE1
536,ILK,BTG1,RNF166,NEDD9,CNOT7,URI1,EIF4H,PRPF4B,RSRP1,CSK,RAB27A,CYB5R3,SSR4,PRMT5,LINC00653,SCCPDH,NKTR
537,APLP2,PPP2CA,DYNC1H1,SERPINB6,TIAM1,IGFLR1,CMTM6,CTNNB1,ARHGDIB,KEAP1,SERPINB1,HIP1,EIF6,P2RY13,LRRC8C-DT,AKTIP,RAP1A
538,NCKAP1L,CD48,PSMC3,MEX3C,ABRACL,SLTM,HMOX2,TAGAP,AC004687.1,LYSMD2,LMO4,LTC4S,OPTN,PRKCSH,C19orf53,SLC2A4RG,PLCD1
539,RAPGEF1,MAP1LC3B,ARF4,TAP2,SRSF1,BCAS2,EMC3,HUWE1,GET3,UTRN,AKT1,UBE2E3,TAF10,SUDS3,LINC01891,MALSU1,NME3
540,PDIA6,DENND2D,AKAP9,LYAR,CDK5RAP3,PRAG1,PVT1,GSE1,PTPN22,SLC10A3,HEXA,UBE2J1,PPP1R10,ZNF284,PRKN,FXYD5,MRPL34
541,LTBP4,PATL2,EIF5A,NEDD8,KLHDC2,MLLT3,PER1,RAB29,EMC4,TRGV10,KLF13,RASAL3,UBE2S,RAP1GDS1,TNFRSF10D,EBPL,EIF3D
542,SEC11A,NUCB2,PSMA1,PRKACB,PELI1,HIF1A,NR3C1,DRAP1,MSC,SNX6,ARHGEF12,HEATR9,LEMD3,COL6A2,AP003717.4,PSMC5,GALT
543,ZBP1,COX8A,LAMTOR2,SEC11A,MRPL45,CRTC3,HNRNPA3,C12orf65,PSME4,ZBTB7A,HES6,MICAL2,GATAD1,RGS18,SYNE3,NDUFB8,FOSB
544,NAPA,NEDD9,AL021155.5,NUCB1,HAPLN3,CD2AP,PSMA5,KPNA4,SUSD1,WDTC1,VPS16,PRDM8,AC092821.3,NCF2,RBM11,MSL3,GNAS
545,EIF4EBP2,NEAT1,CREB3L2,CCDC88C,FNTA,GABPB1-AS1,FBXL16,HSPH1,TMEM181,METRNL,CYB561D2,RBFOX3,CSNK1G3,FLT4,AC090204.1,DUS1L,TPI1
546,MEAF6,ZMYM5,ZC3H12A,PPP2R5A,SDCBP,RBM4,TMEM35B,ATP5MF,UTS2,GPR65,ST3GAL4,TRBV6-5,LINC02256,HLA-G,TCF3,DAP3,KRTCAP2
547,BRK1,CMTM7,FMNL1,SKAP1,SOD1,TUT4,IDI1,NME2,SUPT4H1,PYCR2,HSP90B1,UBE2C,ICAM1,PCBP3,KRT73-AS1,LONP2,DARS
548,SLA,ALKBH5,CALR,PRR5L,NME3,FOSB,OXA1L,MTPN,PSAP,ABCB1,PTPN6,PSMB6,TYMP,NPEPPS,PATJ,ANKRD26,PGAM1
549,PSMA4,UBN1,NFATC3,RASA3,NDUFA11,R3HDM4,NDUFB3,HEXIM1,SUN2,KDELR2,VPS37B,TPI1,BZW1,AFDN,AC103724.3,TPM3,PIM3
550,PTGER2,HNRNPU,PLEKHG3,NCALD,SMPD1,EIF3A,IRF9,ARID1A,RAB9A,ELOVL1,SYNGR1,ARL6IP1,COMT,GUCD1,AEBP1,TXNL1,C4orf3
551,PTRH1,GRK6,CDC42,SIPA1,P2RY8,TNFRSF25,PSIP1,ATP5MD,TRAV26-1,PDAP1,YWHAQ,IQGAP2,CLASP2,GPT2,SGF29,HNRNPDL,WBP2
552,PARP1,MYO1G,CBLB,TNFRSF1A,RBM6,C12orf10,RARA,CHD9,SBK1,H2AFV,PTK2B,OPTN,RASA2,G0S2,PKIA,MRPS21,PWP1
553,CCNDBP1,NOCT,NDUFB2,ATP6V0D1,SINHCAF,RBBP6,DUSP2,ROCK1,KLRB1,SUN2,CMIP,IGHA1,ELOB,MOB3C,PIM1,PITPNA-AS1,RRS1
554,PTPN1,GBP1,VDAC1,CELF2,PCMTD2,CENPK,MICOS13,PPM1K,NBEAL2,LCK,USB1,IDH2,DIAPH1,TSPAN5,BDH1,CUEDC2,SMAD3
555,FKBP8,ZC3H12A,PERP,ADAR,DPYD,TOMM22,PIK3R1,MACO1,KLRC1,ERH,GSE1,RAD51,STXBP2,PA2G4,SDR42E2,OSGEP,DNAJB9
556,EIF6,HEXIM1,GLIPR2,AUP1,CAND1,RBM39,PSMA7,SNX10,MT1F,DTHD1,IFI16,SMC6,STAM,PIK3AP1,CCNI2,NBEAL1,GSK3A
557,KCNAB2,DUSP23,PSMB10,SRSF9,SLC38A2,LENG8,SDHAF2,TET2,SLC39A7,UBE2E3,RASAL3,AL135791.1,TRAPPC1,CD52,AC233976.1,THEM4,UBE2K
558,CYC1,PCSK7,GATA3,ERH,PNPLA8,VDAC2,ILK,TERF2IP,NDUFB9,MOB1A,CEMIP2,CLECL1,CDC34,HCK,KBTBD11,NDUFAF8,CNPPD1
559,CYB561D2,GCH1,COPZ1,SCLT1,SLC35C2,UBE3A,SEPTIN1,MYCBP2,ETHE1,MICOS13,PARP8,C21orf62-AS1,MAP4K5,ARHGAP26,MXI1,BZW2,EPS15
560,MMP24OS,TOX4,ECH1,MLEC,ARGLU1,TSPYL4,SRSF3,ELOVL5,SMAD7,NAA38,PDE4A,BMT2,CCND3,RALGPS1,TRAV38-2DV8,DHPS,LAMTOR2
561,ATF7IP,PAXX,XRN2,TPP1,SNHG16,SFI1,CD3D,CCT4,PPP3CA,TRAPPC1,SYT11,RUNDC1,SIGLEC7,GNGT2,DISC1,IFNGR2,SLC40A1
562,ZFYVE28,ATP5MF,RASSF1,GABARAPL1,ABHD14B,TIMM13,IRF7,PAIP2,HLA-DQA1,ORAI1,ERBIN,HIST1H3C,RCSD1,SPRY1,HMGA1,MPP7,PHF1
563,TNIP1,SH3BGRL,COPE,SMAD7,ALS2CL,CERS6,RNF166,MFF,CD2BP2,CMTM3,GLUL,GATAD1,RHOA,RHOT1,AC005082.1,RBBP6,RARG
564,MAGED2,DERL1,PIP4K2A,TBXAS1,SRP9,DDX21,THOC3,PSMB10,ISG15,CHST11,KIFC3,TRAV8-6,CST3,ITPKA,LINC00957,ISCU,TC2N
565,COX6A1,YTHDC1,NDUFB4,YPEL3,MDFIC,ZBTB25,MX2,FAM177A1,KAT2B,LRRFIP1,CARD11,SGCE,CEP78,AC092119.3,MINDY1,CCND3,USP46
566,LAMP1,PSMB10,POLR2J,ZFAND3,LGALS3BP,SBNO1,FBXW5,SMCHD1,SLC20A1,RPAIN,RPA2,CCR2,UBA1,POLR2H,PPP1R3F,PCIF1,TXNDC12
567,FBXO6,IRF7,IER3,RNF126,EIF5A,CHRM3-AS2,CNST,SNX14,RGS9,TBCA,RNF165,HIST1H2BF,HDAC7,TBKBP1,HEXD,N4BP3,SERINC5
568,LAMTOR5,HMGN4,MIS18BP1,FASLG,WDR33,ZNF207,SMIM26,NT5E,MAD2L2,RAP1GAP2,TESC,ZNF720,HUWE1,CPNE7,EDEM3,MICOS13,GADD45GIP1
569,UBA1,TC2N,TRANK1,WASF2,DAP3,WHAMM,RBM17,ADORA2A,FDX1,CIR1,HENMT1,ZRANB1,FASLG,CSF3R,GP5,TSTD1,ATP6V0B
570,INPP5D,ATP6V0B,HNRNPAB,GBP4,MAST4,MAP4K4,FAM89B,ZFR,STX4,TMX1,GCHFR,IGKV3D-15,CKLF,CD9,AXIN2,CCNB1IP1,ZNF524
571,UHMK1,LY6E,PTPN4,PTPRJ,FAM118A,WDR36,UBA3,IRF7,TRAV41,PSENEN,GSK3B,TRAV17,PNKP,MRPL3,TRAV2,UQCRC2,CTSH
572,CDC25B,AC245014.3,ATP2B1,UQCR10,RASSF3,CCND2,SNRPD2,DPYD,VEZF1,IGKV3-15,ZNF595,BAIAP3,CTBP1,TSSC4,AL158055.1,SELENOM,CD79B
573,TCIRG1,SRSF4,ATG16L2,DOCK8,CCNG1,ITFG2,ABRACL,PDCD6,LDHA,PLOD1,UCHL5,TESC,AGTPBP1,MRC2,LSM5,ENOSF1,CMTM7
574,MED15,ARHGAP35,SLTM,NCKAP1L,AL138963.4,CDK6,ITM2B,COX6A1,MPST,ARFGAP3,NCKAP1L,TRBV3-1,PSMD8,ENKD1,EIF4A2,IFRD1,MAP4K2
575,REST,RAB9A,CLTA,HMGN3,CCDC59,ACP1,PARP4,CYTH4,MCOLN2,MAGOH,PGAM1,VKORC1,PSMB3,P4HTM,LINC02693,SRM,XBP1
576,MYADM,CIAO2B,SMAD3,DUSP2,UGCG,AP1G2,CDC42EP3,FGFR1OP2,DEK,CLTC,TADA3,NSMCE2,LRBA,INTS1,TRBV6-2,TM7SF2,CSDE1
577,PRELID1,POLR2L,TNFSF14,FEZ1,TRMT1,AGFG1,PHF1,MAP3K2,THAP4,TBCB,IKZF3,ASPM,JARID2,RBM43,ACSS2,PDE7A,DENND10
578,TXNL4A,ATP2A3,SMARCC1,RAMP1,WDR6,YLPM1,HMGA1,NCOR1,PIK3R5,RAP2A,ATP8B4,FGD4,JAK2,BORCS5,AP000977.1,BEX3,IGBP1
579,CMC1,DBI,CDC14A,PSMA2,SNHG3,SON,YWHAB,PLK2,WIPF1,ZNF276,ADA,PLCG2,TSC22D4,DYNLT3,KLF5,NT5DC1,LOXL1
580,TMX4,THRAP3,CLINT1,GPR65,ADAR,DNAJC2,FMNL1,CXCR4,FGL2,TES,XKR8,TMEM160,PDCD6,SLK,AL121787.1,MZT2A,MAP4K1
581,RHOC,HUWE1,DDAH2,BAX,KIAA0040,PPP1R10,CAPZA2,SECISBP2L,MAP2K3,SH3BP1,PAFAH2,XPNPEP3,CAT,MED21,TMPO,ANKRD44,MAP4
582,DNLZ,LITAF,PHB,SH3BP5,RNF111,YME1L1,IK,PI16,IDH3G,SEC11C,SERPINB6,CD70,RBM39,MS4A6A,TNFRSF25,TRAV14DV4,TRAC
583,VTI1B,RSRC2,TMED2,CSK,RICTOR,PTPRCAP,CBLL1,RASSF2,CDC25B,ATRAID,MLEC,TIGD5,SMG1,MZB1,CLUAP1,CAMLG,PSMB1
584,KIF5B,KAT6A,STARD7,PTMS,FNBP4,DAD1,ADD3,TRGV5,MAP1LC3B,ABI1,PYCARD,SPRYD7,PPP2R5E,COMT,LINC01259,SFXN4,ATP5PB
585,ZNHIT1,SH2D2A,APOL6,TMX4,SCAI,CCNY,GDI2,TBCC,TMX1,PDIA6,SH3KBP1,ZNF780A,GEMIN7,HDLBP,PRKAG2-AS1,RIC1,CFAP36
586,CNPPD1,ATP6V0E1,C11orf58,MAP2K3,WASF2,RAB43,RNF125,NUFIP2,CRYZL1,TBPL1,COMMD4,DEF8,TERF2IP,CFAP97,CNOT7,PDLIM2,LTBP4
587,NDUFA12,PRELID1,HCLS1,SELENOK,HAX1,ATIC,RELB,SIVA1,ZBTB44,GIMAP7,ATP6V0D1,AZIN2,TIE1,C17orf67,IL17RA,ZNHIT3,GDPD5
588,BUB3,FMNL1,FOSL2,BATF,HIF1A,RSRC2,KLF12,ADSL,EIF4EBP2,MDH1,TAP1,CAPN3,COQ7,IGKC,LGMN,NPIPB4,PSME1
589,ARL4C,MRPL43,TGIF1,YWHAZ,TECR,PCSK5,CCNDBP1,NDUFS5,BRK1,NDUFA7,TOX,CASK,IDI1,MRPS23,TRBV5-4,NAF1,C19orf53
590,GABARAPL2,TNIP1,RNF125,RNF181,SLC25A3,THOC2,NFKB2,NRBP1,UGP2,ARL5A,B4GALT4,CENPM,NORAD,INTS13,TRAV12-1,ZMYM2,UFD1
591,SELENOK,CREM,ITCH,CTDSP1,EID1,SNHG3,COPS2,NONO,WBP1,SDF2,PSTPIP1,PAQR6,MYDGF,UBE3C,ZNF563,LGALS3BP,IDS
592,AUP1,SRSF5,CMC2,RAB9A,HNRNPH3,SNRPA,MAL,PSD4,CALCOCO1,AKR7A2,SCLT1,TRBV7-9,TRAF5,TLCD3A,PHB2,NDUFV1,ZMIZ1
593,SAT1,FERMT3,ARNTL,ARRB2,STT3B,RTRAF,AC025164.1,HMG20B,TNFSF9,APBB1IP,RALGDS,AC004865.2,MAPKAPK3,AC093535.1,ENO2,WHAMM,STMN3
594,UBE2N,PDLIM1,MIEN1,RHOA,HEBP2,CCDC69,ZNF394,PCM1,FDPS,CALHM6,GPR141,SCD,RAP1GDS1,FAM50A,HABP4,STAT3,LY6E
595,ANP32A,PDLIM2,NAPA,SELENOT,RERE,UBL5,SNX6,PUS7L,COPS6,LINC00342,SBK1,ENO2,HNRNPA2B1,COL5A3,KANK1,MORF4L1,EIF3M
596,HLA-DMA,SELENOF,TAPBP,ATP5MD,NKTR,CUX1,CLPP,NDEL1,CISD3,TMEM165,KIAA2026,HENMT1,MXRA7,ERG,SHISAL2A,DMAC1,SLCO3A1
597,HMGN4,PTPN1,GNL1,APLP2,DNMT3A,PTEN,SON,PECAM1,MEA1,MRPS26,CDC42SE1,ADAM22,LAMP1,CDA,AGMAT,PRAG1,GRK2
598,NONO,CNPPD1,PUF60,THEMIS2,AP3M2,PGK1,PIM1,RPIA,CCDC28B,CTNNB1,YES1,EPS15,BID,WDFY4,ARHGEF11,SMARCA5,TANK
599,RBBP4,GABARAPL2,GTF3C6,CAPN15,AL662844.4,OST4,ATP6V0B,IGFLR1,GTF3C1,PHKG2,SLC25A20,CSTA,NUTF2,EMID1,ATP6V0E2,EIF4EBP3,STK17B
600,NCK1,UQCRC1,PPP1R7,RNF187,LETMD1,UFC1,MPRIP,TOP2B,RGS3,FAM49A,FAM43A,CHN2,MRFAP1,SDHAF1,DDR1,UBXN4,ISG20
601,KPNB1,PTGDR,ATP5MF,LIMK1,RBM39,STAT5A,MX1,MX1,DOCK5,RAB37,FBXO6,RUNX3,RNF213,PIK3C3,IQCK,NME4,CH25H
602,SLC4A7,MARK3,POLR2G,CALHM2,AKTIP,CENPC,SPCS3,GPRIN3,ACTR3,RALBP1,NUCB1,BRCA2,SYTL2,RRP15,PHYKPL,FCGRT,ANKH
603,IDH3G,GALM,NOP58,FUT11,LIMS2,SNHG14,EMC4,CD244,CDC42EP3,HPGD,GNS,TPX2,POLR2G,PZP,ZNF649,ABCD2,ARF6
604,GNB2,PAFAH1B1,PLEKHJ1,TOX,CRBN,MOAP1,DUT,SUPT20H,TRBV6-5,APLP2,CASP8,TRAV8-4,AC253572.2,ARHGAP19,C19orf38,UBA2,SQSTM1
605,KLHDC3,NAMPT,CDC25B,KLRC3,CERS6,ERP29,ECH1,CEBPB,PDE6D,CCDC50,BNC2,IGHG1,CDIP1,KARS,TRAV16,NBDY,OSBPL8
606,IFI16,ILK,BTN3A1,RAD21,SHISAL2A,IK,TANK,WDR82,HLA-F,DYNC1H1,DNAJB6,TROAP,PYCARD,ZCWPW1,LY9,SLC25A39,SHKBP1
607,PRDX1,RNF167,CDK11A,AC044849.1,PHB2,USP15,MYL12B,DDX3Y,ATP6V0C,MAN1A1,PPIL2,MIEF2,CDK5RAP3,MRPS14,SLC5A10,RNF144A,TOMM5
608,PSMA3,SMCHD1,SRPRA,RAB11FIP1,PAICS,BEX2,C1orf43,PTPN7,AHCYL1,CC2D1A,RASSF5,KATNA1,AKAP17A,TECPR2,NUDT4,KAT8,CARMIL2
609,PPP2R2B,TRIM69,UFM1,RIOK3,EXOC7,HMGN3,S1PR4,POGZ,CSTB,HMGB2,LIMK1,ST3GAL5,IFI6,HYAL3,ZNF107,ZNF263,PARVB
610,KLF10,AURKAIP1,MDH2,ITSN2,FXYD5,APBB1IP,TXNL1,NDUFB2,RNF5,HINT2,TRAPPC1,ZEB2-AS1,EIF3I,TMEM64,AL109767.1,MRPS33,RUNX2
611,ATXN1,PSMA5,SEC61A1,PRELID1,PDE4B,ANTKMT,DNPH1,NCALD,BAX,RIC8A,STX7,TRAV24,UBE2O,TMOD3,ABHD14B,UBE2G2,IRS2
612,STXBP2,NOP58,TRAF5,FAM53B,SELPLG,DNTTIP2,YME1L1,HERPUD2,TOMM5,CACNA2D4,CYBC1,RAB9A,AUTS2,DGKG,PAQR8,CPSF6,MAPK1IP1L
613,NDUFA6,PTPRJ,SSBP4,SIGLEC7,SFPQ,ARHGDIB,LINC02273,TCF12,GABARAPL1,SLC25A42,CDC42EP3,FUT10,EVA1B,EIF2B4,DTX1,PER1,ANKRD36
614,COMMD4,STAU1,SEC31A,TRANK1,SULT1B1,GIMAP4,PABPC1,CD3D,TP53I13,CLN3,TBK1,ADCK5,FGFR1OP2,IDH1,IGSF8,KLF9,FBXL8
615,AP2M1,SCAMP2,HLA-B,GSK3B,AC136475.3,FAAP20,BTG3,DYNLL1,AC004865.2,LSM10,GALNT10,COPG1,BEX4,TFPI,AC008914.1,CCT6A,METTL5
616,PTPRCAP,COMMD3,CARD8,RAB5IF,RNPC3,TMEM106B,TRAF1,HSF1,CCDC124,AGPAT4,PDZD4,ZNF823,COMMD8,TMEM128,PFN2,ARHGEF1,TRBV5-1
617,GET3,ARF6,GORASP2,RRBP1,SMIM26,FAM162A,UBQLN1,AF213884.3,SS18L2,SURF1,FGL2,SEMA7A,USB1,NUP62,TMEM45B,ZC3HAV1,AIP
618,FCRL3,RAB8A,MLEC,BRD2,RGS14,SMIM26,NOP56,PPP1R2,SLC27A3,HYI,LRP10,SETD3,GRK6,ATP5MC2,TTC32,PEX6,MBOAT7
619,NCALD,POP4,LMAN1,VPS26B,UBE2H,CMPK1,LPXN,TRAPPC10,KIDINS220,CD164,SRSF9,POLR3K,HNRNPU,C16orf95,KIF16B,SRSF10,PPA1
620,SKAP1,CALM3,OGFR,ICAM2,CDC42,ZNF493,CDR2,PSPC1,ABHD14A,DCTN3,VCPIP1,NT5M,SIK3,RNF40,PSD,CENPK,FOXP3
621,GOLGA4,SZRD1,GALM,ADAM10,SFXN1,TAF15,PPP1R12A,MRPL54,COX6A1,PSMB8,TMED5,XK,CRTAM,TADA2B,CARMIL2,HOOK1,UBE2N
622,LYST,TAF15,CSK,ACTR1A,CHD7,ITM2B,PCSK7,UBE3A,MIF4GD,ARPC1B,PTPRA,TRDV1,PLCH2,ASMTL-AS1,HIST1H3G,NDUFS7,YWHAQ
623,GPR108,RER1,CRY1,STXBP2,ZNF131,ZNF644,TKT,POLR2G,SYT11,ITGAE,TSPAN2,GINS2,SMARCE1,MAZ,CDK5R1,ZNF428,LETMD1
624,NDUFS7,RNF44,KMT2E,SAMD9,ILF3-DT,EPB41L4A-AS1,GAS5,ID3,NDUFA2,CLTA,HIPK1,C1QTNF4,GTF2I,EGFL7,DNAH17,TMEM161B-AS1,LAMTOR4
625,MYO9B,ANKRD12,MMP24OS,PPP4C,ATP5MPL,SNX9,CAMK2G,PHIP,COPE,BAX,KIR2DL4,SPATS2,MIDN,MAFG,TRAV26-1,ZNF22,REX1BD
626,APOL6,BTN3A1,NDUFA6,ITGA5,MAN2A1,LUC7L2,ARL4A,ARHGAP4,RBCK1,GTPBP6,TMEM181,KIF3B,NRDC,CCL3L1,SETD6,DCAKD,TMBIM4
627,CHMP1A,MYO9B,UPP1,FDPS,WDR43,CAMLG,GSTO1,RAB1B,SLC15A4,VPS16,DPP9,LILRB4,SERPINB1,AL162258.2,TRBV6-6,BEX4,FBLN5
628,FERMT3,HDAC1,FAM50A,PILRB,EML4,RAB3GAP1,RABGAP1L,CHD1,SETBP1,NUDT22,DUSP2,GABARAP,CTDSP1,CXorf21,PHF10,KHDRBS1,HAPLN3
629,RGS3,MSN,MLLT6,MOB1A,TRBC2,ATP5MC3,HNRNPK,REX1BD,LINC00944,CAPZB,AK5,LRRC42,TCF25,LYL1,SLC22A23,MXRA8,P2RY8
630,BAX,FAM120AOS,VSIR,KCTD10,PDE4DIP,CHI3L2,DDX39A,SBDS,PSTPIP1,FERMT3,CST3,GDPD1,PARP1,ESPN,LINC01215,MRPL24,PHF11
631,SDHC,TRGC2,MGAT1,RNF166,AKAP17A,QTRT1,DUSP16,ACTR1A,PLAAT4,LINC00539,CD320,AC005520.2,RAB5IF,SPIN4,CENPV,TWF2,RORA
632,EIF2AK2,BST2,GBP1,SRSF11,ZC3H15,ARRB2,ANP32B,PIM3,WDR54,PTGER2,PHLDB2,SLC4A2,ZBP1,ATAD3A,SLC18B1,RASA2,LPAR2
633,SP100,DHX36,IRF9,CIAO1,LCP2,TBC1D10A,ADAM19,KDM5B,GSR,CINP,PPP6R1,BCOR,RNF10,PANX1,EXD2,BLOC1S4,NFIC
634,TRGV10,CCM2,CCSER2,ENPP4,FXR1,ADSL,JPX,ATP5F1B,RNF166,ATP6V0C,IVNS1ABP,NDRG1,PPP1CA,ZNF213,ULK2,TMEM41B,CNIH4
635,BZW1,TRGV2,FLI1,USB1,ESD,ASH1L,RNPEPL1,RABGGTA,OTUB1,PIEZO1,ASL,FAS,PPP3CC,STARD5,ISM1,UBL7,DUSP23
636,TAPBPL,ARHGAP18,LITAF,SACM1L,EP400,BRAF,XAF1,POM121,AZI2,CHRNB1,APOBEC3C,DNAJC15,DYNC1H1,PARD6B,ZNF721,LYRM4,NR3C1
637,TRGV3,CHST11,IFRD1,WAS,DENND2D,MRPS30,UBE2L3,ANKRD44,RNF19A,CDC26,HTT,GFI1,TOX2,AC011611.3,HYKK,CCDC69,SSU72
638,SAP30,KDM2A,GIMAP1,TIPARP,ZRANB2,RAD23A,FERMT3,P2RY8,TRGV5,STOML2,HMGN3,PHF19,VPS28,SEC11C,STX16,OST4,HK1
639,NDRG1,H2AFV,PFN1,ZNF276,DANCR,BTN3A2,STAT5B,NUCKS1,NCOR2,C7orf50,MAFF,ABCF2,FBXO6,ZNF449,IGKV1-5,ZNF331,GABARAPL2
640,SH3BP2,GARS,NEU1,CXCR2,PLAC8,SLC25A39,PPP2CA,ZMIZ1,SFT2D2,RAB5C,KCNAB2,PGP,ZDHHC24,C8orf37,MAST4,C11orf1,SUMO1
641,RALBP1,SLC38A2,ACTR1A,PGLS,AFF3,FKBP5,HDAC1,AMZ2,IL12RB1,VPS37B,IL18R1,SLC31A1,AC245014.3,IGHV1-58,SCML1,BNIP3,EEPD1
642,POLR2K,NT5C,C4orf3,SUPT4H1,LINC00667,SRP9,RSRC2,EWSR1,CEMIP2,TPM4,TRBC2,RNF122,MOB1A,PPP2R2B,KRT73,SNX9,C4orf48
643,RAB2A,CNTRL,ICAM2,NPC1,FUS,VIM,BRD2,PCED1B-AS1,SLC66A3,RHOF,CRY1,GPKOW,MRPL18,ARSB,NPHP3,FKBP1A,NDUFA6
644,COX5A,PPHLN1,PTPN22,STK26,KDM6A,PRPSAP2,SIAH2,UBR4,COMMD1,ENSA,FMNL3,KCNE5,PRRC2A,OSM,TMEM38B,CD9,TRBV7-2
645,DNAJC8,TIMM17B,BZW1,ATRX,GPBP1,CTC1,FAM50A,PCMT1,SEC24C,AP2M1,RAB5C,AC239799.2,AP3B1,IMMP2L,PAXBP1-AS1,CAPN7,CTSA
646,ERH,EIF2AK2,SELENOF,ADGRG5,ARRDC3,SNX6,CIAO2B,SH3YL1,KLF12,DTNBP1,VPS28,AL096870.6,GPR108,LIPT1,NT5C3B,HSF2,HNRNPA0
647,YWHAH,PHB,TUT7,PLOD1,DAZAP2,PRKDC,EIF4G2,GPCPD1,ANXA4,SH3BGRL,TENT5A,NUDT1,SET,ARL11,ING5,IL17RA,CCT6A
648,DRAP1,PHACTR2,CTSA,KCNAB2,EIF3B,TMEM41B,STN1,TENT5C,TRAV23DV6,BCR,PIK3CG,RABGAP1L,PRKCD,AC034238.1,PTPDC1,RIC3,DMTN
649,MXRA7,NCK1,UBE2L3,EIF6,SPOCK2,SYPL1,TRAM1,CENPC,SAR1A,HIGD2A,PPP1R16B,DKK3,SPECC1,MZT2A,LINC02762,OCIAD1,MPRIP
650,DGKZ,KDELR2,LCP2,FLOT1,HBP1,S100B,RNASEK,BST2,CCNDBP1,RETREG2,RAB11FIP4,SEC24D,PLA2G6,CASK,PPP1R35,MRPS15,HNRNPUL1
651,TUBA1C,PFN1,ARPC3,SMIM12,TAF15,UGP2,MORF4L1,CBLB,JPT1,MEAF6,AXIN1,DOK4,RALY,CD300LF,KRTCAP3,NLRP6,GRASP
652,FKBP11,CD63,ARPC2,POLR2K,PARP10,RNF44,CDC42SE2,C19orf53,SLC25A4,STX4,PPP2R5A,SCO2,SLC39A10,DHCR7,RNF212,NUTF2,KIF5B
653,GRAP2,WDR1,NINJ1,RAPGEF1,PTP4A3,TMED4,NDE1,RBL1,IFI35,LPAR5,RGS9,CARHSP1,PHTF1,RRS1,AKR1E2,SLC8B1,RAB11B
654,MOB1A,IRF3,NME1,TMEM109,VAPA,HBP1,GBP5,SUGP2,UTRN,TOM1L2,WDR45,PDLIM7,MIB2,ALCAM,IGKV4-1,CALM3,PTBP3
655,TOX,NMRAL1,PSMD7,RTN4,NSMCE1,SNRPG,FKBP8,CAPZA1,TMX4,KIF19,CBLB,LIN7B,UBL5,SERPINH1,REM2,TBCC,IGKV3-15
656,RPTOR,MAN2A1,PMS1,GLCCI1,LSM5,MRPS21,TAF1D,ACAP1,RNF125,RAC1,ARID5A,LCNL1,TSNAX,HYAL2,PRMT5-AS1,RBM39,MTDH
657,INPP5K,SAMD9L,DDB1,RPA2,PAIP2,RABAC1,LINC-PINT,HSP90AA1,CLSTN1,GTF3C1,WSB1,CLDND1,DEK,ARF6,CKAP4,PARL,SQOR
658,TMBIM4,HCG18,MAPKAPK2,ST8SIA6,SNHG12,SRM,NR1H2,EP400,NFATC3,ATP6AP1,NFIL3,PYCARD,NEIL1,CCDC189,ZNF302,TCF3,SHISA5
659,PPP1R16B,LAX1,IQSEC1,DRAP1,LCK,C19orf53,SF3B5,SPCS3,MANF,AKNA,PCNX4,BCAT1,YPEL3,EXOC3,IGHV1-24,ABCE1,VPS28
660,ATP5PB,SAMD9,GNB1,PSMB3,SSH2,ZNF22,LRIG1,EPC1,AKIRIN2,WDR45,HUWE1,CCDC24,RAB6A,CAMSAP1,ZNF790-AS1,REG4,HTATSF1
661,TYMP,NCKAP1L,SLC25A38,SIRT7,CENPK,ADAR,BUB3,BAG6,HACD4,TSPAN3,VOPP1,KCNK5,STARD7,CEBPA,TENM1,PSMG4,PTTG1IP
662,CLSTN3,NRBP1,TRGC2,GNAI3,ATP5PF,SSU72,AIP,CAP1,ZBP1,PSTPIP1,UNC13D,AC004817.3,BOD1L1,MMS19,NFATC1,ARL6IP4,SURF4
663,CCDC12,RUVBL1,ANXA2R,KDELR2,TAF7,UBA3,CRTAP,ZC3HAV1,MARK4,DTWD1,ZFYVE28,RAB40C,ARAP1,TMEM218,TMEM177,FAM174C,EED
664,CDK17,PHIP,USP28,ACAA2,OCIAD1,JPX,NUB1,PGRMC2,RAC2,NBEAL2,RBM38,MAP3K10,ARFGAP3,TFF3,PELI3,UTP18,IFFO2
665,MVP,BCL2A1,HLA-F,CD2BP2,ST3GAL1,CRBN,BTG1,ERAP2,HMGB2,ATP5ME,PDZD8,PMAIP1,CCNL1,AC010967.1,ALPK1,YPEL2,PHLDA1
