,AML-GZMB CD8 T ,AML-GZMK CD8 T ,AML-MAIT,AML-NK,AML-Naïve CD4 T ,AML-Naïve CD8 T ,AML-T reg,Effector memory CD8 T,GZMB CD8 T ,GZMB DN T,GZMB NK,GZMK CD8 T ,GZMK NK,MAIT,Naïve CD4 T,Naïve CD8 T ,T reg
31,CX3CR1,CCL4,GADD45B,SRGN,FAU,UBA52,INPP4B,TPST2,MYL6,GZMM,FLNA,HLA-DPB1,CLIC1,FLNA,GAS5,UBA52,TSC22D3
32,CD8B,KLRK1,SH2D2A,FGR,GIMAP7,ARMH1,TNFRSF4,TAGLN2,ANXA1,GAPDH,KLRF1,CMC1,GZMA,ZFP36L2,FOXP1,CD3E,CD52
33,TMSB4X,LYAR,PLEK,TRBC1,DGKA,NACA,TRADD,LMNA,KLRD1,TYROBP,RHOC,CYBA,KLRC2,GBP5,COX4I1,S100B,ANXA2
34,ADGRG1,HLA-DRB5,MYO1F,KLRF1,SATB1,BACH2,ANXA2,MATK,CD8B,FLNA,TBX21,GUK1,CEBPD,LTB,CD3E,CD27,JUND
35,CD52,SAT1,HOPX,ABHD17A,RIPOR2,HNRNPA1,LMNA,MYADM,CFL1,IL32,CEBPD,CCL4L2,ZFP36,SYTL2,RGS10,SLC25A6,TNFRSF4
36,HLA-C,GZMM,LAG3,CTSD,RCAN3,CD248,CD69,TRG-AS1,TGFBR3,CALM1,APMAP,KLRG1,TPST2,HLA-A,EIF3E,MALAT1,RNASET2
37,CLIC1,EOMES,IER5,FLNA,TRAT1,LDLRAP1,DNAJB1,MACF1,FCGR3A,HLA-A,HLA-C,HLA-DRA,JAK1,ARL4C,C12orf57,CCR7,ARHGAP15
38,LITAF,TIGIT,CTSC,MATK,SNHG29,THEMIS,PBXIP1,TRGV10,ZEB2,ABHD17A,FGR,TIGIT,CD74,LTK,PFDN5,NDFIP1,ITGB1
39,PFN1,LYST,ERN1,CCL4,ETS1,RGS10,EML4,PPP1R15A,TMSB4X,ZFP36,SRGN,MYL12B,RHOC,GAPDH,LEPROTL1,LEPROTL1,GPR183
40,TGFBR3,B2M,JUN,TTC38,ABLIM1,BTF3,RGS1,IER2,HLA-DPB1,ANXA1,TGFB1,HCST,HSH2D,CD81,PIK3IP1,CD3D,LMNA
41,SYNE2,CXCR4,SRGN,CLIC1,CD4,ATM,CSRNP1,S100A10,LGALS1,S100A6,MATK,XCL2,FGR,SYNE2,LINC01578,ACTN1,PPP1R15A
42,CTSC,PLAAT4,PHACTR2,AOAH,EIF3E,RCAN3,ANXA5,IL2RB,LITAF,KLRC1,ZEB2,HLA-DRB5,ID2,FTL,TMEM123,EIF3E,GATA3
43,MYO1F,CD99,SAMD3,SYNE1,GAS5,PRKCQ-AS1,JUN,ARID5B,EMP3,FCGR3A,PLEK,GNAS,APMAP,ERN1,RNASET2,ARMH1,MIF
44,SRGN,CD2,IER2,FCRL6,LEPROTL1,CD3D,EMP3,CD99,ITGB2,PSMB9,CCL5,ARPC5L,BHLHE40,YWHAH,IL7R,KLRK1,JUNB
45,GNLY,MYADM,IL7R,KLRB1,BCL11B,SNHG29,UBC,BTG2,LSP1,SYNE2,GZMM,CCL3,EOMES,TRAV10,DGKA,EIF3H,LDHB
46,S100A6,HSP90AA1,APOBEC3G,KLRK1,EIF2S3,PECAM1,S100A6,IL7R,HLA-DRB1,ADGRG1,PTGDR,RGS1,SH2D1B,RORC,RCAN3,HNRNPA1,EEF1A1
47,ARPC2,LAG3,HLA-A,GSTP1,ITM2A,FOXP1,NR4A2,IFITM2,C12orf75,CFL1,CD63,TENT5C,GSN,YWHAQ,TLE5,C12orf57,CALM1
48,C12orf75,CD81,LCP1,MYO1F,FHIT,MALAT1,CD2,S100A4,HLA-DPA1,ARL4C,PFN1,ANXA2,OSTF1,ZBTB16,LIMD2,EIF3L,CORO1B
49,S100A10,GUK1,SLC4A10,CD63,IKZF1,TMEM123,CAPN2,PPP2R5C,ZFP36,TBX21,HSH2D,HIST1H1E,PLAC8,PRF1,FXYD5,OXNAD1,SIT1
50,MYL12B,GADD45B,SYTL2,AHNAK,CD27,LEPROTL1,CNN2,ARHGAP15,SYNE2,MATK,CTSD,FYN,NFKBIA,CXCR6,UBA52,EIF4B,PBXIP1
51,KLRK1,FOSB,MATK,ADAM8,PRKCQ-AS1,NDFIP1,ARHGAP15,FCRL3,HCST,MYOM2,MSN,HLA-DQB1,TCIRG1,CCDC107,IL6ST,PDE3B,CD99
52,S1PR5,TUBA4A,CD69,LGALS1,NACA,CD27,SIT1,ISG20,SRGN,SLC9A3R1,IFITM2,HLA-DMA,NCAM1,CDC42EP3,EIF3H,NUCB2,CD40LG
53,TBX21,CBLB,FKBP11,PLAC8,RGS10,TRABD2A,GATA3,TRGC2,GZMM,MYL6,SYNE1,SRGN,ITGAX,PRR5,SF1,THEMIS,LIME1
54,APOBEC3G,STK17A,CTSW,SYNE2,UBALD2,SNRPD2,PLSCR3,SRSF7,PLEK,LSP1,SH2D1B,ACTB,BST2,LYAR,NDFIP1,GYPC,MAL
55,PLAAT4,IDS,S100A6,TGFBR3,OXNAD1,LRRN3,SOCS3,TCF7,SLC9A3R1,TGFBR3,TXNIP,CCL3L1,CD300A,FKBP11,EIF3F,ACTG1,CAPG
