Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
AML3371-M5b-FLT3/ITD-Tri(15),-0.014402011,-0.03130992,0.02295899,0.050479032,0.0012643895,-0.015093949,0.043941937,0.017452246,0.005214073,-0.033066433,0.0068954867,0.004566534,-0.008923503,-0.011850853,0.038055968,0.0074132616,0.014194658,-0.0155475065,-0.020337947,0.013102718,-0.0017286266,-0.0027283635,0.0037557662,0.01171952,-0.011436737,0.015124713,0.020502608,-0.011625799,0.0033083493,-0.007962497,-0.0057217777,-0.03222442,-0.014498632,0.0028594362,-0.0010129408,0.011957639,0.012753155,0.019541442,0.014421975,0.000293655,-0.005093667,0.018257855,-0.00103702,0.0059918477,-0.005593273,0.0019009833,-0.0010612222,-0.013120842,-0.006828796,-0.0037796476
AML3492-M3-PML/RARA,-0.022487653,-0.009236887,-0.018594012,0.08097105,-0.01576757,-0.009259635,-0.0008615286,0.0080305785,-0.016408656,-0.0045308345,-0.012848459,0.0065480075,-0.010238257,-0.0007765381,0.018509367,0.035480313,0.005419568,-0.011628509,-0.022104353,0.0033481296,0.0063705323,-0.012850532,-0.016013606,0.015825244,0.0025542777,0.015098109,0.011718689,0.008930615,0.014094108,-0.0008404692,0.011182651,-0.007791642,-0.018989429,0.0016308811,-0.003994512,0.0148466,-0.009306962,0.0019586084,0.0055231,-0.009430621,-0.0052527236,-0.00022641559,0.0055515566,0.003333025,-0.0015269265,-0.023923896,0.013897129,-0.012138902,-0.018273998,0.0060042916
AML4000-M2-MLLr,0.026002334,-0.01931074,0.034860466,0.034153458,0.07829384,-0.017432617,-5.0919284e-06,0.01812366,-0.054447416,-0.0084639825,-0.005465806,-0.03527158,-0.03618691,0.0010100933,-0.006426909,-0.023846744,-0.038986113,0.03190655,-0.0024164713,-0.009572062,0.012266144,-0.0019017747,0.03140377,0.013751002,0.004451419,0.009999451,0.005736279,0.0063296044,0.018373458,-0.0025136978,-0.027934304,0.022595057,0.0011744736,-0.016818697,-0.006432957,0.031094285,0.00952521,-0.023124395,0.017323973,0.00026909425,-0.015818287,-0.024106761,-0.0039052237,0.010712037,-0.0013610985,-0.017164743,-0.0058575296,0.0033099179,0.007005406,0.0026965535
AML4010-FLT3/ITD,0.05809969,-0.07677733,0.04721589,0.1228501,0.1639512,0.025817469,-0.060762256,-0.030309182,-0.049923517,-0.011721131,-0.08370868,-0.06461291,-0.026854947,0.00043851446,-0.005114142,0.08825958,-0.048266903,0.02146515,0.05136144,-0.0033005225,-0.03556217,0.021738112,0.123570934,-0.035205808,-0.029023848,-0.02282382,0.055584036,0.05997763,0.050581325,0.031577118,0.005800491,-0.00056293415,-0.0046993694,0.013084503,0.023983877,0.08623074,0.06490309,-0.037223145,-0.011912507,0.0030901572,0.010626473,0.009320342,-0.021014975,0.06250638,-0.0556041,0.0011220385,-0.008540078,0.025231699,-0.053601522,-0.034113202
AML4035-M6-MYB/GATA1,-0.037607234,-0.049659096,-0.04974564,-0.003571056,0.021055184,0.017234454,-0.019502368,-0.016051471,0.010128529,0.010384162,-0.005184384,-0.003605036,0.005981157,-0.01697932,-0.011811711,-0.013213983,0.005114368,0.008608793,-0.004815424,0.007834925,-0.0130396765,0.008630459,-0.013083175,0.005427234,0.00025947476,-0.013390805,-0.007604789,-0.007558048,-0.004451142,0.013452227,0.00082366687,-0.019412456,-0.00095763284,-0.0033060734,-0.008601731,-0.006024496,-0.009148998,-0.0038762395,0.002229715,0.0006091548,-0.0010306528,-0.004995229,-0.004510541,-0.005238518,-0.0012153616,-0.017832413,0.0053346874,0.0026455116,3.0488676e-05,0.0027294636
AML4048-M5-MLLr,0.15554695,0.33089033,-0.05152526,-0.24448277,-0.027888363,0.1256782,-0.048733577,-0.066394225,-0.06788439,0.15114966,-0.15165713,-0.07541465,0.044741433,0.039758943,-0.055422537,0.008026202,-0.010066361,0.0939065,0.01650729,0.02213745,0.06713945,-0.032672297,0.06944745,0.0025101737,-0.00772906,0.09225123,0.012478847,-0.019058585,-0.07770914,-0.015537213,0.039869305,-0.0033003516,0.0072705224,-0.02022152,-0.019357825,0.0077976733,0.018848417,0.004136608,0.016690362,0.015013295,0.0014963715,0.022348695,-0.040327433,0.071054496,0.031826098,0.039499488,0.05033785,0.056862853,0.08300031,0.028119525
AML4062-CBFB/MYH11,0.51443595,0.4869482,0.08798422,-0.4024813,0.37443453,0.34180498,-0.17107406,0.059804447,0.1430795,0.028195608,0.089284666,-0.12322137,0.13166733,0.21506107,-0.06597777,-0.09985778,0.088004455,-0.2173269,0.1925668,-0.18994096,0.035635114,0.014243296,0.009730021,0.1914649,0.19805694,0.04042264,-0.27225277,0.26475346,-0.13108376,0.0049137506,0.2534957,0.12153876,0.20849179,-0.18286431,0.08501451,-0.022464527,-0.07809578,0.07379258,-0.061253663,-0.15203765,-0.12336022,-0.1318609,-0.03637865,-0.046264935,0.09815861,0.02295011,0.09409164,-0.09530871,-0.109431215,0.014079284
AML4068-M5b-FLT3/TKD,0.0013387385,0.007758578,0.018847212,-0.03279769,-0.046500687,-0.0039576897,-0.014177371,-0.009621215,-0.010321814,0.006133482,-0.0134055745,0.0067736013,-0.018889064,-0.02281225,-0.002702113,-0.011948065,0.0019779638,-0.017172925,-0.017802404,0.0019730856,0.0048967195,0.003988852,-0.022067515,-0.006387544,-0.0053705024,-0.0077050426,0.009073121,0.0059084957,0.009706567,0.012016109,-0.017796196,-0.024394149,-0.0039439606,-0.002735078,-0.023287574,0.010919803,-0.008234362,-0.0068054483,0.005970582,-0.0095524,-0.011573774,0.004537241,0.011902523,-0.012401812,-0.011384184,0.0002822884,-0.014694535,0.005405376,-0.0018400821,0.010134468
AML4090-M1-Tri(8)/MLLr,0.0150466,-0.04132442,0.017417384,0.05098853,-0.0049099633,-0.0072646555,0.054601803,0.037122913,-0.03111604,-0.0065841675,0.0040333513,0.0127943605,-0.01996324,-0.015333775,0.003717629,-0.010854366,0.012505783,-0.008597421,-0.022452677,-0.0045377626,-0.01638359,0.0030639023,-0.02132736,-0.020253133,0.010070081,-0.011678407,-0.0024408617,0.0078748865,0.007633006,0.010814589,0.004071619,0.0056463405,0.01481422,0.009399353,-0.0019493427,0.025013153,-0.0020215341,0.006959798,0.004520079,0.000554142,0.008873496,0.012203706,0.009348766,0.0027746907,-0.012835594,-0.007470034,0.0022468644,0.004762116,0.000988781,-0.0023615812
AML4102-M1-RUNX1/RUNX1T1,-0.004869191,-0.059838362,0.025520466,0.008340584,-0.03155476,-0.0140243005,0.019570803,-0.018445458,0.0072068917,-0.022374395,0.008179055,-0.018041104,-0.017449085,-0.006131637,-0.015450789,-0.018216096,-0.026556436,-0.0025062452,0.00994731,-0.021492729,-0.014226263,-0.02229301,-0.00055924867,0.04811608,0.018325206,-0.0031138076,0.015870286,-0.027361397,-0.005128645,0.009990315,-0.020335056,-0.03321921,-0.031928584,0.009827296,-0.027566131,-0.03367264,0.0042832685,-0.046642534,-0.0037872244,0.04940916,0.01023636,-0.02297689,5.797512e-05,-0.0037455745,-0.00022044529,-0.007482414,-0.023713753,0.0035129883,0.005271865,-0.003077093
AML4116-M1-NUP98/NSD1,0.007918353,0.10064062,0.013004004,-0.0431702,-0.029162193,0.0047646095,-0.07683085,-0.00062963937,-0.03399036,-0.005722358,0.041313447,0.023864148,-0.034408532,-0.010076839,-0.008454635,0.02263021,0.035192303,0.0051478236,-0.020904377,0.037516028,-0.032727197,-0.019143648,-0.041519202,-0.054350194,-0.027802084,-0.022870112,-0.010650349,0.001987944,-0.018366953,0.0063506262,0.032798395,0.016142305,0.016286403,-0.007009591,0.021876909,0.024357093,0.022387456,0.008531901,-0.019735979,-0.0032399138,-0.0071637346,0.030219678,-0.014645607,0.024046607,-0.015224118,0.0073692356,0.043598484,0.020042341,0.014365832,-0.013736949
AML4127-Tri(8),-0.11639717,-0.11120648,-0.14596581,0.021332717,0.14858906,-0.009987763,0.19952242,-0.02848158,0.10840517,-0.07079086,0.028004557,0.07067336,-0.09203865,-0.14316493,0.157951,0.028576212,0.091694266,-0.067679286,0.099645756,0.019538773,0.033234354,0.108730644,0.04500344,-0.028193843,-0.024504522,-0.035605066,-0.009285565,0.023192521,-0.039483663,-0.03159566,-0.015070237,0.020755835,-0.0029661118,0.016063407,0.022788348,-0.07149089,-0.002637796,-0.026423883,-0.051904302,0.124098785,0.0942142,0.09341337,0.043642964,0.060506225,0.018280663,0.040676516,0.041502304,-0.0034203772,0.0029997928,-0.075543985
AML4192-M5a-Tri(8)/MLLr,-0.05046075,0.06249978,-0.009545442,0.017173033,-0.01970815,-0.01815072,-0.032172676,-0.019620523,-0.019594407,0.025076848,-0.025149513,0.0054731765,0.016892387,-0.0108769955,0.00062898727,0.0031131776,0.009333324,0.019273719,0.0023511713,-0.004569015,-0.01963133,-0.0075378213,0.0015183301,-0.008680934,-0.0066798055,0.007644048,0.00030316206,-0.024067499,-0.002693941,0.012567391,-0.010740256,0.008789188,-0.0028995695,0.008410129,-0.01691928,-0.008663151,0.0029663837,-0.002632338,0.00507344,0.001987715,-0.0037212328,0.00019455832,-0.0034934683,-0.005972786,-0.005406435,0.0057331584,0.0042914734,-0.0040526805,0.00691576,0.006966301
AML4226-M2-NRAS(G12D),-0.02293826,-0.0726074,0.06559593,-0.036683932,-0.01059194,-0.029537143,0.048662193,0.024142662,0.06104066,0.002222901,0.010092394,0.024037823,0.0032239803,0.010816998,-0.003132746,-0.036066458,-0.04846542,-0.048754316,0.01909714,0.011402404,-0.021986313,0.028031541,-0.009008997,0.014890987,-0.00987056,-0.016176915,0.023864176,-0.022073535,-0.011444515,-0.026689423,-0.013943192,-0.05738767,-0.029664213,0.04632488,-0.014728507,-0.13695051,0.00784964,-0.03651262,-0.082786776,0.09461951,0.05438679,-0.024802584,0.03979501,0.04297296,0.06341168,0.0029105498,-0.023759566,0.013319857,0.02960504,-0.021234367
AML4232-M2-RUNX1/RUNX1T1,0.13219817,0.14913787,0.08075617,0.051762417,0.2752089,0.07295562,0.06588901,-0.0581342,0.11786174,0.07096658,-0.08078847,0.014524523,0.05010849,0.0075198323,0.012698702,-0.017628063,-0.012154735,-0.08456682,-0.013322119,-0.077819064,0.100167386,-0.033690218,0.01299905,0.06633927,0.039855167,0.027775949,-0.10556122,0.065548345,-0.024931317,0.04382277,-0.012662,-0.061753556,0.018750235,0.016099565,0.035296492,-0.028478933,-0.013311663,0.014451721,0.0650332,-0.00012658897,0.027265135,0.01518741,-0.055842165,-0.037126485,0.009470007,-0.0090246145,0.010829699,-0.030803662,-0.0016817623,0.037586227
AML4239-M5a-CBFB/MYH11,0.013405124,0.009407084,0.037128966,-0.07393227,0.0077564614,-0.025135165,-0.030522685,0.08971716,-0.055916123,-0.060082633,-0.004117542,-0.040505707,0.014091311,-0.0026462304,0.0014620778,-0.047878753,0.027182987,-0.0031798282,0.021401841,-0.019548807,-0.010994526,-0.0012034692,0.0050174613,0.025207553,0.018927602,0.023199322,-0.027035033,0.019607224,0.00017559229,0.024676787,0.044085644,0.011664545,0.023521906,-0.05049221,0.022073518,0.01683287,-0.01781762,0.0012432098,-0.024099398,-0.013054001,-0.008970951,-0.005726924,-0.009073892,-0.010363617,-0.009043646,0.010935281,0.016128842,-0.012157252,-0.031184873,-0.015876811
AML4264-RUNX1/RUNX1T1,0.015403036,-0.030329106,0.042048708,0.036065623,0.014291254,-0.013942043,0.0067848936,0.0012600685,-0.0045444947,-0.002706748,0.004268486,-0.022720534,-0.011269105,-5.4183325e-05,-0.018988362,-0.028036725,-0.023342652,0.009550598,-0.009503783,-0.009351439,-0.0045510153,-0.014623289,0.0055381213,0.042929728,0.012486332,-0.0067583723,-0.0031298525,-0.004637558,0.0045941505,-0.009163348,-0.011255103,-0.0017105687,-0.009424032,-0.030411785,0.00030392947,0.01548366,-0.0048756017,-0.010862299,0.026662607,0.006174515,-0.0012064778,-0.0030622038,-0.005314692,-0.023367016,-0.017731113,0.0015163979,-0.0034219977,-0.0014154544,-0.0116904415,-0.00250227
AML4271-CBFB/MYH11,0.047006615,-0.044991907,0.022599371,-0.029057868,-0.037732024,-0.013017019,0.041550912,0.032402363,-0.017244235,0.008809987,-0.021393795,0.016645439,0.016366396,-0.0010603388,0.02380789,0.009341134,-0.001135291,-0.040997483,0.021573134,-0.044641666,-0.006647833,0.026791207,-0.015397121,-0.020563185,0.023062158,0.03279746,-0.021564417,-0.031665713,0.0022713912,-0.008564715,-0.006422153,0.011885895,0.022564553,-0.024530767,-0.0051529007,-0.014905097,-0.030691367,-0.0018485211,-0.025078071,-0.032258157,-0.011556724,-0.022087295,0.012280044,-0.003936488,0.011306041,0.008061615,-0.0033159396,-0.011099586,-0.015235925,-0.020621696
AML4304-M2-MLLr,-0.00797251,0.077250935,0.0023526715,0.020831345,-0.032458726,0.008769438,-0.034284525,-0.034667008,-0.018303942,0.022423904,-0.023769837,0.0063680755,0.005648633,-0.02359933,-0.03566867,0.015672296,0.025188554,0.020813413,0.008952726,0.0031290925,-0.018911052,-0.008641124,-0.004965327,-0.023273,-0.009996167,0.00044518407,0.005700701,-0.027348444,-0.010352044,0.019665968,-0.011354795,0.0022695176,0.009297788,0.021299234,0.004384651,0.0030823266,-0.00683607,-0.0076781553,0.010662816,-0.0019300724,0.0013323852,0.010295127,-0.011736618,0.007808679,0.010221568,0.004472079,0.009606544,0.007732919,-0.006786721,-0.0020680134
AML4363-MPAL-BCR/ABL,-0.002021659,-0.07261594,-0.009022308,-0.06512529,-0.073533125,-0.0022873527,0.0029231105,0.040414605,0.040725473,0.052793268,0.015270095,0.01733491,0.043015443,0.054875664,-0.05104116,0.030819932,-0.003085741,0.01987386,0.014900763,0.023879208,0.030271674,-0.018994289,0.02358785,-0.007161006,-0.010226435,0.00216138,0.022788981,0.005008628,0.01250044,-0.018587481,-0.013996902,0.029830193,-0.0049705063,0.00935364,0.0073016016,-0.005571261,7.941774e-05,0.016423842,0.021121921,-0.01424878,-0.000983578,0.024070295,0.012728738,-0.031629648,-0.00061112794,0.00054479565,-0.018399928,-0.012032445,0.0022516071,0.013757365
