"","normalized_mcc","f1","thresholds","Factor"
"111",NA,0.241578861167222,0,"CHI3L2"
"112",NA,NA,Inf,"PPM1J"
"113",0.488878377693567,0.00402414486921529,1,"PPM1J"
"114",NA,0.241578861167222,0,"PPM1J"
"115",NA,NA,Inf,"CD2"
"116",0.463748340599478,0.0189849522679467,1,"CD2"
"117",NA,0.241578861167222,0,"CD2"
"118",NA,NA,Inf,"CD101"
"119",0.494480409192861,0.0106678045658204,1,"CD101"
"120",NA,0.241578861167222,0,"CD101"
"121",NA,NA,Inf,"FCGR1B"
"122",0.519176112541815,0.0669605775988755,1,"FCGR1B"
"123",NA,0.241578861167222,0,"FCGR1B"
"124",NA,NA,Inf,"FAM72B"
"125",0.486536795296903,0.014622040378295,1,"FAM72B"
"126",NA,0.241578861167222,0,"FAM72B"
"127",NA,NA,Inf,"CD160"
"128",0.484744611731316,0.00558035714285714,1,"CD160"
"129",NA,0.241578861167222,0,"CD160"
"130",NA,NA,Inf,"FCGR1A"
"131",0.554083027291981,0.211231680428862,1,"FCGR1A"
"132",NA,0.241578861167222,0,"FCGR1A"
"133",NA,NA,Inf,"MTMR11"
"134",0.518233170372462,0.0832285491886713,1,"MTMR11"
"135",NA,0.241578861167222,0,"MTMR11"
"136",NA,NA,Inf,"OTUD7B"
"137",0.517250067264529,0.0524354538195369,1,"OTUD7B"
"138",NA,0.241578861167222,0,"OTUD7B"
"139",NA,NA,Inf,"ECM1"
"140",0.506108863891765,0.0841758241758242,1,"ECM1"
"141",NA,0.241578861167222,0,"ECM1"
"142",NA,NA,Inf,"HORMAD1"
"143",0.523070500076323,0.0521880945909214,1,"HORMAD1"
"144",NA,0.241578861167222,0,"HORMAD1"
"145",NA,NA,Inf,"SELENBP1"
"146",0.578975441619215,0.299929922915207,1,"SELENBP1"
"147",NA,0.241578861167222,0,"SELENBP1"
"148",NA,NA,Inf,"S100A16"
"149",0.506959824494253,0.0897836150285284,1,"S100A16"
"150",NA,0.241578861167222,0,"S100A16"
"151",NA,NA,Inf,"S100A1"
"152",0.495299799169915,0.0322894378525579,1,"S100A1"
"153",NA,0.241578861167222,0,"S100A1"
"154",NA,NA,Inf,"KCNN3"
"155",0.496666299580326,0.000897598922881293,1,"KCNN3"
"156",NA,0.241578861167222,0,"KCNN3"
"157",NA,NA,Inf,"PKLR"
"158",0.480110519869181,0.00410312521370444,1,"PKLR"
"159",NA,0.241578861167222,0,"PKLR"
"160",NA,NA,Inf,"BGLAP"
"161",0.504920659655968,0.0768927222504087,1,"BGLAP"
"162",NA,0.241578861167222,0,"BGLAP"
"163",NA,NA,Inf,"NTRK1"
"164",0.554024496930154,0.134743674499669,1,"NTRK1"
"165",NA,0.241578861167222,0,"NTRK1"
"166",NA,NA,Inf,"LINC02772"
"167",0.488570044291322,0.0138964577656676,1,"LINC02772"
"168",NA,0.241578861167222,0,"LINC02772"
"169",NA,NA,Inf,"FCRL5"
"170",0.487187505704913,0.00130491518051327,1,"FCRL5"
"171",NA,0.241578861167222,0,"FCRL5"
"172",NA,NA,Inf,"FCRL3"
"173",0.479480051680989,0.00179731784874879,1,"FCRL3"
"174",NA,0.241578861167222,0,"FCRL3"
"175",NA,NA,Inf,"FCRL2"
"176",0.486949633092911,0.000437031102046762,1,"FCRL2"
"177",NA,0.241578861167222,0,"FCRL2"
"178",NA,NA,Inf,"FCRL1"
"179",0.47961795232928,0.00111226972540841,1,"FCRL1"
"180",NA,0.241578861167222,0,"FCRL1"
"181",NA,NA,Inf,"CD1D"
"182",0.507402141810877,0.0653263297711767,1,"CD1D"
"183",NA,0.241578861167222,0,"CD1D"
"184",NA,NA,Inf,"CD1C"
"185",0.481091642183362,0.00318493387800319,1,"CD1C"
"186",NA,0.241578861167222,0,"CD1C"
"187",NA,NA,Inf,"CD1E"
"188",0.488663824639843,0.00217706821480406,1,"CD1E"
"189",NA,0.241578861167222,0,"CD1E"
"190",NA,NA,Inf,"SPTA1"
"191",0.517184835416043,0.121309178260434,1,"SPTA1"
"192",NA,0.241578861167222,0,"SPTA1"
"193",NA,NA,Inf,"PYHIN1"
"194",0.502448474263805,0.0759268523150464,1,"PYHIN1"
"195",NA,0.241578861167222,0,"PYHIN1"
"196",NA,NA,Inf,"AIM2"
"197",0.495602086719039,0.0109827414063614,1,"AIM2"
"198",NA,0.241578861167222,0,"AIM2"
"199",NA,NA,Inf,"ACKR1"
"200",0.48220531608574,0.00681895669962496,1,"ACKR1"
"201",NA,0.241578861167222,0,"ACKR1"
"202",NA,NA,Inf,"FCRL6"
"203",0.480108821271468,0.00248773408886739,1,"FCRL6"
"204",NA,0.241578861167222,0,"FCRL6"
"205",NA,NA,Inf,"LINC01133"
"206",0.504624232728217,0.0374117960324857,1,"LINC01133"
"207",NA,0.241578861167222,0,"LINC01133"
"208",NA,NA,Inf,"SLAMF6"
"209",0.494087252172029,0.0404140581416971,1,"SLAMF6"
"210",NA,0.241578861167222,0,"SLAMF6"
"211",NA,NA,Inf,"SLAMF1"
"212",0.485233667763717,0.00559518813820115,1,"SLAMF1"
"213",NA,0.241578861167222,0,"SLAMF1"
"214",NA,NA,Inf,"SLAMF7"
"215",0.479806926950081,0.00541455160744501,1,"SLAMF7"
"216",NA,0.241578861167222,0,"SLAMF7"
"217",NA,NA,Inf,"LY9"
"218",0.485087385423448,0.0606972400913053,1,"LY9"
"219",NA,0.241578861167222,0,"LY9"
"220",NA,NA,Inf,"FCGR2A"
"221",0.548518667139231,0.200773207071804,1,"FCGR2A"
"222",NA,0.241578861167222,0,"FCGR2A"
"223",NA,NA,Inf,"HSPA6"
"224",0.513573853528646,0.0487351437487551,1,"HSPA6"
"225",NA,0.241578861167222,0,"HSPA6"
"226",NA,NA,Inf,"FCGR3A"
"227",0.473935609852907,0.0109945027486257,1,"FCGR3A"
"228",NA,0.241578861167222,0,"FCGR3A"
"229",NA,NA,Inf,"FCGR3B"
"230",0.488489942798156,0.00203222528668892,1,"FCGR3B"
"231",NA,0.241578861167222,0,"FCGR3B"
"232",NA,NA,Inf,"FCGR2B"
"233",0.494825588904103,0.0472744814278823,1,"FCGR2B"
"234",NA,0.241578861167222,0,"FCGR2B"
"235",NA,NA,Inf,"FCRLA"
"236",0.4766337735756,0.00567731713757592,1,"FCRLA"
"237",NA,0.241578861167222,0,"FCRLA"
"238",NA,NA,Inf,"OLFML2B"
"239",0.492622141767346,0.0241315300981172,1,"OLFML2B"
"240",NA,0.241578861167222,0,"OLFML2B"
"241",NA,NA,Inf,"SH2D1B"
"242",0.484469604142033,0.00128746155496746,1,"SH2D1B"
"243",NA,0.241578861167222,0,"SH2D1B"
"244",NA,NA,Inf,"DUSP27"
"245",0.513674797699824,0.0548764629388817,1,"DUSP27"
"246",NA,0.241578861167222,0,"DUSP27"
"247",NA,NA,Inf,"XCL2"
"248",0.481731699563277,0.00210039907582441,1,"XCL2"
"249",NA,0.241578861167222,0,"XCL2"
"250",NA,NA,Inf,"XCL1"
"251",0.488403314673502,0.0023176649525603,1,"XCL1"
"252",NA,0.241578861167222,0,"XCL1"
"253",NA,NA,Inf,"F5"
"254",0.493634290349923,0.011844331641286,1,"F5"
"255",NA,0.241578861167222,0,"F5"
"256",NA,NA,Inf,"FASLG"
"257",0.487856689576741,0.000292825768667643,1,"FASLG"
"258",NA,0.241578861167222,0,"FASLG"
"259",NA,NA,Inf,"RGS16"
"260",0.500888894247028,0.0196477440179636,1,"RGS16"
"261",NA,0.241578861167222,0,"RGS16"
"262",NA,NA,Inf,"NPL"
"263",0.512737891059817,0.0749131008030684,1,"NPL"
"264",NA,0.241578861167222,0,"NPL"
"265",NA,NA,Inf,"GPR25"
"266",0.489262331145631,0,1,"GPR25"
