"","normalized_mcc","f1","thresholds","Factor"
"113",0.637880080480177,0.270691333982473,1,"PPM1J"
"114",NA,0.0079576963912053,0,"PPM1J"
"115",NA,NA,Inf,"CD2"
"116",0.499986876224061,0.00743099787685775,1,"CD2"
"117",NA,0.0079576963912053,0,"CD2"
"118",NA,NA,Inf,"CD101"
"119",0.498045684058329,0.00170648464163823,1,"CD101"
"120",NA,0.0079576963912053,0,"CD101"
"121",NA,NA,Inf,"FCGR1B"
"122",0.497091157211585,0.00289645184648805,1,"FCGR1B"
"123",NA,0.0079576963912053,0,"FCGR1B"
"124",NA,NA,Inf,"FAM72B"
"125",0.496483224871889,0.00099009900990099,1,"FAM72B"
"126",NA,0.0079576963912053,0,"FAM72B"
"127",NA,NA,Inf,"CD160"
"128",0.498237912993476,0.0027643400138217,1,"CD160"
"129",NA,0.0079576963912053,0,"CD160"
"130",NA,NA,Inf,"FCGR1A"
"131",0.490954308707402,0.00117164616285882,1,"FCGR1A"
"132",NA,0.0079576963912053,0,"FCGR1A"
"133",NA,NA,Inf,"MTMR11"
"134",0.496146901923003,0.00262329485834208,1,"MTMR11"
"135",NA,0.0079576963912053,0,"MTMR11"
"136",NA,NA,Inf,"OTUD7B"
"137",0.496310369038092,0.000935016362786349,1,"OTUD7B"
"138",NA,0.0079576963912053,0,"OTUD7B"
"139",NA,NA,Inf,"ECM1"
"140",0.493034663192746,0.000376576915835059,1,"ECM1"
"141",NA,0.0079576963912053,0,"ECM1"
"142",NA,NA,Inf,"HORMAD1"
"143",0.496780734208077,0.00109469074986316,1,"HORMAD1"
"144",NA,0.0079576963912053,0,"HORMAD1"
"145",NA,NA,Inf,"SELENBP1"
"146",0.485085168711486,0.0016380655226209,1,"SELENBP1"
"147",NA,0.0079576963912053,0,"SELENBP1"
"148",NA,NA,Inf,"S100A16"
"149",0.493810311195256,0.00140622253471612,1,"S100A16"
"150",NA,0.0079576963912053,0,"S100A16"
"151",NA,NA,Inf,"S100A1"
"152",0.49633830157091,0.0015785319652723,1,"S100A1"
"153",NA,0.0079576963912053,0,"S100A1"
"154",NA,NA,Inf,"KCNN3"
"155",0.501643317037095,0.00416666666666667,1,"KCNN3"
"156",NA,0.0079576963912053,0,"KCNN3"
"157",NA,NA,Inf,"PKLR"
"158",0.49623356962059,0,1,"PKLR"
"159",NA,0.0079576963912053,0,"PKLR"
"160",NA,NA,Inf,"BGLAP"
"161",0.493812649124828,0.000824742268041237,1,"BGLAP"
"162",NA,0.0079576963912053,0,"BGLAP"
"163",NA,NA,Inf,"NTRK1"
"164",0.493986090392724,0,1,"NTRK1"
"165",NA,0.0079576963912053,0,"NTRK1"
"166",NA,NA,Inf,"LINC02772"
"167",0.496153611869133,0,1,"LINC02772"
"168",NA,0.0079576963912053,0,"LINC02772"
"169",NA,NA,Inf,"FCRL5"
"170",0.514508414847052,0.0331491712707182,1,"FCRL5"
"171",NA,0.0079576963912053,0,"FCRL5"
"172",NA,NA,Inf,"FCRL3"
"173",0.49720610972242,0.00126823081800888,1,"FCRL3"
"174",NA,0.0079576963912053,0,"FCRL3"
"175",NA,NA,Inf,"FCRL2"
"176",0.501423202154657,0.00714285714285714,1,"FCRL2"
"177",NA,0.0079576963912053,0,"FCRL2"
"178",NA,NA,Inf,"FCRL1"
"179",0.497356288649147,0.00133689839572193,1,"FCRL1"
"180",NA,0.0079576963912053,0,"FCRL1"
"181",NA,NA,Inf,"CD1D"
"182",0.495866744444828,0.00217746325530757,1,"CD1D"
"183",NA,0.0079576963912053,0,"CD1D"
"184",NA,NA,Inf,"CD1C"
"185",0.498749443617967,0.00386100386100386,1,"CD1C"
"186",NA,0.0079576963912053,0,"CD1C"
"187",NA,NA,Inf,"CD1E"
"188",0.498842540051768,0.00224466891133558,1,"CD1E"
"189",NA,0.0079576963912053,0,"CD1E"
"190",NA,NA,Inf,"SPTA1"
"191",0.492320252795449,0.000845904412801354,1,"SPTA1"
"192",NA,0.0079576963912053,0,"SPTA1"
"193",NA,NA,Inf,"PYHIN1"
"194",0.492827232631353,0,1,"PYHIN1"
"195",NA,0.0079576963912053,0,"PYHIN1"
"196",NA,NA,Inf,"AIM2"
"197",0.49720501242599,0,1,"AIM2"
"198",NA,0.0079576963912053,0,"AIM2"
"199",NA,NA,Inf,"ACKR1"
"200",0.496174500583321,0,1,"ACKR1"
"201",NA,0.0079576963912053,0,"ACKR1"
"202",NA,NA,Inf,"FCRL6"
"203",0.498680996589278,0.00379266750948167,1,"FCRL6"
"204",NA,0.0079576963912053,0,"FCRL6"
"205",NA,NA,Inf,"LINC01133"
"206",0.495703224058341,0,1,"LINC01133"
"207",NA,0.0079576963912053,0,"LINC01133"
"208",NA,NA,Inf,"SLAMF6"
"209",0.494955993548702,0.00061652281134402,1,"SLAMF6"
"210",NA,0.0079576963912053,0,"SLAMF6"
"211",NA,NA,Inf,"SLAMF1"
"212",0.499930570202583,0.0056777856635912,1,"SLAMF1"
"213",NA,0.0079576963912053,0,"SLAMF1"
"214",NA,NA,Inf,"SLAMF7"
"215",0.551764945784248,0.0890774125132556,1,"SLAMF7"
"216",NA,0.0079576963912053,0,"SLAMF7"
"217",NA,NA,Inf,"LY9"
"218",0.526861798030982,0.0322530139345546,1,"LY9"
"219",NA,0.0079576963912053,0,"LY9"
"220",NA,NA,Inf,"FCGR2A"
"221",0.493208126817888,0.00276352151598895,1,"FCGR2A"
"222",NA,0.0079576963912053,0,"FCGR2A"
"223",NA,NA,Inf,"HSPA6"
"224",0.49687274358546,0.00184162062615101,1,"HSPA6"
"225",NA,0.0079576963912053,0,"HSPA6"
"226",NA,NA,Inf,"FCGR3A"
"227",0.496576948086938,0.00256492465533825,1,"FCGR3A"
"228",NA,0.0079576963912053,0,"FCGR3A"
"229",NA,NA,Inf,"FCGR3B"
"230",0.497709387278512,0,1,"FCGR3B"
"231",NA,0.0079576963912053,0,"FCGR3B"
"232",NA,NA,Inf,"FCGR2B"
"233",0.495390484944656,0.00162381596752368,1,"FCGR2B"
"234",NA,0.0079576963912053,0,"FCGR2B"
"235",NA,NA,Inf,"FCRLA"
"236",0.5318438634629,0.0540061974324923,1,"FCRLA"
"237",NA,0.0079576963912053,0,"FCRLA"
"238",NA,NA,Inf,"OLFML2B"
"239",0.495626214490728,0,1,"OLFML2B"
"240",NA,0.0079576963912053,0,"OLFML2B"
"241",NA,NA,Inf,"SH2D1B"
"242",0.499209863515588,0.00366300366300366,1,"SH2D1B"
"243",NA,0.0079576963912053,0,"SH2D1B"
"244",NA,NA,Inf,"DUSP27"
"245",0.496398461708375,0.00160578081091931,1,"DUSP27"
"246",NA,0.0079576963912053,0,"DUSP27"
"247",NA,NA,Inf,"XCL2"
"248",0.497556221248183,0.00143472022955524,1,"XCL2"
"249",NA,0.0079576963912053,0,"XCL2"
"250",NA,NA,Inf,"XCL1"
"251",0.49875256049609,0.00217864923747277,1,"XCL1"
"252",NA,0.0079576963912053,0,"XCL1"
"253",NA,NA,Inf,"F5"
"254",0.49691419323342,0,1,"F5"
"255",NA,0.0079576963912053,0,"F5"
"256",NA,NA,Inf,"FASLG"
"257",0.499299440634146,0.00259403372243839,1,"FASLG"
"258",NA,0.0079576963912053,0,"FASLG"
"259",NA,NA,Inf,"RGS16"
"260",0.517311346741613,0.0367107195301028,1,"RGS16"
"261",NA,0.0079576963912053,0,"RGS16"
"262",NA,NA,Inf,"NPL"
"263",0.494387235873751,0.000526731630234396,1,"NPL"
"264",NA,0.0079576963912053,0,"NPL"
"265",NA,NA,Inf,"GPR25"
"266",0.498296020589257,0,1,"GPR25"
"267",NA,0.0079576963912053,0,"GPR25"
"268",NA,NA,Inf,"SHISA4"
"269",0.497396406380572,0.00135593220338983,1,"SHISA4"
"270",NA,0.0079576963912053,0,"SHISA4"
"271",NA,NA,Inf,"NUAK2"
"272",0.503121571601575,0.0113343637300361,1,"NUAK2"
"273",NA,0.0079576963912053,0,"NUAK2"
"274",NA,NA,Inf,"CTSE"
"275",0.497165687343164,0,1,"CTSE"
"276",NA,0.0079576963912053,0,"CTSE"
"277",NA,NA,Inf,"CR2"
"278",0.498508915043553,0.00200601805416249,1,"CR2"
"279",NA,0.0079576963912053,0,"CR2"
"280",NA,NA,Inf,"CR1L"
"281",0.496306494205115,0,1,"CR1L"
"282",NA,0.0079576963912053,0,"CR1L"
"283",NA,NA,Inf,"G0S2"
"284",0.498370327902381,0.00495509445648808,1,"G0S2"
"285",NA,0.0079576963912053,0,"G0S2"
"286",NA,NA,Inf,"PTPN14"
"287",0.493700175334873,0,1,"PTPN14"
"288",NA,0.0079576963912053,0,"PTPN14"
"289",NA,NA,Inf,"MARC2"
"290",0.495267669767463,0,1,"MARC2"
"291",NA,0.0079576963912053,0,"MARC2"
"292",NA,NA,Inf,"SIPA1L2"
"293",0.496894503266259,0.00377002827521206,1,"SIPA1L2"
"294",NA,0.0079576963912053,0,"SIPA1L2"
"295",NA,NA,Inf,"SLC35F3"
"296",0.686301747507366,0.364217252396166,1,"SLC35F3"
"297",NA,0.0079576963912053,0,"SLC35F3"
"298",NA,NA,Inf,"AL391832.2"
"299",0.500408992455603,0.00776531492666091,1,"AL391832.2"
"300",NA,0.0079576963912053,0,"AL391832.2"
"301",NA,NA,Inf,"NID1"
"302",0.494230812893789,0.000505305709954523,1,"NID1"
"303",NA,0.0079576963912053,0,"NID1"
"304",NA,NA,Inf,"KIF26B"
"305",0.496877377487773,0.00307219662058372,1,"KIF26B"
