normalized_mcc,f1,thresholds,Factor
0.9999999999999999,1,1,AML
0.5529252052191522,0.1443959003104993,1,PTAFR
0.5627543588753054,0.167495043320025,1,COL9A2
0.5538418094081579,0.12399777282850778,1,ARTN
0.5513884647599802,0.2322214740767597,1,AK5
0.5772070696899974,0.216525647805394,1,FCGR1A
0.5557992513803713,0.1273904825439182,1,ECM1
0.5563588356945502,0.11794642357809966,1,BGLAP
0.5811337845829075,0.29576122397792826,1,MNDA
0.5513309371264367,0.1825682789289685,1,FCGR2A
0.5537702660681157,0.16795029710743242,1,NCF2
0.5842572239207078,0.2575544578717257,1,RGS18
0.5506042354326324,0.10006492223445394,1,PTPN14
0.564722192434562,0.15386724050494113,1,LINC01341
0.5503234856151079,0.1874115794250327,1,RBKS
0.550778769815122,0.12616841900581954,1,RASGRP3
0.5619412509455841,0.14805855267679197,1,RFX8
0.57365704683574,0.2870510111681256,1,KYNU
0.5629151174918973,0.14731774415405777,1,CACNB4
0.5613241440145279,0.1344605363453676,1,SNORC
0.5609101455215815,0.14347724234866127,1,IL5RA
0.5671257774192632,0.2564588886610621,1,UBE2E2
0.5588037245383688,0.13457597075278346,1,LAMB2
0.6149087271529708,0.3921782801239507,1,STAB1
0.5522073981745693,0.42828026328978586,1,CD96
0.5515337688092937,0.12444024142630657,1,SLC15A2
0.5940831814953274,0.33662008059675896,1,CSTA
0.5732149899378862,0.2756636158507213,1,SHOX2
0.5623476563373713,0.158445318474817,1,WDR49
0.5678136542014549,0.2670500814332248,1,PLD1
0.557937685133363,0.11739191269063944,1,NDST3
0.581244865652619,0.2435922443724886,1,TLR2
0.5524263129762353,0.1237457728544192,1,IRX1
0.5555128236737211,0.16038108200068052,1,CD180
0.5520676556471114,0.1309617808807436,1,ZNF608
0.5510714400395361,0.0953769498626957,1,PITX1
0.5579402254808705,0.2738928179720888,1,ADRB2
0.5776431072356261,0.24309263084057522,1,CSF1R
0.556043832268705,0.13664441772729158,1,NDST1
0.5666221042912262,0.24016793873346207,1,HRH2
0.5831598237948833,0.24911834871901256,1,COL23A1
0.5509671133603302,0.09719335454224107,1,FOXC1
0.5711407872185581,0.21784970610717205,1,F13A1
0.5859481240474027,0.37145573380867497,1,LY86
0.5598721751881237,0.12628442538497953,1,MDFI
0.55128873360646,0.09877519883594446,1,CAPN11
0.5598232195737428,0.13181994782705223,1,LINC01268
0.5501843546544418,0.1212686827039601,1,AL121933.2
0.5751179023830597,0.19296245120266153,1,THSD7A
0.5568656367917807,0.14015585132059857,1,IGF2BP3
0.554414521918358,0.18458654168061597,1,TRGC2
0.5679327954303209,0.23314226159458049,1,TRGC1
0.5666435535051664,0.2996347735347462,1,TRG.AS1
0.5616021756291469,0.13615784008307372,1,CAV1
0.5701792711066118,0.1870050952502588,1,TMEM176B
0.5508436678415651,0.10812101463524255,1,ANGPT2
0.5596702346881153,0.27026753526026187,1,DLC1
0.5731546021567636,0.19110383335122946,1,STAR
0.5584291628145186,0.13084812568525944,1,SLCO5A1
0.5593907539920265,0.16014283377855312,1,MROH6
0.561989698933505,0.16721209076219057,1,AL512625.3
0.5711709108178052,0.17014219298007122,1,MAMDC2
0.5869824429849604,0.3018428564274626,1,PTGDS
0.5632945604454012,0.1469046275783303,1,AL392086.3
0.5687030703573687,0.1694072242002555,1,WT1
0.5560547966685374,0.11582233296471016,1,WT1.AS
0.5757555389435147,0.23812872808731214,1,MS4A3
0.579131259957347,0.30110211061046693,1,MS4A6A
0.5547435678826592,0.14149176444664793,1,MS4A4E
0.5737688673206117,0.22109600221148654,1,MS4A7
0.561224000219309,0.13484080139662483,1,AP005273.2
0.5879627189851969,0.2673817374680848,1,NRXN2
0.5577942038628954,0.1322371339840284,1,PIWIL4
0.5905507558146056,0.3306887404205148,1,CACNA2D4
0.5743529876569383,0.20922023461967193,1,CLECL1
0.5533950577877691,0.197598035963108,1,EPS8
0.5809273544896242,0.25069875776397516,1,STAC3
0.5559729186131022,0.1324040846299863,1,CSRP2
0.5604032753749937,0.1605855333996647,1,TMTC2
0.5579459236576594,0.13134494000138727,1,HAL
0.6171005719456558,0.3813244493444862,1,AC125603.2
0.6048896374942834,0.31692638098092096,1,CCNA1
0.5667208317535948,0.1731248645133319,1,POU4F1
0.5690144375449047,0.21834026644199883,1,RNASE3
0.5629013747694709,0.1600327488572013,1,CEBPE
0.5501054540769557,0.1398697669296108,1,SERPINA1
0.586995087380741,0.28450122302067093,1,AMN
0.5616581532758675,0.1657719853770572,1,GOLGA8N
0.5640757600216452,0.17423063916131215,1,LTK
