normalized_mcc,f1,thresholds,Factor
0.9999999999999999,1,1,AML
0.5362785299851045,0.05495649157295251,1,SAMD11
0.5146787602920692,0.07386444438123951,1,TNFRSF18
0.5316150158631308,0.1161310053380783,1,TNFRSF4
0.5171530259305906,0.0881726797219755,1,DVL1
0.5027580746275773,0.059519038076152296,1,MORN1
0.5387192622271213,0.08666411271442559,1,MMEL1
0.5107964201793305,0.07301054786341797,1,UTS2
0.511412677524404,0.01664874103104327,1,RBP7
0.5235270445223826,0.14461437979644043,1,FBXO6
0.5112743251565934,0.008586486646532835,1,TNFRSF8
0.5434930596755709,0.07668014690121322,1,TMEM51
0.5191538815843387,0.023121557106132944,1,PADI2
0.522003311036666,0.02729484886686798,1,ARHGEF10L
0.5339562366805843,0.1047026511966818,1,CDA
0.5476890996792727,0.10979952334221224,1,KIF17
0.5077938629661882,0.0036515853224082656,1,C1QA
0.5129943956239088,0.14163836435266947,1,GALE
0.5086885146829282,0.06583586712917362,1,PAFAH2
0.5017324448915637,0.0061633281972265025,1,CNKSR1
0.5133357601999687,0.06167072646510962,1,MAP3K6
0.5047116348492454,0.17792974164675443,1,FGR
0.5529252052191522,0.1443959003104993,1,PTAFR
0.5097588658428195,0.03255590075701221,1,SERINC2
0.5253648565788935,0.06464194556769623,1,DLGAP3
0.5350201605001595,0.08535270415980932,1,MANEAL
0.5081072756388414,0.016555218428727134,1,BMP8B
0.5043674762151532,0.0045389818440726235,1,OXCT2
0.5085173509457847,0.009026339153595738,1,MYCL
0.5627543588753054,0.167495043320025,1,COL9A2
0.5538418094081579,0.12399777282850778,1,ARTN
0.5397138532935941,0.10353641751636188,1,CCDC24
0.5275619809871693,0.11700872847369664,1,TMEM53
0.5220192163806878,0.1587263102598295,1,ECHDC2
0.5037228704492861,0.009169834203481579,1,LINC02812
0.5309165213687888,0.1189217685659189,1,FGGY
0.5009502285508324,0.0013968140751307655,1,AL513493.1
0.512625100260512,0.12032085561497328,1,SLC35D1
0.5513884647599802,0.2322214740767597,1,AK5
0.5364805769076626,0.0849493200079498,1,NEXN
0.5127089596687331,0.15148407987048032,1,DNAJB4
0.5361131602066453,0.14589192583895363,1,IFI44L
0.5170849286671985,0.13366526235158943,1,EVI5
0.502746497126799,0.03528214077952298,1,PSRC1
0.5263445481010103,0.05884130982367758,1,SORT1
0.5315102455849687,0.05586027713625866,1,CTTNBP2NL
0.506671380025004,0.008465671111637338,1,PPM1J
0.5198627973782323,0.11942444054349177,1,WARS2.AS1
0.5332724447235446,0.05237723181989177,1,FCGR1B
0.5061293789813184,0.08616831111799232,1,GPR89A
0.5772070696899974,0.216525647805394,1,FCGR1A
0.5241847472860649,0.04875718401204453,1,MTMR11
0.5226986118007517,0.06496446584135718,1,C1orf54
0.5557992513803713,0.1273904825439182,1,ECM1
0.5368859166765643,0.1446787573972584,1,MINDY1
0.5458215693327528,0.4483145944884895,1,SELENBP1
0.5316527175718427,0.1921532364597094,1,S100A9
0.5495088338106606,0.15871634484634212,1,S100A12
0.5295245232795911,0.162175272178506,1,S100A8
0.542393627023073,0.130617996932812,1,S100A16
0.5122329599339074,0.05133603472392462,1,S100A1
0.5044181592417404,0.09047933003212368,1,ZBTB7B
0.5414323917417635,0.12243481158534893,1,TRIM46
0.5563588356945502,0.11794642357809966,1,BGLAP
0.5396463385447405,0.07070185997191412,1,PAQR6
0.5132476725561645,0.03617036767382599,1,CD1D
0.5040180100295848,0.0029990794904534252,1,CD1E
0.5811337845829075,0.29576122397792826,1,MNDA
0.5005441528129411,0.011808640973032017,1,AIM2
0.5513309371264367,0.1825682789289685,1,FCGR2A
0.5052830109231204,0.02878265443282099,1,HSPA6
0.5028840379673726,0.009639551731275318,1,FCGR3B
0.537647509796191,0.05751490565765349,1,DUSP27
0.526611637971227,0.12640286777885013,1,ZBTB37
0.5209884617470661,0.041731448249807464,1,LAMC1
0.5537702660681157,0.16795029710743242,1,NCF2
0.5842572239207078,0.2575544578717257,1,RGS18
0.5043316333430284,0.08992169739833292,1,PHLDA3
0.5242398020670078,0.13506109254287438,1,LAX1
0.5338083275795609,0.13848980039482345,1,SRGAP2
0.5419295146929013,0.07897402245395797,1,LINC02767
0.5004852999763058,0.11333351725660054,1,SLC30A1
0.5056490107398953,0.010347223248732464,1,BATF3
0.5506042354326324,0.10006492223445394,1,PTPN14
0.5368844471766363,0.057814146137304984,1,MARC2
0.5088881193112157,0.013107978448593991,1,TLR5
0.5453739730821022,0.18307657362746016,1,EPHX1
0.5082385033152872,0.0072877012634978006,1,MIXL1
0.5082503028883039,0.06377383300460224,1,RHOU
0.5060735788090329,0.06863554808760289,1,URB2
0.5490354929863575,0.10437890471098102,1,AL391832.2
0.5360369760056106,0.08177835931277733,1,NID1
0.5155363712001197,0.07352606419303437,1,ZBTB18
0.5420846306117185,0.0758654203470257,1,KIF26B
0.564722192434562,0.15386724050494113,1,LINC01341
0.5440240737812968,0.12439978905881374,1,AL390728.6
0.5453725224154724,0.10420796603258958,1,PXDN
0.5435853044556036,0.09814652862019355,1,ASAP2
0.5364742303993056,0.1173443129181678,1,FAM49A
0.5276278510752216,0.1299705550510471,1,ZNF513
0.5503234856151079,0.1874115794250327,1,RBKS
0.5468420240557957,0.10730529507552361,1,PLB1
0.5095829923515031,0.12424816676279146,1,SLC30A6
0.550778769815122,0.12616841900581954,1,RASGRP3
0.5113988879144614,0.021621939217673584,1,QPCT
0.5293470051321223,0.03379672265345203,1,LINC00211
0.5095464990405053,0.0061075039283702455,1,CYP1B1
0.532976380829459,0.11191834116547907,1,PUS10
0.5113957208504821,0.02716945778194168,1,AC012368.1
0.5193985016566731,0.0977962204901026,1,AC017083.2
0.5230700052642061,0.10411862535463225,1,APLF
0.5268292498188331,0.08363100300504622,1,DYSF
0.5359307991506213,0.12729910868513783,1,RETSAT
0.5398664270677093,0.06396754143646409,1,IGKV2.24
0.5025983602607529,0.07316415835685612,1,SEMA4C
0.5244167722211288,0.12688180929162707,1,TSGA10
0.5208280907577288,0.08592667966873002,1,MRPL30
0.5278711279183342,0.05235541550425695,1,TBC1D8
0.5619412509455841,0.14805855267679197,1,RFX8
0.5380534230773355,0.0529256782188251,1,AC013402.1
0.5412743865081575,0.0656746459636259,1,LINC01114
0.5244992689892751,0.03982416814648773,1,IL1RN
0.5018381027619342,0.007578897507253241,1,MARCO
0.5180648378493017,0.01481831330991528,1,PROC
0.5434313364258897,0.08813010899182562,1,MYO7B
0.5218124263048315,0.03960828252550092,1,HNMT
0.57365704683574,0.2870510111681256,1,KYNU
0.5206963426372557,0.06251165459370293,1,ZEB2.AS1
0.5629151174918973,0.14731774415405777,1,CACNB4
0.5127006891894366,0.01807956185035776,1,FMNL2
0.5220183460802296,0.07148054616273596,1,ACVR1
0.5299104034188169,0.09853573536437986,1,GALNT3
0.5418126335192293,0.08155533399800598,1,DHRS9
0.5445099709479723,0.146678525005131,1,AC078883.1
0.5495705946973368,0.1245569901738683,1,AC096667.1
0.5132962889369431,0.09845284391349356,1,MARS2
0.526980032345028,0.14145881967481672,1,PTH2R
0.5170912412325979,0.05567951172465417,1,MREG
0.5056043310042757,0.013952185006563131,1,GPBAR1
0.5254974119784769,0.14094619311512108,1,SLC11A1
0.5103424885086567,0.09189303011160245,1,TTLL4
0.5333734781375676,0.04736681710661887,1,CYP27A1
0.5106510075456111,0.0052210801109479526,1,SLC4A3
0.5109100637988897,0.0075545482824512285,1,PID1
0.5081382048106415,0.05746186191357759,1,NMUR1
0.5613241440145279,0.1344605363453676,1,SNORC
0.5337230178627832,0.06156458669122727,1,GPR35
0.548549756511411,0.08663500099547768,1,AGXT
0.546255697366588,0.09401576363044617,1,AC104809.2
0.5234122336857584,0.029807044769127163,1,ANO7
0.5609101455215815,0.14347724234866127,1,IL5RA
0.5091459058177646,0.009997633696166588,1,AC026202.2
0.5230417411193218,0.05896989658693745,1,CAMK1
0.5377286851332901,0.10406522318734826,1,FBLN2
0.5487766857033372,0.08831427150671309,1,AC132807.2
0.5671257774192632,0.2564588886610621,1,UBE2E2
0.5148604182151714,0.12972987789000506,1,OXSM
0.5446791399750335,0.17764013460429823,1,ZCWPW2
0.5109668715683974,0.07420665359811358,1,GPD1L
0.5463622364096298,0.08883400051102971,1,TRIM71
0.5179067206164212,0.10070211754174943,1,ARPP21
0.5366783240277225,0.11869518686847629,1,ZNF852
0.5336747562587358,0.046634531622045415,1,CLEC3B
0.5223633954850784,0.04009485429972213,1,CCR1
0.5119547885999071,0.029357154344361758,1,CCR2
0.5243994155194409,0.041811441447990115,1,PFKFB4
0.5175867190966494,0.10701502722727463,1,SLC26A6
0.5588037245383688,0.13457597075278346,1,LAMB2
0.506443640049419,0.027753812859169138,1,TLR9
0.6149087271529708,0.3921782801239507,1,STAB1
0.5232337172476776,0.11364362403989053,1,SMIM4
0.5268447179068816,0.046299788227785674,1,CACNA2D3
0.509761870737009,0.057703073191037374,1,MITF
0.5194034416128758,0.025061994688265764,1,LINC00877
0.5433646590528473,0.12499479881829152,1,CRYBG3
0.5522073981745693,0.42828026328978586,1,CD96
0.5244106415573,0.02351281448389372,1,AC092691.1
0.5003066410515623,0.024304894654387326,1,ARHGAP31
0.5478345193323175,0.12155711124410236,1,ADPRH
0.5171350252681732,0.08755870862188121,1,GTF2E1
0.5515337688092937,0.12444024142630657,1,SLC15A2
0.5489405373154215,0.11219402901473141,1,CD86
0.5940831814953274,0.33662008059675896,1,CSTA
0.5289975655336052,0.04374237051677034,1,ITGB5
0.5334318924166548,0.059838663209449736,1,GP9
0.5240683991484238,0.03093130441144195,1,ACPP
0.5043911895894715,0.0018126439343288017,1,EPHB1
0.528374434393286,0.03619698163878916,1,MRAS
0.5120056150182448,0.021217508852873324,1,P2RY14
0.5314878049793915,0.05563655786692844,1,P2RY13
0.5191159420282508,0.09475251418619024,1,P2RY1
0.5332798591283152,0.05277014320844785,1,PTX3
0.5732149899378862,0.2756636158507213,1,SHOX2
0.5623476563373713,0.158445318474817,1,WDR49
0.5009820467256024,0.05891699231330785,1,GPR160
0.513037528640906,0.09834093388915312,1,SKIL
0.5678136542014549,0.2670500814332248,1,PLD1
0.5193125704193878,0.07318150094717202,1,BCL6
0.5032029307807274,0.0012484208961878575,1,P3H2
0.5115083839597123,0.07399934639594197,1,LINC00884
0.5066452690248328,0.08684517862921949,1,WDR53
0.5182709026514851,0.029469864356681932,1,SLC49A3
0.521378189640241,0.1279100147133644,1,UVSSA
0.5354035466564622,0.13732138199887442,1,AC147067.1
0.5322303553533047,0.0556999306999307,1,S100P
0.54941352270678,0.09603688721676897,1,HTRA3
0.5345539933217724,0.07558263996917325,1,SLC2A9
0.5070874471668262,0.022536533834145195,1,HS3ST1
0.5100003524602843,0.10847203520413122,1,CPEB2
0.5163290065354168,0.09853278826230612,1,ZCCHC4
0.5247158402225378,0.07818941741775895,1,TLR1
0.5327953575417074,0.06818572656921754,1,TLR6
0.5427692600715829,0.14802568656920342,1,TMEM156
0.5237188529863452,0.06044753596527789,1,RBM47
0.5305574916785188,0.10576532967724785,1,NFXL1
0.5040318955051332,0.02296086682404,1,ARL9
0.5181927105660752,0.06923527144509001,1,SULT1B1
0.5009246563135753,0.02453772162276913,1,ADAMTS3
0.532854722968546,0.08928621948114408,1,BMP3
0.5226980213762256,0.1312982966633268,1,AC124016.1
0.5018843696040655,0.018928093817508485,1,HPSE
0.5199931868351524,0.09442976786015402,1,AF213884.3
0.5081168880660095,0.09009186167373656,1,GSTCD
0.557937685133363,0.11739191269063944,1,NDST3
0.5157057332208347,0.1284010921913805,1,C4orf33
0.51385809072362,0.02893420321231093,1,TBC1D9
0.540293675855348,0.43293314241656566,1,GYPB
0.5050155036476794,0.028350967440229143,1,HHIP.AS1
0.5066544155498336,0.015910898965791564,1,HHIP
0.5025581974400603,2.3793236772447432e-4,1,AC097375.1
0.581244865652619,0.2435922443724886,1,TLR2
0.5293682119939734,0.055642938570542144,1,GASK1B
0.5379170716049202,0.06775915509126393,1,RXFP1
0.5378115719939455,0.13261130172378158,1,MARCH1
0.5194686883954243,0.04767625305756177,1,TERT
0.5524263129762353,0.1237457728544192,1,IRX1
0.5127789502381053,0.08449908951031185,1,SRD5A1
0.50722914242997,0.08047260341732973,1,TENT4A
0.5145868749321735,0.12018647247048439,1,ATPSCKMT
0.5021379809702023,0.11079926447206515,1,OTULINL
0.549770846220983,0.15482358073839778,1,CARD6
0.5321073022212475,0.11596540504463416,1,AC025171.3
0.5066212780437417,0.0926471000476551,1,ARL15
0.5153267001941695,0.07265273586517111,1,PLPP1
0.515790940475115,0.10527049248864238,1,TRAPPC13
0.5555128236737211,0.16038108200068052,1,CD180
0.5321798847697001,0.13031918557396924,1,GTF2H2
0.5221371450442557,0.10010506408909434,1,ENC1
0.5469708038926108,0.1874916691103943,1,ZFYVE16
0.5167753513760243,0.11616546035787928,1,XRCC4
0.5211481326475971,0.07728603507575112,1,VCAN
0.5042548262307496,0.0827669834466033,1,POLR3G
0.5206958905751029,0.028414500183083117,1,LUCAT1
0.5054621644895876,0.03418803418803419,1,SLCO4C1
0.5343940973859957,0.10150117257165325,1,LINC01023
0.5520676556471114,0.1309617808807436,1,ZNF608
0.535616485510806,0.049500500224738654,1,MEGF10
0.5510714400395361,0.0953769498626957,1,PITX1
0.5248565119647326,0.04048017460894871,1,TIFAB
0.5197340010984872,0.05545792400103713,1,CD14
0.5220019940080611,0.020864293806924356,1,PCDHGC3
0.5027024246929652,0.07235413502888204,1,RELL2
0.5160385099790046,0.028511628587737654,1,ARAP3
0.5579402254808705,0.2738928179720888,1,ADRB2
0.5776431072356261,0.24309263084057522,1,CSF1R
0.556043832268705,0.13664441772729158,1,NDST1
0.5028177420537834,0.12457022314151471,1,SLC36A1
0.5490074062504336,0.15977609608304008,1,HAVCR2
0.5198789840174871,0.02292061533036541,1,KCNMB1
0.5424515064496668,0.06471942446043165,1,NKX2.5
0.5666221042912262,0.24016793873346207,1,HRH2
0.539029142492948,0.08989718752655282,1,HK3
0.5831598237948833,0.24911834871901256,1,COL23A1
0.534907202221582,0.06934296111636437,1,SCGB3A1
0.5353971444370463,0.06302678134798492,1,FLT4
0.5509671133603302,0.09719335454224107,1,FOXC1
0.5711407872185581,0.21784970610717205,1,F13A1
0.5859481240474027,0.37145573380867497,1,LY86
0.5205974518236333,0.05991121072367571,1,AL031123.5
0.5178562944643302,0.016543060613656135,1,BMP6
0.5378247421483431,0.05974797427838174,1,SYCP2L
0.5064910096777924,0.047055764981151695,1,NHLRC1
0.5171197329919832,0.08346414379251339,1,HIST1H4B
0.5031749183084739,0.08997306699584783,1,HIST1H2AB
0.5072010103903583,0.09004353321162759,1,HIST1H2BB
0.5079122145516834,0.06341219355299836,1,HIST1H4F
0.5324656245201467,0.11036677273488528,1,HIST1H4H
0.5054184112232407,0.05704120280041317,1,HIST1H2BL
0.5081731683216164,0.12656909499534066,1,HIST1H2AK
0.5068740067132963,0.05027675276752767,1,HIST1H3J
0.5138410468920733,0.07134922669401009,1,GABBR1
0.5096334930588572,0.08376372308300173,1,IER3
0.5081400451523514,0.09513676960550999,1,MICB
0.5144227618944034,0.10254406408306237,1,TNF
0.5308232197555124,0.07565841068856853,1,SAPCD1
0.5126677788927403,0.030852384778321525,1,NOTCH4
0.5121550335276255,0.031079304805024098,1,HLA.DQB2
0.5222422896733826,0.1355319876838864,1,B3GALT4
0.5107221083917586,0.07287357302284585,1,ZBTB9
0.5091062211407452,0.012170445314230855,1,PACSIN1
0.508970791532778,0.06490872210953348,1,FGD2
0.5138852427072432,0.08559213218382694,1,KCNK5
0.527495980986247,0.05609794788226642,1,TREM1
0.5598721751881237,0.12628442538497953,1,MDFI
0.5167253844470148,0.1270246877962329,1,TFEB
0.5162468062612606,0.08285597091978897,1,USP49
0.5220653977990157,0.02220098507682129,1,PTCRA
0.5025903339704303,0.00816845968302825,1,CRIP3
0.55128873360646,0.09877519883594446,1,CAPN11
0.5345133939153996,0.059850733365991414,1,AL096865.1
0.5114189470772094,0.006255929791271347,1,PLA2G7
0.5025866245869304,0.0752167261601224,1,CENPQ
0.5164090134268361,0.41588259921115833,1,RHAG
0.5180379941508036,0.09554551323434474,1,ICK
0.5137312765329716,0.0510156971375808,1,LCA5
