,0
398,CCR1
399,CCR2
400,CCRL2
401,LTF
402,ALS2CL
403,KIF9-AS1
404,PFKFB4
405,SLC26A6
406,LAMB2
407,C3orf62
408,TRAIP
409,HYAL2
410,TLR9
411,STAB1
412,SMIM4
413,SFMBT1
414,CACNA2D3
415,HESX1
416,DNASE1L3
417,LRIG1
418,SUCLG2
419,MITF
420,LINC00877
421,ROBO1
422,CRYBG3
423,TRAT1
424,CD96
425,GCSAM
426,BTLA
427,CCDC191
428,TIGIT
429,AC092691.1
430,ARHGAP31
431,ADPRH
432,GTF2E1
433,SLC15A2
434,CD86
435,CSTA
436,WDR5B
437,ITGB5
438,HEG1
439,GP9
440,RAB43
441,COL6A5
442,ACPP
443,ACAD11
444,RAB6B
445,EPHB1
446,MRAS
447,AC046134.2
448,PLS1
449,PAQR9
450,CHST2
451,GPR171
452,P2RY14
453,P2RY13
454,P2RY1
455,MME
456,C3orf33
457,PTX3
458,SHOX2
459,WDR49
460,GPR160
461,SKIL
462,PLD1
463,NCEH1
464,ECT2
465,FAM131A
466,CLCN2
467,ETV5
468,BCL6
469,P3H2
470,LINC00884
471,WDR53
472,SLC49A3
473,UVSSA
474,AC147067.1
475,ZFYVE28
476,NSG1
477,WFS1
478,S100P
479,HTRA3
480,SLC2A9
481,HS3ST1
482,CPEB2
483,FGFBP2
484,CCDC149
485,SEPSECS-AS1
486,ZCCHC4
487,LINC02506
488,DTHD1
489,TLR10
490,TLR1
491,TLR6
492,FAM114A1
493,TMEM156
494,RBM47
495,APBB2
496,NFXL1
497,TXK
498,SLC10A4
499,NMU
500,ARL9
501,AC111000.4
502,SULT1B1
503,JCHAIN
504,ADAMTS3
505,PARM1
506,ANXA3
507,AC098818.2
508,BMP3
509,AC124016.1
510,HPSE
511,WDFY3
512,ARHGAP24
513,ABCG2
514,NAP1L5
515,GPRIN3
516,AF213884.3
517,CENPE
518,GSTCD
519,LEF1
520,LEF1-AS1
521,CAMK2D
522,NDST3
523,C4orf33
524,RAB33B
525,TBC1D9
526,LINC02432
527,AC104596.1
528,GYPE
529,GYPB
530,GYPA
531,HHIP-AS1
532,HHIP
533,SLC10A7
534,FAM160A1
535,AC097375.1
536,LINC02273
537,FHDC1
538,TLR2
539,RNF175
540,GASK1B
541,RXFP1
542,MARCH1
543,AADAT
544,FBXO8
545,NEIL3
546,LINC02362
547,SLC25A4
548,SNX25
549,ANKRD37
550,TERT
551,IRX1
552,SRD5A1
553,TENT4A
554,ATPSCKMT
555,OTULINL
556,AC025181.2
557,IL7R
558,SLC1A3
559,CARD6
560,AC025171.3
561,ARL15
562,GZMK
563,GZMA
564,PLPP1
565,TRAPPC13
566,SGTB
567,CD180
568,MARVELD2
569,GTF2H2C
570,GTF2H2
571,UTP15
572,ENC1
573,ZBED3-AS1
574,MTX3
575,ZFYVE16
576,RASGRF2
577,XRCC4
578,VCAN
579,POLR3G
580,LUCAT1
581,RFESD
582,SLCO4C1
583,LINC01023
584,CAMK4
585,ZNF608
586,GRAMD2B
587,MEGF10
588,FBN2
589,ACSL6
590,P4HA2
591,SLC22A4
592,SEPTIN8
593,TCF7
594,PITX1
595,TIFAB
596,TGFBI
597,KIF20A
598,CDC25C
599,CD14
600,PCDHGC3
601,RELL2
602,ARAP3
603,PPP2R2B
604,ADRB2
605,ARHGEF37
606,CSF1R
607,NDST1
608,SLC36A1
609,FAXDC2
610,HAVCR2
611,ITK
612,ADAM19
613,EBF1
614,LINC02202
615,MIR3142HG
616,HMMR
617,SPDL1
618,KCNMB1
619,NKX2-5
620,CPEB4
621,HRH2
622,HK3
623,AC106795.2
624,N4BP3
625,COL23A1
626,ADAMTS2
627,SCGB3A1
628,FLT4
629,TRIM7
630,IRF4
631,FOXC1
632,TUBB2A
633,SLC22A23
634,PPP1R3G
635,F13A1
636,LY86
637,AL031123.1
638,AL031123.4
