"","normalized_mcc","f1","thresholds","Factor"
"113",0.547773570790786,0.417152929069551,1,"SZRD1"
"114",NA,0.81399245144067,0,"SZRD1"
"115",NA,NA,Inf,"NECAP2"
"116",0.518156676937316,0.362134259050539,1,"NECAP2"
"117",NA,0.81399245144067,0,"NECAP2"
"118",NA,NA,Inf,"SDHB"
"119",0.54115376677596,0.449042807623824,1,"SDHB"
"120",NA,0.81399245144067,0,"SDHB"
"121",NA,NA,Inf,"RCC2"
"122",0.597972959818298,0.524664365956314,1,"RCC2"
"123",NA,0.81399245144067,0,"RCC2"
"124",NA,NA,Inf,"UBR4"
"125",0.57091232847454,0.520765460067965,1,"UBR4"
"126",NA,0.81399245144067,0,"UBR4"
"127",NA,NA,Inf,"MRTO4"
"128",0.56375351166034,0.350920274370447,1,"MRTO4"
"129",NA,0.81399245144067,0,"MRTO4"
"130",NA,NA,Inf,"AKR7A2"
"131",0.584464572260412,0.533995057083679,1,"AKR7A2"
"132",NA,0.81399245144067,0,"AKR7A2"
"133",NA,NA,Inf,"CAPZB"
"134",0.499228586415263,0.600040708324852,1,"CAPZB"
"135",NA,0.81399245144067,0,"CAPZB"
"136",NA,NA,Inf,"MICOS10"
"137",0.540670597731658,0.557626154807074,1,"MICOS10"
"138",NA,0.81399245144067,0,"MICOS10"
"139",NA,NA,Inf,"DDOST"
"140",0.58845805914162,0.650816952303189,1,"DDOST"
"141",NA,0.81399245144067,0,"DDOST"
"142",NA,NA,Inf,"HP1BP3"
"143",0.555050621316213,0.609897411364482,1,"HP1BP3"
"144",NA,0.81399245144067,0,"HP1BP3"
"145",NA,NA,Inf,"EIF4G3"
"146",0.57700712359745,0.44061365704949,1,"EIF4G3"
"147",NA,0.81399245144067,0,"EIF4G3"
"148",NA,NA,Inf,"USP48"
"149",0.576068147121878,0.520018147905429,1,"USP48"
"150",NA,0.81399245144067,0,"USP48"
"151",NA,NA,Inf,"CDC42"
"152",0.507230233107076,0.626660944489378,1,"CDC42"
"153",NA,0.81399245144067,0,"CDC42"
"154",NA,NA,Inf,"KDM1A"
"155",0.595591582357306,0.505149583128985,1,"KDM1A"
"156",NA,0.81399245144067,0,"KDM1A"
"157",NA,NA,Inf,"LUZP1"
"158",0.601635992985792,0.391162240367381,1,"LUZP1"
"159",NA,0.81399245144067,0,"LUZP1"
"160",NA,NA,Inf,"HNRNPR"
"161",0.566727868277729,0.589994757319058,1,"HNRNPR"
"162",NA,0.81399245144067,0,"HNRNPR"
"163",NA,NA,Inf,"PITHD1"
"164",0.520485445367352,0.395344007869283,1,"PITHD1"
"165",NA,0.81399245144067,0,"PITHD1"
"166",NA,NA,Inf,"LYPLA2"
"167",0.541478141840548,0.39066481870613,1,"LYPLA2"
"168",NA,0.81399245144067,0,"LYPLA2"
