subset,gene,logFC,pct_AML,pct_HBM
GZMB NK,LINC01128,0.018228289,0.02981651376146789,0.020023557126030624
GZMB NK,NOC2L,0.101311326,0.1559633027522936,0.09540636042402827
GZMB NK,ISG15,0.22966826,0.2889908256880734,0.18492343934040048
GZMB NK,TNFRSF18,-0.05642061,0.12614678899082568,0.143698468786808
GZMB NK,TNFRSF4,-0.026681684,0.045871559633027525,0.061248527679623084
GZMB NK,SDF4,-0.19076818,0.31422018348623854,0.37338044758539457
GZMB NK,B3GALT6,-0.09304217,0.06651376146788991,0.10954063604240283
GZMB NK,UBE2J2,-0.034857944,0.13073394495412843,0.1330977620730271
GZMB NK,ACAP3,0.0057063885,0.034403669724770644,0.030624263839811542
GZMB NK,PUSL1,-0.009322427,0.02981651376146789,0.03180212014134275
GZMB NK,INTS11,0.039702803,0.1720183486238532,0.15076560659599528
GZMB NK,CPTP,0.034944907,0.0481651376146789,0.027090694935217905
GZMB NK,AURKAIP1,-0.0853076,0.27522935779816515,0.29093050647820967
GZMB NK,CCNL2,0.10590094,0.1834862385321101,0.13191990577149587
GZMB NK,MRPL20-AS1,-0.024879783,0.05733944954128441,0.06713780918727916
GZMB NK,MRPL20,-0.0023139417,0.20412844036697247,0.1978798586572438
GZMB NK,SSU72,0.05919957,0.27293577981651373,0.21908127208480566
GZMB NK,MIB2,-0.08466974,0.16743119266055045,0.19081272084805653
GZMB NK,CDK11B,0.067239255,0.07339449541284404,0.03415783274440518
GZMB NK,SLC35E2B,0.04246623,0.0871559633027523,0.05889281507656066
GZMB NK,CDK11A,0.07154909,0.13761467889908258,0.09422850412249706
GZMB NK,NADK,-0.031944707,0.08486238532110092,0.09187279151943463
GZMB NK,GNB1,0.017423928,0.2958715596330275,0.26501766784452296
GZMB NK,PRKCZ,-0.010892309,0.045871559633027525,0.04946996466431095
GZMB NK,FAAP20,0.026846468,0.20871559633027523,0.18492343934040048
GZMB NK,SKI,0.044822328,0.04357798165137615,0.023557126030624265
GZMB NK,RER1,-0.040287256,0.21330275229357798,0.2143698468786808
GZMB NK,PANK4,0.015879288,0.04128440366972477,0.028268551236749116
GZMB NK,AL139246.5,0.044296503,0.11697247706422019,0.09069493521790342
GZMB NK,TNFRSF14,-0.0016520023,0.32339449541284404,0.3050647820965842
GZMB NK,TPRG1L,-0.042787626,0.07568807339449542,0.08598351001177856
GZMB NK,WRAP73,0.011555046,0.07339449541284404,0.05889281507656066
GZMB NK,LRRC47,0.0123574585,0.11467889908256881,0.09187279151943463
GZMB NK,CEP104,0.0035859048,0.08486238532110092,0.07302709069493522
GZMB NK,C1orf174,0.016284034,0.12385321100917432,0.10600706713780919
GZMB NK,KCNAB2,0.016281247,0.27293577981651373,0.24852767962308597
GZMB NK,ICMT,0.027927235,0.06880733944954129,0.048292108362779744
GZMB NK,ACOT7,0.021104671,0.06880733944954129,0.05182567726737338
GZMB NK,TNFRSF25,-0.03507002,0.03211009174311927,0.04711425206124853
GZMB NK,NOL9,-0.017882176,0.052752293577981654,0.05653710247349823
GZMB NK,ZBTB48,0.018008396,0.06422018348623854,0.0447585394581861
GZMB NK,KLHL21,-0.024488416,0.03211009174311927,0.043580683156654886
GZMB NK,THAP3,0.018289138,0.04128440366972477,0.030624263839811542
GZMB NK,DNAJC11,0.012326799,0.045871559633027525,0.03769140164899882
GZMB NK,CAMTA1,-0.027880758,0.05733944954128441,0.06831566548881036
GZMB NK,VAMP3,0.025588281,0.06192660550458716,0.04122497055359246
GZMB NK,UTS2,0.06417644,0.08944954128440367,0.04122497055359246
GZMB NK,PARK7,-0.06256527,0.4013761467889908,0.408716136631331
GZMB NK,RERE,-0.014951706,0.08256880733944955,0.08833922261484099
GZMB NK,ENO1,0.033068538,0.49770642201834864,0.45229681978798586
GZMB NK,H6PD,-0.005605504,0.05504587155963303,0.05535924617196702
GZMB NK,SLC25A33,0.047753647,0.0779816513761468,0.048292108362779744
GZMB NK,PIK3CD,0.09862676,0.22477064220183487,0.16372202591283863
GZMB NK,CLSTN1,0.06972201,0.1536697247706422,0.11896348645465253
GZMB NK,CTNNBIP1,-0.08347154,0.06192660550458716,0.10011778563015312
GZMB NK,LZIC,-0.0010483116,0.05963302752293578,0.05535924617196702
GZMB NK,UBE4B,-0.07123995,0.05045871559633028,0.0800942285041225
GZMB NK,PGD,0.054841787,0.0871559633027523,0.04711425206124853
GZMB NK,DFFA,0.0030498803,0.05504587155963303,0.043580683156654886
GZMB NK,PEX14,0.0114374235,0.045871559633027525,0.03415783274440518
GZMB NK,TARDBP,0.10068788,0.12614678899082568,0.06949352179034157
GZMB NK,SRM,-0.016030729,0.1559633027522936,0.14605418138987045
GZMB NK,EXOSC10,-0.016295344,0.08027522935779817,0.07656065959952886
GZMB NK,MTOR,0.037843496,0.10091743119266056,0.0636042402826855
GZMB NK,UBIAD1,0.013339698,0.0481651376146789,0.03769140164899882
GZMB NK,FBXO44,0.0014768243,0.09862385321100918,0.09305064782096584
