gene,mean_lfc,n_up,n_dn,frac_AMLsamp_lt_HBM
ZFP36L2,-0.44147632,0,12,0.8928571428571429
HLA-B,-0.30832422,0,12,0.7142857142857143
CTSW,-0.27465674,0,10,0.5357142857142857
IGKV3-11,-0.26790193,0,11,0.8928571428571429
CD81,-0.23273905,0,11,0.7142857142857143
HLA-C,-0.22820605,0,11,0.8571428571428571
IGKV3-15,-0.17442524,0,11,1.0
