SampleID,subset,n,frac,group
AML4010,MAIT,3,0.06976744186046512,AML
AML4010,Memory CD4 T,4,0.09302325581395349,AML
AML4010,Memory CD8 T,2,0.046511627906976744,AML
AML4010,Naïve CD4 T,14,0.32558139534883723,AML
AML4010,Naïve CD8 T,13,0.3023255813953488,AML
AML4010,Treg,1,0.023255813953488372,AML
AML4035,GZMB CD8 T,5,0.023809523809523808,AML
AML4035,GZMB DNT,1,0.004761904761904762,AML
AML4035,GZMB NK,37,0.1761904761904762,AML
AML4035,GZMK CD8 T,6,0.02857142857142857,AML
AML4035,GZMK NK,26,0.12380952380952381,AML
AML4035,Memory CD4 T,6,0.02857142857142857,AML
AML4035,Memory CD8 T,15,0.07142857142857142,AML
AML4035,Naïve CD4 T,67,0.319047619047619,AML
AML4035,Naïve CD8 T,40,0.19047619047619047,AML
AML4035,Proliferating T,5,0.023809523809523808,AML
AML4035,Treg,2,0.009523809523809525,AML
AML4048,Naïve CD4 T,1,1.0,AML
AML4062,GZMB CD8 T,88,0.13253012048192772,AML
AML4062,GZMB DNT,13,0.01957831325301205,AML
AML4062,GZMB NK,73,0.10993975903614457,AML
AML4062,GZMK CD8 T,33,0.04969879518072289,AML
AML4062,GZMK NK,9,0.01355421686746988,AML
AML4062,MAIT,3,0.004518072289156626,AML
AML4062,Memory CD4 T,41,0.061746987951807226,AML
AML4062,Memory CD8 T,24,0.03614457831325301,AML
AML4062,Naïve CD4 T,193,0.29066265060240964,AML
AML4062,Naïve CD8 T,172,0.25903614457831325,AML
AML4062,Proliferating T,2,0.0030120481927710845,AML
AML4062,Treg,13,0.01957831325301205,AML
AML4068,GZMB CD8 T,79,0.47023809523809523,AML
AML4068,GZMB DNT,7,0.041666666666666664,AML
AML4068,GZMB NK,23,0.13690476190476192,AML
AML4068,GZMK CD8 T,22,0.13095238095238096,AML
AML4068,GZMK NK,2,0.011904761904761904,AML
AML4068,Memory CD4 T,8,0.047619047619047616,AML
AML4068,Memory CD8 T,5,0.02976190476190476,AML
AML4068,Naïve CD4 T,10,0.05952380952380952,AML
AML4068,Naïve CD8 T,6,0.03571428571428571,AML
AML4068,Proliferating T,1,0.005952380952380952,AML
AML4068,Treg,5,0.02976190476190476,AML
AML4090,GZMB CD8 T,4,0.012987012987012988,AML
AML4090,GZMB DNT,2,0.006493506493506494,AML
AML4090,GZMB NK,12,0.03896103896103896,AML
AML4090,GZMK CD8 T,21,0.06818181818181818,AML
AML4090,GZMK NK,3,0.00974025974025974,AML
AML4090,MAIT,5,0.016233766233766232,AML
AML4090,Memory CD4 T,39,0.1266233766233766,AML
AML4090,Memory CD8 T,14,0.045454545454545456,AML
AML4090,Naïve CD4 T,103,0.3344155844155844,AML
AML4090,Naïve CD8 T,96,0.3116883116883117,AML
AML4090,Proliferating T,1,0.003246753246753247,AML
AML4090,Treg,8,0.025974025974025976,AML
AML4102,GZMB CD8 T,22,0.08661417322834646,AML
AML4102,GZMB DNT,29,0.1141732283464567,AML
AML4102,GZMB NK,17,0.06692913385826772,AML
AML4102,GZMK CD8 T,29,0.1141732283464567,AML
AML4102,GZMK NK,3,0.011811023622047244,AML
AML4102,MAIT,6,0.023622047244094488,AML
AML4102,Memory CD4 T,13,0.051181102362204724,AML
AML4102,Memory CD8 T,11,0.04330708661417323,AML
AML4102,Naïve CD4 T,73,0.2874015748031496,AML
AML4102,Naïve CD8 T,44,0.1732283464566929,AML
AML4102,Proliferating T,4,0.015748031496062992,AML
AML4102,Treg,3,0.011811023622047244,AML
AML4116,GZMB CD8 T,37,0.07341269841269842,AML
AML4116,GZMB DNT,16,0.031746031746031744,AML
AML4116,GZMB NK,38,0.07539682539682539,AML
AML4116,GZMK CD8 T,35,0.06944444444444445,AML
AML4116,GZMK NK,3,0.005952380952380952,AML
AML4116,MAIT,23,0.04563492063492063,AML
