subset,expanded,gene,mean,pct
Memory CD8 T,unexpanded,TIGIT,0.15968974,0.08823529411764706
Memory CD8 T,unexpanded,CD226,0.1530164,0.08823529411764706
Memory CD8 T,unexpanded,PDCD1,0.041082434,0.029411764705882353
Memory CD8 T,unexpanded,HAVCR2,0.04519516,0.029411764705882353
Memory CD8 T,unexpanded,LAG3,0.2393182,0.13725490196078433
Memory CD8 T,unexpanded,TOX,0.12300934,0.0784313725490196
Naïve CD4 T,expanded,CD96,0.51922417,0.2
Naïve CD4 T,expanded,TIGIT,0.15893385,0.05
Naïve CD4 T,expanded,CD226,0.0,0.0
Naïve CD4 T,expanded,PDCD1,0.13350308,0.05
Naïve CD4 T,expanded,HAVCR2,0.0,0.0
Naïve CD4 T,expanded,LAG3,0.0,0.0
Naïve CD4 T,expanded,TOX,0.24488616,0.1
Naïve CD4 T,unexpanded,CD96,0.48560655,0.23487544483985764
Naïve CD4 T,unexpanded,TIGIT,0.020136157,0.010676156583629894
Naïve CD4 T,unexpanded,CD226,0.0948907,0.04804270462633452
Naïve CD4 T,unexpanded,PDCD1,0.010614428,0.005338078291814947
Naïve CD4 T,unexpanded,HAVCR2,0.012471198,0.006227758007117438
Naïve CD4 T,unexpanded,LAG3,0.0064523816,0.0035587188612099642
Naïve CD4 T,unexpanded,TOX,0.05387913,0.027580071174377226
Naïve CD8 T,expanded,CD96,0.5538627,0.2
Naïve CD8 T,expanded,TIGIT,0.0,0.0
Naïve CD8 T,expanded,CD226,0.35776976,0.2
Naïve CD8 T,expanded,PDCD1,0.0,0.0
Naïve CD8 T,expanded,HAVCR2,0.0,0.0
Naïve CD8 T,expanded,LAG3,0.0,0.0
Naïve CD8 T,expanded,TOX,0.0,0.0
Naïve CD8 T,unexpanded,CD96,0.6710353,0.33174791914387636
Naïve CD8 T,unexpanded,TIGIT,0.032453697,0.015457788347205707
Naïve CD8 T,unexpanded,CD226,0.07902761,0.041617122473246136
Naïve CD8 T,unexpanded,PDCD1,0.0061642695,0.0035671819262782403
Naïve CD8 T,unexpanded,HAVCR2,0.025644403,0.015457788347205707
Naïve CD8 T,unexpanded,LAG3,0.01648817,0.008323424494649227
Naïve CD8 T,unexpanded,TOX,0.0406568,0.02140309155766944
Proliferating T,expanded,CD96,1.7284951,1.0
Proliferating T,expanded,TIGIT,0.0,0.0
Proliferating T,expanded,CD226,0.9620998,0.5
Proliferating T,expanded,PDCD1,0.0,0.0
Proliferating T,expanded,HAVCR2,0.0,0.0
Proliferating T,expanded,LAG3,0.0,0.0
Proliferating T,expanded,TOX,0.0,0.0
Proliferating T,unexpanded,CD96,1.0034381,0.7916666666666666
Proliferating T,unexpanded,TIGIT,0.48106983,0.375
Proliferating T,unexpanded,CD226,0.12433172,0.16666666666666666
Proliferating T,unexpanded,PDCD1,0.2269733,0.2916666666666667
Proliferating T,unexpanded,HAVCR2,0.2696746,0.20833333333333334
Proliferating T,unexpanded,LAG3,0.9495864,0.6666666666666666
Proliferating T,unexpanded,TOX,0.33724126,0.375
Treg,expanded,CD96,0.0,0.0
Treg,expanded,TIGIT,0.0,0.0
Treg,expanded,CD226,0.0,0.0
Treg,expanded,PDCD1,0.428201,0.16666666666666666
Treg,expanded,HAVCR2,0.0,0.0
Treg,expanded,LAG3,0.4264492,0.16666666666666666
Treg,expanded,TOX,0.0,0.0
Treg,unexpanded,CD96,0.45536414,0.2376237623762376
Treg,unexpanded,TIGIT,0.91896725,0.42574257425742573
Treg,unexpanded,CD226,0.060049273,0.039603960396039604
Treg,unexpanded,PDCD1,0.08970129,0.0594059405940594
Treg,unexpanded,HAVCR2,0.06555075,0.039603960396039604
Treg,unexpanded,LAG3,0.030990424,0.019801980198019802
Treg,unexpanded,TOX,0.30263916,0.1485148514851485
