subset,gene,mean,pct
GZMK CD8 T,IL7R,0.7418502,0.2975420439844761
GZMK CD8 T,FOXP3,0.004703174,0.00258732212160414
GZMK CD8 T,CTLA4,0.046977345,0.02457956015523933
GZMK CD8 T,GZMK,1.9740819,0.6714100905562742
GZMK CD8 T,GZMB,0.26673803,0.111254851228978
GZMK CD8 T,GNLY,0.7593704,0.2056921086675291
GZMK CD8 T,PRF1,0.94225556,0.4087968952134541
GZMK CD8 T,NKG7,3.1298673,0.8783958602846055
GZMK CD8 T,NCAM1,0.011162192,0.0038809831824062097
GZMK CD8 T,FCGR3A,0.15254517,0.07632600258732213
GZMK CD8 T,KLRD1,0.6564246,0.2884864165588616
GZMK CD8 T,SLC4A10,0.0023093452,0.00129366106080207
GZMK CD8 T,KLRB1,0.51531625,0.2018111254851229
GZMK CD8 T,MKI67,0.023996316,0.01164294954721863
GZMB CD8 T,CD3D,1.7212812,0.6642011834319527
GZMB CD8 T,CD4,0.039210204,0.022189349112426034
GZMB CD8 T,CD8A,1.8153262,0.6420118343195266
GZMB CD8 T,CD8B,1.2718652,0.47485207100591714
GZMB CD8 T,CCR7,0.008829189,0.005917159763313609
GZMB CD8 T,SELL,0.4650786,0.20857988165680474
GZMB CD8 T,TCF7,0.31896818,0.15088757396449703
GZMB CD8 T,IL7R,0.41343853,0.17159763313609466
GZMB CD8 T,FOXP3,0.0,0.0
GZMB CD8 T,CTLA4,0.026963798,0.013313609467455622
GZMB CD8 T,GZMK,0.14010803,0.05917159763313609
GZMB CD8 T,GZMB,2.1528072,0.7618343195266272
GZMB CD8 T,GNLY,3.65927,0.856508875739645
GZMB CD8 T,PRF1,2.5370905,0.8653846153846154
GZMB CD8 T,NKG7,4.416296,0.9940828402366864
GZMB CD8 T,NCAM1,0.10580292,0.05029585798816568
GZMB CD8 T,FCGR3A,1.1924641,0.5014792899408284
GZMB CD8 T,KLRD1,1.4420553,0.5931952662721893
GZMB CD8 T,SLC4A10,0.0059082946,0.0029585798816568047
GZMB CD8 T,KLRB1,0.7984149,0.3136094674556213
GZMB CD8 T,MKI67,0.013508775,0.0073964497041420114
GZMB DNT,CD3D,1.7663127,0.6870026525198939
GZMB DNT,CD4,0.005905002,0.002652519893899204
GZMB DNT,CD8A,0.17195344,0.07427055702917772
GZMB DNT,CD8B,0.025688753,0.013262599469496022
GZMB DNT,CCR7,0.033088606,0.015915119363395226
GZMB DNT,SELL,0.8078789,0.35278514588859416
GZMB DNT,TCF7,0.42931283,0.21220159151193635
GZMB DNT,IL7R,1.2432041,0.46949602122015915
GZMB DNT,FOXP3,0.0,0.0
GZMB DNT,CTLA4,0.048148632,0.023872679045092837
GZMB DNT,GZMK,0.80590254,0.3076923076923077
GZMB DNT,GZMB,1.4804575,0.5358090185676393
GZMB DNT,GNLY,3.4984229,0.8090185676392573
GZMB DNT,PRF1,2.107525,0.76657824933687
GZMB DNT,NKG7,4.1585255,0.9973474801061007
GZMB DNT,NCAM1,0.050675936,0.023872679045092837
GZMB DNT,FCGR3A,0.80759525,0.3448275862068966
GZMB DNT,KLRD1,1.5506482,0.6445623342175066
GZMB DNT,SLC4A10,0.051575664,0.029177718832891247
GZMB DNT,KLRB1,2.083127,0.7480106100795756
GZMB DNT,MKI67,0.0277795,0.010610079575596816
MAIT,CD3D,1.8128527,0.7443946188340808
MAIT,CD4,0.06157561,0.03587443946188341
MAIT,CD8A,0.86982924,0.37668161434977576
MAIT,CD8B,0.23873347,0.11210762331838565
MAIT,CCR7,0.06563838,0.03587443946188341
MAIT,SELL,0.2516664,0.12556053811659193
MAIT,TCF7,0.919693,0.4439461883408072
MAIT,IL7R,2.8961878,0.8968609865470852
MAIT,FOXP3,0.0,0.0
MAIT,CTLA4,0.0062957434,0.004484304932735426
MAIT,GZMK,2.4222527,0.8565022421524664
MAIT,GZMB,0.04371375,0.017937219730941704
MAIT,GNLY,0.81104624,0.25112107623318386
MAIT,PRF1,1.6925344,0.6905829596412556
MAIT,NKG7,3.0039377,0.8968609865470852
MAIT,NCAM1,0.04511299,0.02242152466367713
MAIT,FCGR3A,0.007666518,0.004484304932735426
MAIT,KLRD1,0.38077486,0.17937219730941703
MAIT,SLC4A10,0.8964027,0.4349775784753363
MAIT,KLRB1,2.9056828,0.8878923766816144
MAIT,MKI67,0.010984155,0.008968609865470852
