SampleID,GZMB CD8 T,GZMK CD8 T,cytotoxic_CD8,clonality,frac_expanded,n_tcr
AML647,0.375,0.3571428571428571,0.7321428571428571,0.0636685019463297,0.4883720930232558,43
AML948,0.0851063829787234,0.0638297872340425,0.1489361702127659,0.0,0.0,35
AML3082,0.0408163265306122,0.0680272108843537,0.10884353741496591,-2.220446049250313e-16,0.0,52
AML3371,0.25,0.25,0.5,0.0,0.0,35
AML4000,0.1168831168831168,0.1038961038961039,0.2207792207792207,0.0051090291941968,0.1025641025641025,39
AML4062,0.1325301204819277,0.0496987951807228,0.18222891566265048,0.0182344728111603,0.1199040767386091,417
AML4068,0.4702380952380952,0.1309523809523809,0.601190476190476,0.0626010552322784,0.5555555555555556,81
AML4090,0.0129870129870129,0.0681818181818181,0.08116883116883099,-4.440892098500626e-16,0.0,140
AML4102,0.0866141732283464,0.1141732283464567,0.2007874015748031,0.0026406944843233,0.0677966101694915,118
AML4127,0.0449438202247191,0.1842696629213483,0.2292134831460674,0.0253045085703443,0.1178010471204188,382
AML4192,0.0054054054054054,0.027027027027027,0.0324324324324324,0.0012575012512304,0.032,125
AML4232,0.0032608695652173,0.0206521739130434,0.0239130434782607,0.0004762425222972,0.0155339805825242,515
AML4239,0.0245901639344262,0.0737704918032786,0.0983606557377048,-4.440892098500626e-16,0.0,83
AML4264,0.0344827586206896,0.0775862068965517,0.1120689655172413,0.001800744146916,0.0465116279069767,129
AML4271,0.0332326283987915,0.1087613293051359,0.14199395770392742,0.0018228177708079,0.0493827160493827,162
AML4304,0.1392405063291139,0.1518987341772152,0.2911392405063291,0.0,0.0,31
