gene,mean_lfc,n_up,n_dn,frac_AMLsamp_gt_HBM
SNHG15,0.20208734,11,0,0.8214285714285714
RNASEK,0.20143998,10,0,0.8928571428571429
HNRNPH1,0.2011506,11,0,0.7857142857142857
RBM25,0.20067853,10,0,0.6785714285714286
ADAR,0.20043461,11,0,0.7142857142857143
SP110,0.20013863,10,1,0.8928571428571429
SF1,0.19872217,10,0,0.8214285714285714
SNRNP70,0.19848643,11,0,0.7857142857142857
NAP1L1,0.1975301,11,0,0.7142857142857143
MPO,0.1925118,10,0,0.4642857142857143
SFPQ,0.19225655,10,0,0.6428571428571429
HNRNPDL,0.19223695,10,1,0.8571428571428571
TKT,0.1918301,10,0,0.8571428571428571
ZC3HAV1,0.18947084,10,0,0.4642857142857143
KDM2A,0.18804027,10,0,0.5714285714285714
UBL5,0.18460043,10,0,0.6785714285714286
SNRPN,0.18440698,10,0,0.8214285714285714
NDUFB2,0.18351956,10,0,0.6428571428571429
COMMD6,0.18176532,10,1,0.7142857142857143
SELENOK,0.18174754,10,0,0.6428571428571429
SAMD3,0.18156636,10,1,0.6428571428571429
DOCK8,0.1815205,12,0,0.8928571428571429
SNHG29,0.18100554,10,1,0.6785714285714286
PTPRC,0.17948925,10,1,0.5714285714285714
RSL24D1,0.17943151,10,0,0.8571428571428571
DDT,0.17926909,11,0,0.8928571428571429
FNBP4,0.17890568,11,0,0.7857142857142857
TNRC6B,0.17848961,11,0,0.8571428571428571
JMJD1C,0.17825224,11,0,0.8571428571428571
EIF2AK2,0.17637844,11,0,0.8928571428571429
ZBTB1,0.17562075,10,0,0.7142857142857143
KPNB1,0.17481486,10,0,0.6785714285714286
PAXX,0.17422646,10,0,0.6785714285714286
ARID5B,0.17323256,10,0,0.8571428571428571
ATP5MD,0.17149813,10,0,0.8571428571428571
TAF7,0.17109972,10,1,0.8928571428571429
NOP58,0.17071725,10,0,0.8928571428571429
ATP5MF,0.1704129,11,0,0.8571428571428571
ATP2A3,0.16845219,10,1,0.7142857142857143
PRPF4B,0.1676551,10,0,0.75
YME1L1,0.16534822,10,0,0.75
NXT1,0.16441119,10,0,0.8214285714285714
CDK6,0.16325818,11,0,0.8214285714285714
SLC3A2,0.16269952,10,0,0.75
EIF1AX,0.16084917,10,0,0.75
SLC25A6,0.15900502,10,0,0.7142857142857143
CCT2,0.15869789,10,0,0.75
KDM6A,0.15763466,10,0,0.6428571428571429
SNRPG,0.15626614,10,0,0.8928571428571429
ARHGAP15,0.15620148,10,1,0.8214285714285714
DNTTIP2,0.15243576,10,0,0.6428571428571429
NOP10,0.15111943,10,0,0.8928571428571429
