Mixture,Naïve CD4 T,Memory CD4 T,Treg,Naïve CD8 T,Memory CD8 T,GZMK CD8 T,GZMB CD8 T,GZMB DNT,MAIT,GZMK NK,GZMB NK,Proliferating T,P-value,Correlation,RMSE
TARGET.20.PAVAAS.09A,0.0423843937487352,0.05856277904224,0.145355675994545,0.155985029096457,0.0883136282730318,0.156031596186155,0.0239337787861762,0.0250362748957527,0.0907861103324253,0.057534296236256,0.108796891859784,0.047279545548442,0,0.729627834402107,0.738104843861121
TARGET.20.PAXLGL.09A,0.120094970209347,0,0.136828673132852,0.10454705175841,0.0721974796609542,0.199238353899902,0.0222946012632877,0.0287136397077819,0.0791527154713846,0.0304980816061672,0.129624141527381,0.0768102917625312,0,0.810560102080284,0.663923349305591
TARGET.20.PAWLKP.09A,0.0611293712222824,0.0676528785608917,0.154578177918221,0.0974324460708557,0.0934383773274426,0.047985771590406,0.0577238745110141,0.0727835697516608,0.102401018651216,0.0854825746058984,0.0928191598022922,0.0665727799878198,0,0.681604434790356,0.79267296027635
TARGET.20.PASYWV.09A,0.0933810195857787,0.0326189512735065,0.116635865600833,0.147500834069032,0.0951509396336654,0.175555187544956,0,0.0732803830323864,0.0794463899650259,0.0581503612748058,0.0609409950833826,0.0673390729366276,0,0.793934152453543,0.693224755620411
TARGET.20.PAWAXV.09A,0.0949881448278107,0.042317690826287,0.0878014026838359,0.146189246649117,0.113995848598686,0.179364869561647,0,0.0686548960520775,0.0281528917993585,0.00282937284923113,0.0880540927526689,0.14765154339928,0,0.761786830876222,0.704342584243063
TARGET.20.PAVDYE.09A,0.136121292700605,0.0621263826135167,0.115118081199009,0.182092130439366,0.0448176219536249,0,0.0544774727500078,0.0275252248993806,0.0571269684507167,0.0811463006581903,0.143147209723548,0.096301314612035,0,0.613475092587521,0.816667756042154
TARGET.20.PARPBF.09A,0.0557669855440957,0.0316386293448694,0.0850892679597393,0.145333837967366,0.132267271153939,0.147936773953764,0.00183951954340039,0.0360899229838584,0.0937283550475234,0.0931761141291238,0.0482369842504548,0.128896338121867,0,0.712546724503563,0.753554910779979
TARGET.20.PAXLXJ.09A,0.148147067030896,0.0347982204162036,0.104261760049289,0.110070808853668,0.0112121512660838,0.139684323778346,0.000810865024847002,0.0682235603066046,0.0864885719547885,0.0702278054453315,0.111771900849506,0.114302965024436,0,0.675608131178799,0.772844439509581
TARGET.20.PAUYHR.09A,0.0743716610329022,0.0267828342841722,0.205176083938005,0.142732335024813,0.0899889627123479,0,0.0297947104255741,0,0.154725788087331,0.132996732743686,0.1108338916945,0.0325970000566682,0,0.525339396591904,0.862240934118137
TARGET.20.PAWWFF.09A,0.0632703137532577,0.0746443917477863,0.150285987907112,0.166473638647557,0.113370609779203,0.0361803549413422,0,0,0.0875989009626749,0.0592606238566741,0.158604110579794,0.0903110678245985,0,0.606776855173061,0.824191803977579
TARGET.20.PANNHB.09A,0.0279048337842429,0.0422652505672477,0.123278585858168,0.0871777125412406,0.192670486766254,0.186331097547994,0.0281877162825779,0.0591331830335798,0.105894012001021,0.0674539665975985,0.0292304387998562,0.0504727162202191,0,0.773307513666612,0.705233287398572
TARGET.20.PARDDY.09A,0,0.289274532002025,0.11082415541809,0.0627676683342248,0.209953661358741,0,0,0.0399215637074173,0.108391516960026,0.0481182381225821,0.0305102754686812,0.100238388628213,0,0.598890465603614,0.827770716282898
TARGET.20.PAWZIX.09A,0.0950754306886067,0.0395249367674911,0.160511045320299,0.119079111848059,0.0665875676959936,0,0.0602460030857723,0.0748134918848086,0.103621191166777,0.046868538734284,0.105031856850404,0.128640825957505,0,0.711934626310165,0.778827051988914
TARGET.20.PAEJET.09A,0.0694836069071923,0.109832605157272,0.127221695388409,0.100554472439993,0.116247933582808,0.051894339553028,0,0.0468900481644654,0.153069993898883,0.0467107070430445,0.113711062438624,0.0643835354262811,0,0.671692737509489,0.7997587344948
TARGET.20.PASTZU.09A,0.080825430097533,0.0386063418220395,0.158702810310861,0.135340677199753,0.00243185902738512,0.174289500961232,0.0472481866343686,0.0500627710532508,0.0681852465532215,0.0550581199261054,0.125939744191222,0.0633093122230278,0,0.711830763676692,0.739848633157615
TARGET.20.PANXPU.09A,0.0712151415235997,0.161204501001607,0.0899204172303399,0.0872125719629053,0.0626332233708348,0.026435534763061,0.0205270309316951,0.0462551697732866,0.117351917594385,0.115479727842944,0.106422622024706,0.0953421419806352,0,0.505783859542746,0.87110721092301
TARGET.20.PASJEJ.09A,0.117577604447008,0.00269572988249154,0.112150655384181,0.102004751766177,0.0840712485191235,0.169965576727422,0,0.120478053208528,0.0543825126848913,0.066574366557341,0.0263336169823781,0.143765883840459,0,0.687602922451223,0.761571835107033
TARGET.20.PASPRK.09A,0.074790059689957,0.118060103979506,0.17915913698133,0.170421442052611,0.129129542283158,0,0,0.0546530250459953,0.0976784481105318,0.0386366740862873,0.079302875399828,0.0581686923707947,0,0.543977076142147,0.86061244823066
TARGET.20.PAVJCJ.09A,0.0945881632670374,0.0918981161536295,0.0794050510230257,0.130963359043914,0.0594179165608167,0.0109870330735668,0.0623863149918916,0.0656289841652375,0.0615676509001802,0.107377361255826,0.100459666122022,0.135320383442853,0,0.644298816116307,0.804681216513427
TARGET.20.PAWGEW.09A,0.0841558097621499,0.0370101970372993,0.138128137225337,0.133252368233982,0.0820314163865951,0.157510698034389,0,0.0565733619431998,0.088963786915432,0.0341070246122271,0.11839819984572,0.0698690000036686,0,0.754948975979515,0.722799604130655
TARGET.20.PAXGHE.09A,0.112100794541332,0.10118501059371,0.114495909555011,0.189229347038732,0.034372030841614,0.00126725209783816,0.0194728392981482,0.0108914219996928,0.0770128825180799,0.104174009985508,0.102275517637781,0.133522983892552,0,0.581763360790353,0.836387386401966
TARGET.20.PAXAXY.09A,0.104378570211683,0,0.164267398497456,0.108776331420835,0.0792565033059031,0.185848590355686,0,0.0146994552345425,0.0509083605823016,0.0836773398274116,0.112541562056436,0.0956458885077454,0,0.762863300693422,0.704963401614822
TARGET.20.PAWBYK.09A,0.106732955444665,0.0220892267964301,0.0880896364728244,0.107139298118448,0.0696386310481285,0.216424579970342,0.0144896686646538,0.0539317998039619,0.0686354361246664,0.0528642483845822,0.0952831172877375,0.104681401883561,0,0.779239096640842,0.683917322219318
TARGET.20.PASHYZ.09A,0.10042633871114,0.0222101067687127,0.0842406225196081,0.115396630430373,0.16081756628247,0.190437108855278,0.00257886777163195,0.0870889360488453,0.0492160088952284,0.0871096946811003,0,0.100478119035612,0,0.753532844741975,0.713805702641825
TARGET.20.PARYFA.09A,0.106468275642787,0.00718103590570072,0.0898326116889409,0.144150987498374,0.0381255583197504,0.187749247598466,0.0541007665972132,0.0366726490387881,0.0886205760143505,0.0741529885034904,0.0901134280181929,0.0828318751739455,0,0.780965815499706,0.690007046643221
TARGET.20.PAXBCW.09A,0.0780434411803663,0.00443668196607841,0.118514231173236,0.134903496839443,0.103232014038926,0.194035897857357,0.0199031625766978,0.0449053672281616,0.0958888897146787,0.0449115664379467,0.0871211419963575,0.0741041089907509,0,0.795272704775357,0.681587388460668
TARGET.20.PAXDEG.09A,0.060215184113877,0.0439455345047095,0.206102136930841,0.110304123741553,0.173045425627309,0,0.0382587356411288,0.0626085904247775,0.123747630077351,0.0650926253259808,0.0505126410752255,0.0661673725372466,0,0.551668389327904,0.86094218193138
TARGET.20.PAVVTF.09A,0.0455196855355347,0.175348401813898,0.141871058062914,0.0906545676079232,0.0620356178189038,0,0.037638858127595,0.0780619789901226,0.0753808120153952,0.0688271053617707,0.155275420806401,0.0693864938595414,0,0.621027112981496,0.814730442220103
TARGET.20.PARBVE.09A,0.0430222942403832,0.137767239438868,0.0500326337594042,0.107588801982871,0.134282083720846,0.142891109704958,0,0.0922670333024076,0.0874838681746575,0.101079673762217,0.0357855656120507,0.0677996963013355,0,0.746786941087502,0.73856669546091
TARGET.20.PAWEAN.09A,0.0976601913031175,0,0.119714429814805,0.138283974949591,0.0909302295972397,0.231564005406755,0,0.0469937216435623,0.03941182105051,0.0263128952904292,0.0881110171799741,0.121017713764016,0,0.799912820829132,0.657921580509155
TARGET.20.PARTWN.09A,0.0504746831487625,0.129703548235689,0.0535128024842654,0.0973970515997531,0.0986590030624452,0.17873027607827,0.0158993371017623,0.0592165235301019,0.0847601838719486,0.0765320966226682,0.0534088034010085,0.101705690863326,0,0.830215139771291,0.672593647305254
TARGET.20.PALISI.09A,0.0572935444292168,0.130283894731527,0.06359432542938,0.199616644875084,0.0978196520415469,0,0,0.0283925833615277,0.0836973074811787,0.0543834293879587,0.110017848790734,0.174900769471846,0,0.552657189848304,0.848945683134175
TARGET.20.PAWRKX.09A,0.019632911749384,0.0425074639780845,0.150797904043542,0.176968800008893,0.0476717639119197,0.148692554715761,0.0386255844314497,0,0.0732521477524814,0.0982838523798712,0.152681522274192,0.050885494754422,0,0.565367388085105,0.829139601717837
TARGET.20.PAUSBA.09A,0.0731925450148951,0.138379967315568,0.0728954644050738,0.118172677550277,0.0633241585786262,0.148055900591464,0.0027111208635656,0.0355167985835124,0.0743389088464814,0.0552067576161797,0.112310522410844,0.105895178223513,0,0.658272228700414,0.783609493555798
TARGET.20.PAYHMK.Sorted.non.leukemic.09A,0.0492816479554363,0.102181699352637,0.0911689394508078,0.0534523790896491,0.148689956738791,0.167107989324863,0,0.0921863945195816,0.118612087826352,0.0479398881028302,0.0778325112545319,0.0515465063845201,0,0.665283300000311,0.778595977635212
TARGET.20.PATDNN.09A,0.0649113649043497,0.251236903602214,0,0.117518832422508,0.0615111323725115,0,0.120655744652057,0.117285757455647,0,0.16663785457473,0.0272354167882552,0.0730069932277291,0,0.544423710864575,0.847519048869582
TARGET.20.PAWWWL.09A,0.103554714402368,0.0203825397857497,0.115873282271962,0.12468413951042,0.0573899187106489,0.191690482082922,0.0033928295960415,0.0696982806918157,0.0669937547921003,0.0442085982299853,0.0939137066859751,0.108217753240012,0,0.705926095939354,0.74292489794311
TARGET.20.PAVZIB.09A,0.0774286356093277,0,0.194446807519719,0.1276032765797,0.0775513316753121,0.207586814019836,0,0.029478520967418,0.0453397987344048,0.0462858291660408,0.10613480879245,0.0881441769357908,0,0.793053502658557,0.675256739171111
TARGET.20.PAPYUI.09A,0.0311710988613356,0.205849205973031,0.047751777625013,0.108939779008332,0.104130878443094,0.121348201774453,0.0402683739560605,0.0571046909243834,0.0969843153871324,0.0830421925614392,0.0432020360525694,0.0602074494331566,0,0.566102056272249,0.837879545146249
TARGET.20.PAUVGD.09A,0.0997294986104161,0.0172818499099536,0.149892476625886,0.148958811590916,0.0496683692521555,0,0.0318638951639782,0.0491956223115113,0.0606628514828038,0.0654472706211107,0.183944729498983,0.143354624932285,0,0.659332632024718,0.788037730796252
TARGET.20.PAPWZR.09A,0.0561473948560224,0.150494093252482,0.0853259312936518,0.118021833329297,0.0966404757618793,0.0371977183497774,0.0530216507532649,0.0442673420037721,0.0950982565218896,0.0984535587564519,0.106266716978756,0.0590650281427561,0,0.694390916577228,0.782636799379143
TARGET.20.PAPVGE.09A,0.0377690634940118,0.0614495623696349,0.134708482530159,0.0703971508838844,0.238869680967067,0.141545781284976,0,0.102480187782934,0.0521353997575641,0.0785388369368123,0.019258154567919,0.0628476994250368,0,0.756096447972281,0.7331958013898
TARGET.20.PARBCV.09A,0.110879126317735,0.0492765668574316,0.0950428615937237,0.145117746354399,0.0741892363816863,0.0966015083125746,0.0117923943502788,0.0791546247151383,0.0859132592361892,0.086083436648181,0.0786216549752208,0.0873275842574424,0,0.613988924353446,0.816577495545923
TARGET.20.PALDLR.09A,0.0316755062297159,0.048606897540134,0.195920181140941,0.0932010242312183,0.182463571932522,0,0,0.0569608858512161,0.191393440750659,0.0590457875531888,0.0664612095311625,0.0742714952392421,0,0.490749684022349,0.88377341348486
TARGET.20.PATDXM.09A,0.0805107305670287,0.0427909079934683,0.0856266442933437,0.126899352531685,0.0670175471754842,0.227914644549434,0.0125475992212701,0.0450754148740577,0.0701376233640399,0.0754822425578397,0.0963262974319169,0.0696709954404312,0,0.73580746751762,0.711086622864883
TARGET.20.PAXEHH.09A,0.042240584604768,0,0.198658839338855,0.164471587597286,0.0532241644220513,0.20599280635431,0,0.0638057165641886,0.0937752920418552,0.031850162068558,0.101846628521357,0.044134218486771,0,0.542391464254611,0.840801810917822
TARGET.20.PANGTF.09A,0.0894632476388109,0.225591957106105,0.0507679114385017,0.107992122222434,0.0636753243252695,0,0.0549642757360007,0.0590379027450973,0.0924693240642387,0.0959065846872397,0.0744574223086606,0.0856739277276421,0,0.592652797664592,0.832476879186773
TARGET.20.PAVNHN.09A,0.018836324949922,0.236038814827746,0.105501876011239,0.155406680335787,0.039084458317915,0,0.0612073662814273,0,0.112162016939026,0.0716890144882369,0.138127933467961,0.0619455143807398,0,0.52053163516401,0.861726366516665
TARGET.20.PARFKS.09A,0.104592684203056,0.124429037898775,0.136297066375994,0.115932874651723,0.128133886826798,0.00277436203231469,0,0.0916946596185503,0.0843414988483968,0.051495847117566,0.0913413452503152,0.0689667371765113,0,0.737779887397381,0.776395030308215
TARGET.20.PASHBI.09A,0.0764280780529254,0,0.13051600505788,0.113423876113846,0.0872369051951132,0.229392684875801,0,0.118168969524433,0.0388350230991456,0.042270278372686,0.0450758855609789,0.11865229414719,0,0.817359357668606,0.650394716838171
TARGET.20.PAXJGS.09A,0.116042711764717,0.158974066516906,0.0036978866281716,0.164305050272083,0.000879037265538463,0.149886842512187,0.0224178915205184,0.00734874449151965,0.0438553285707799,0.056415479601197,0.0948714352960263,0.181305525560356,0,0.613656860224406,0.802308743347954
TARGET.20.PAWIZG.09A,0.111702321625385,0,0.107046740413022,0.152970177351023,0,0.165827644653662,0.0554523608402163,0.0357840910320808,0.11836553372184,0.0427690463752719,0.0985499062522715,0.111532177735228,0,0.759186485660285,0.711765534761865
TARGET.20.PARIYB.09A,0.0524096797945291,0.208342276649666,0.0954053016069198,0.0936018064586353,0.073141185784955,0.109834494220647,0.0413910714434332,0.0851718807223766,0.0534509356391205,0.0788549810400659,0.052456934260746,0.0559394523789056,0,0.582398956182311,0.831617776886354
TARGET.20.PAWUCF.09A,0.104320825079772,0.00989881564272479,0.154246143606546,0.108797219959668,0.0538098491867708,0.16373118676251,0.000481270704124751,0.0438116790661618,0.0732416121656428,0.0753357644509297,0.120901591573853,0.0914240418012964,0,0.752828935706532,0.720015629280055
TARGET.20.PAWABG.09A,0.0612775787697833,0.0123085523534966,0.154842925103164,0.137105592726379,0.0652759747866045,0.183612580419523,0.0336558622706589,0.0601934834563646,0.0954121519258334,0.0498822227404099,0.0759840473689102,0.0704490280788724,0,0.777968421521196,0.700264459354602
TARGET.20.PANGDN.09A,0.0713227504156069,0.207174260337641,0.0365070022185025,0.0539728651222709,0.0990828686836245,0.126162996883896,0.0142110344941753,0.0469112597140059,0.0447849680213506,0.105262818276368,0.0628422492541603,0.131764926578397,0,0.605028452088983,0.815866315590719
TARGET.20.PANTXR.09A,0.114719048567091,0.0117084259832248,0.112720259957074,0.115764213808013,0.0698158734168084,0.14077143693229,0.00110215463282498,0.0749055478372237,0.0892291120609999,0.0806580472625659,0.0832338269498319,0.105372052592052,0,0.729679132831406,0.744679739442519
TARGET.20.PAVPMH.09A,0.0811411833402333,0,0.127227682751142,0.124094180412495,0.0716149627766973,0.177485731240925,0.0256977753234323,0.120076097795192,0.0637396828141174,0.0412393517016563,0.0742040827336226,0.0934792691104869,0,0.724997493289502,0.734498456587298
TARGET.20.PAWXYG.09A,0.103011890927019,0.0592126524387055,0.103942529775183,0.128263026035278,0.0949541308521898,0.132266985154648,0,0.0509333945447274,0.0887159545071992,0.0577634885139549,0.0994659342593196,0.0814700129917751,0,0.728126081019431,0.749233150091147
TARGET.20.PAVDNF.09A,0,0.103865945646692,0.172155235672039,0.139826568048371,0.215801018013398,0,0.0375040096070799,0.0339811180646843,0.116375533796575,0.0854474041331144,0.0490466012965496,0.0459965657214968,0,0.475456830693977,0.889159970932099
TARGET.20.PARCHW.09A,0.0685516931477786,0.120852118110368,0.0983126256360391,0.0989235353961176,0.0812144671945028,0.135437697201338,0.00784715708329426,0.0752334697424402,0.108374186181253,0.0741494222767962,0.0728585218350173,0.058245106195055,0,0.789525191813924,0.718324437432754
TARGET.20.PAXACY.09A,0.0838988313674976,0.0659643894195845,0.135177429826226,0.127184476978511,0.101871434136126,0.0638117467962022,0,0.0333489604834617,0.0797543715069282,0.104192986579191,0.134171744391278,0.0706236285149928,0,0.533933227448024,0.855985606192045
TARGET.20.PAVLKG.09A,0.0800081970586764,0.0985296621972733,0.145728002609575,0.0874717853364671,0.131997506546151,0.0687749945612784,0,0.0513834551599548,0.120078906048868,0.0614434456010191,0.0917444091100847,0.0628396357706524,0,0.573387251457308,0.843635515442028
TARGET.20.PASRUJ.09A,0.0712225645222433,0.0690047657092448,0.0829016099702323,0.106254880677993,0.11512835358475,0.137812958625671,0.00881759911588085,0.0705072134521741,0.0668981532218288,0.0774402813300891,0.0787069889653819,0.11530463082451,0,0.784493248331587,0.715903649991339
TARGET.20.PAWICA.09A,0.102921717113818,0.0462672881979646,0.0974555052315759,0.153213783302326,0.0373816629397083,0.203566483724288,0,0,0.0496016297680782,0.0756886199795503,0.0847707542826394,0.149132555460052,0,0.771320492306609,0.692371084838413
TARGET.20.PAWYNR.09A,0.058756157515388,0.127311098131318,0.109907451242985,0.138979834464152,0.125837878496781,0.0440260995209851,0.0227534991343957,0.0655029952697218,0.0903036041418766,0.0386883303572205,0.094604281060051,0.0833287706651253,0,0.689096246996625,0.792435365913767
TARGET.20.PAWAFE.09A,0.0621639968323323,0.0357177925684654,0.12783240015154,0.149353145662949,0.0859440421926348,0.121342414259135,0,0.0944016549780464,0.105091515562221,0.0457244845206566,0.101510379028164,0.0709181742438556,0,0.633866626616803,0.802424596235512
TARGET.20.PASNAL.09A,0.0615679004479074,0.0211251845483164,0.126004498422656,0.111314354420537,0.128317771026781,0.193680404652242,0.00933717809676208,0.0990582721343482,0.0743135866191678,0.0723543366228711,0.0373640259500979,0.0655624870583141,0,0.770261514018778,0.704195844322635
