"subset","term","NES","padj","size"
"Naïve CD4 T","amino sugar metabolic process",0.909241944176265,0.853299171427158,19
"Naïve CD4 T","amp metabolic process",-1.27977916973968,0.56760253114627,13
"Naïve CD4 T","amyloid beta clearance",1.19895990742153,0.637542689381079,23
"Naïve CD4 T","amyloid beta formation",0.994974502423837,0.810787490732816,29
"Naïve CD4 T","amyloid beta metabolic process",1.06079149673059,0.767110910323018,33
"Naïve CD4 T","amyloid fibril formation",0.714615175712151,0.955380880243185,24
"Naïve CD4 T","amyloid precursor protein catabolic process",0.877894854517122,0.881132113337481,37
"Naïve CD4 T","amyloid precursor protein metabolic process",1.11724883492279,0.689299365706561,47
"Naïve CD4 T","anaphase promoting complex dependent catabolic process",-0.754476614976388,0.923220319235698,17
"Naïve CD4 T","anatomical structure formation involved in morphogenesis",1.01313784564655,0.801679911063532,382
"Naïve CD4 T","anatomical structure maturation",-0.995171535024935,0.780270590101136,74
"Naïve CD4 T","androgen receptor signaling pathway",1.30948675028056,0.505632546622279,34
"Naïve CD4 T","angiogenesis involved in wound healing",-1.83360642186634,0.17330865666838,10
"Naïve CD4 T","animal organ formation",-1.79797773750733,0.208336617425871,12
"Naïve CD4 T","animal organ morphogenesis",1.12217226524367,0.605674223727881,263
"Naïve CD4 T","animal organ regeneration",0.935131918966926,0.842470850905482,26
"Naïve CD4 T","anoikis",0.857870743274277,0.885670699472865,19
"Naïve CD4 T","anterior posterior pattern specification",1.43909715602257,0.335263919968409,52
"Naïve CD4 T","anterograde axonal transport",-0.995420543359742,0.787027899883377,27
"Naïve CD4 T","antigen processing and presentation",-1.30708695194066,0.452697842451667,58
"Naïve CD4 T","antigen processing and presentation of endogenous antigen",-1.60798712865816,0.358914774440244,16
"Naïve CD4 T","antigen processing and presentation of endogenous peptide antigen",-1.57190669606278,0.363315448126879,14
"Naïve CD4 T","antigen processing and presentation of exogenous antigen",-0.922441582891954,0.842470850905482,28
"Naïve CD4 T","antigen processing and presentation of exogenous peptide antigen",-0.836544309400358,0.895491041273511,24
"Naïve CD4 T","antigen processing and presentation of exogenous peptide antigen via mhc class ii",0.540623877304914,0.996085482037452,17
"Naïve CD4 T","antigen processing and presentation of peptide antigen",-1.28332926795323,0.513638833641545,37
"Naïve CD4 T","antigen processing and presentation of peptide antigen via mhc class i",-1.38246947948498,0.49604661067852,21
"Naïve CD4 T","antigen processing and presentation of peptide or polysaccharide antigen via mhc class ii",0.471860680004581,1,19
"Naïve CD4 T","antigen receptor mediated signaling pathway",1.50568612679826,0.106091810043914,144
"Naïve CD4 T","antimicrobial humoral immune response mediated by antimicrobial peptide",-1.27013403738458,0.553992102797484,19
"Naïve CD4 T","antimicrobial humoral response",-1.21429880926617,0.61848535437851,26
"Naïve CD4 T","antiviral innate immune response",1.22243423187978,0.594013870707183,38
"Naïve CD4 T","aorta development",0.899123691981883,0.858574849931158,20
"Naïve CD4 T","aorta morphogenesis",1.48921844862028,0.338625025643507,10
"Naïve CD4 T","aortic valve morphogenesis",0.749947141884673,0.926512263441962,10
"Naïve CD4 T","apical junction assembly",0.92319844898427,0.842649657691908,26
"Naïve CD4 T","apoptotic cell clearance",-0.992586095566342,0.796644500156046,12
"Naïve CD4 T","apoptotic mitochondrial changes",0.688910010913335,0.986971429168992,68
"Naïve CD4 T","apoptotic process involved in development",1.09957201801272,0.743077317746714,13
"Naïve CD4 T","apoptotic signaling pathway",1.14705833136158,0.533557947659334,357
"Naïve CD4 T","appendage development",1.06553945436284,0.749909956264471,53
"Naïve CD4 T","appendage morphogenesis",1.05306085355926,0.767110910323018,38
"Naïve CD4 T","arf protein signal transduction",1.39398414463618,0.447142517999533,14
"Naïve CD4 T","arp2 3 complex mediated actin nucleation",1.03051949314914,0.781246248290562,33
"Naïve CD4 T","artery development",0.923146992277782,0.846271886681094,36
"Naïve CD4 T","artery morphogenesis",0.918690643574272,0.849588176429836,24
"Naïve CD4 T","aspartate family amino acid metabolic process",0.699888102672375,0.948031843706453,15
"Naïve CD4 T","associative learning",1.13043979771556,0.705385249401694,31
"Naïve CD4 T","astrocyte activation",0.837155042783537,0.88956053920087,11
"Naïve CD4 T","astrocyte development",-1.11037709070247,0.679525070101102,16
"Naïve CD4 T","astrocyte differentiation",-0.945906775518765,0.833875325111167,34
"Naïve CD4 T","atp biosynthetic process",0.909750929625361,0.871061615087582,79
"Naïve CD4 T","atp metabolic process",-1.05498199290243,0.718274111675127,150
"Naïve CD4 T","atp synthesis coupled electron transport",1.21642154380644,0.542765646719336,75
"Naïve CD4 T","atp transport",-0.692290786414265,0.949528974247318,11
"Naïve CD4 T","attachment of mitotic spindle microtubules to kinetochore",0.720130968176917,0.936521206317863,14
"Naïve CD4 T","attachment of spindle microtubules to kinetochore",1.40063916060683,0.405665763675458,27
"Naïve CD4 T","autophagosome lysosome fusion",1.01414264124862,0.807592528536838,12
"Naïve CD4 T","autophagosome maturation",0.846150272499429,0.902357041454786,57
"Naïve CD4 T","autophagosome organization",1.01768870424745,0.807592528536838,94
"Naïve CD4 T","autophagy of mitochondrion",-0.950987172800606,0.853540069843047,86
