subset,n_tcr,clonality_ds,clonality_sd,invsimpson_ds
GZMB CD8 T,252,0.025817572699374756,0.007020262002790476,60.12970034862253
GZMK CD8 T,342,0.010503390470615943,0.005245183941149822,80.44938442008937
Treg,107,0.0014131627966013627,0.0004167487138696051,96.68401206636501
Memory CD8 T,106,0.000742588671118215,0.0002543498297381964,98.24509803921566
Naïve CD4 T,1144,5.807956086988808e-05,0.00021169752388876245,99.86274509803921
Memory CD4 T,446,4.148540062144379e-05,0.00018083066893972112,99.90196078431373
Naïve CD8 T,846,3.3188320497221645e-05,0.00016258890127465858,99.92156862745098
