names,scores,logfoldchanges,pvals,pvals_adj,pct_LS10,pct_other,spec
GPC1,3.575248,2.3455758,0.00034989618728942083,0.00133151421341727,6.632975363234365,0.9249999999999999,5.7079753632343655
CDH24,3.0686402,2.1586452,0.002150353222715194,0.007611125967948447,5.9380922299431464,1.0375,4.900592229943147
SLC29A1,24.370405,1.9827645,3.52352967738483e-131,3.77860559050061e-129,55.52747946936197,15.925,39.60247946936197
LRP11,4.507266,1.9108506,6.566832611888812e-06,2.8884768313448842e-05,9.222994314592546,2.025,7.197994314592545
MICB,8.915401,1.6745064,4.860508205908885e-19,5.112132976876321e-18,18.951358180669615,4.3999999999999995,14.551358180669617
SLC37A4,13.865509,1.6107754,1.0249692563487836e-43,2.677059148434941e-42,31.90145293746052,8.875,23.02645293746052
EBP,22.834639,1.5408779,2.077019349108963e-115,1.8683608921293982e-113,60.454832596336075,21.7875,38.667332596336074
VSIG10,9.187705,1.539405,4.0131261384361866e-20,4.459282705472408e-19,20.53063802905875,5.4375,15.09313802905875
SLC43A3,21.619122,1.51844,1.1871419409326017e-103,9.042780923883823e-102,56.72773215413771,19.925,36.802732154137715
TCTN2,3.8509564,1.4933071,0.00011765739461249246,0.0004669751978335586,8.275426405559065,2.075,6.200426405559065
NUP210,23.947527,1.461608,9.805139393337315e-127,1.0042372353940156e-124,68.7934301958307,28.825,39.96843019583069
SLC1A4,15.271391,1.458824,1.1861589372882548e-52,3.926961537419445e-51,35.628553379658875,9.887500000000001,25.741053379658872
CD320,14.529251,1.4161546,7.908075955798522e-48,2.3228168108191878e-46,36.70246367656348,12.55,24.15246367656348
SLC1A5,20.10443,1.4125494,6.749142709996259e-90,4.2722698274897613e-88,55.78016424510424,21.65,34.13016424510424
MEGF10,3.5097165,1.3828785,0.00044858486523343083,0.0016875776206731873,7.833228048010107,2.175,5.658228048010107
TSPAN5,4.9982576,1.2722464,5.785070689709472e-07,2.779313827842502e-06,11.813013265950726,3.6999999999999997,8.113013265950727
NETO2,8.175007,1.2301366,2.9584962726624117e-16,2.6335624697990334e-15,20.025268477574226,6.525,13.500268477574226
SLCO4A1,5.0521502,1.2159603,4.3686367714609217e-07,2.113298092205384e-06,12.255211623499685,4.025,8.230211623499684
PIEZO2,3.121166,1.2111444,0.001801364956788327,0.006433345449697477,7.706885660138976,2.675,5.031885660138976
SLC7A1,12.89145,1.2095464,5.028909963397696e-38,1.1299964819973164e-36,34.55464308275427,12.612499999999999,21.94214308275427
C1orf159,6.363382,1.2051047,1.9735907800327639e-10,1.2293807168741676e-09,15.034744156664562,4.6,10.434744156664562
LRP8,8.138281,1.1476613,4.0092965952626807e-16,3.54357545876061e-15,20.593809222994313,7.0375,13.556309222994313
GPR12,3.3017168,1.1447283,0.0009609500774598168,0.0035121813443218593,7.896399241945673,2.55,5.346399241945673
SLC2A8,2.7864537,1.1075711,0.005328824115386252,0.018129139619227727,6.82248894504106,2.3125,4.50998894504106
GPR180,6.52517,1.0800598,6.792451662000261e-11,4.3684473929694056e-10,16.866708780795957,6.0249999999999995,10.841708780795958
ATP1B3,18.717749,1.0678915,3.548367943788821e-78,1.8914945378333156e-76,67.84586228679721,34.699999999999996,33.14586228679722
RTN4R,11.476127,1.060987,1.7389718897281353e-30,3.066017104868188e-29,31.838281743524956,12.0,19.838281743524956
TMEM116,3.9247062,1.0551316,8.683566219764538e-05,0.00034821894849847065,9.8547062539482,3.4625000000000004,6.392206253948199
CD59,9.67283,1.0483153,3.933483269703854e-22,4.80415513592325e-21,29.374605180037904,13.100000000000001,16.274605180037902
SLC39A14,2.9364984,1.0334096,0.0033194047611951696,0.011522269941564243,7.454200884396715,2.7125,4.741700884396716
FGFR1,8.911375,1.0237608,5.040366123964329e-19,5.295192163885076e-18,24.447252053063803,9.45,14.997252053063804
PTPRM,3.5319397,1.0229869,0.0004125233484404925,0.0015577000119378222,9.033480732785849,3.2875,5.745980732785849
TP53I13,18.824406,1.0212698,4.7652683947718514e-79,2.5804164262065556e-77,71.0044219835755,36.75,34.2544219835755
SLC38A5,9.095033,1.0155281,9.455780325697011e-20,1.0269172707963084e-18,25.078963992419457,9.65,15.428963992419456
ANKH,3.296263,0.99917954,0.0009798025233414527,0.003578693709535911,8.33859759949463,3.0,5.33859759949463
PTK7,9.8412895,0.989411,7.474645531347021e-23,9.406426907511075e-22,28.616550852811116,11.737499999999999,16.87905085281112
KIT,16.365246,0.98417825,3.3865423274891363e-60,1.3344147908864254e-58,60.960202147820596,31.05,29.910202147820595
FLT4,2.667606,0.96831214,0.007639378603198758,0.025479503266626815,7.138344914718889,2.8125,4.325844914718889
RPN1,18.678284,0.9542019,7.437278603843313e-78,3.8961651475229736e-76,86.10233733417562,55.1125,30.98983733417562
C11orf24,8.264293,0.94431806,1.4052538705072028e-16,1.2724527265857604e-15,22.42577384712571,8.450000000000001,13.97577384712571
ATP13A3,12.2406645,0.9078709,1.8848327239871067e-34,3.8350175349815044e-33,38.281743524952624,16.475,21.806743524952623
TM4SF1,6.3386827,0.89993024,2.317378791929935e-10,1.4350326187526268e-09,17.940619077700568,7.2875,10.653119077700568
CD109,6.078759,0.8977131,1.2111610565225976e-09,7.110435863389213e-09,17.056222362602654,6.875000000000001,10.181222362602654
TM9SF1,12.031864,0.8950445,2.416413260423255e-33,4.76418435613081e-32,38.281743524952624,16.625,21.656743524952624
ATP1A1,15.733984,0.8943841,8.84648794456923e-56,3.1417670043141584e-54,59.317751105495894,29.9,29.417751105495896
SCN1B,3.8596869,0.88110524,0.00011353246638183769,0.0004512585502438566,10.739102969046115,4.387499999999999,6.351602969046116
NCAM1,2.829528,0.87929076,0.004661670189669144,0.015956694580885267,8.33859759949463,3.7624999999999997,4.576097599494631
APP,8.655647,0.87229145,4.901224331273585e-18,4.8631669289915616e-17,30.44851547694251,15.85,14.598515476942511
RXFP1,3.2101588,0.86961836,0.0013266169365341869,0.00479546156595689,8.717624763108024,3.4750000000000005,5.242624763108023
CD83,9.852178,0.86449176,6.707471022877758e-23,8.456546915242746e-22,26.721415034744155,9.762500000000001,16.95891503474415
BACE1,7.059231,0.8595481,1.674265783236692e-12,1.1963541183274257e-11,20.088439671509793,8.1125,11.975939671509792
TM7SF3,16.006754,0.85704386,1.1463528597192413e-57,4.323884869225155e-56,77.89008212255212,48.525,29.365082122552117
TSPAN13,10.103431,0.85630995,5.334279448246112e-24,7.12609700985531e-23,33.41756159191409,15.475,17.942561591914085
ITGB1,14.688483,0.84188366,7.640506246348132e-49,2.318948765956005e-47,58.24384080859129,30.312499999999996,27.93134080859129
CLDN10,2.5873632,0.83720076,0.009671354931562938,0.03189879049071525,6.632975363234365,2.4375,4.195475363234365
TSPAN7,6.4339647,0.8024332,1.2431776351112382e-10,7.863968450092972e-10,19.83575489576753,8.975,10.86075489576753
DAG1,3.6598408,0.80152607,0.00025237202261282546,0.0009747691144590854,9.98104864181933,3.9875000000000003,5.993548641819329
ECE1,4.1598706,0.8003033,3.1842759719320424e-05,0.00013199516557291742,10.991787744788377,4.15,6.841787744788377
ITM2C,13.544006,0.7909259,8.596966725539605e-42,2.152863114254634e-40,81.11181301326596,51.775000000000006,29.336813013265953
LHFPL5,4.9948616,0.7871986,5.887790584558857e-07,2.8239208147794754e-06,14.339861023373343,6.0,8.339861023373343
LMAN2,15.522604,0.78565925,2.4394681773059437e-54,8.380615172940746e-53,83.70183196462413,53.412499999999994,30.28933196462414
SLC16A7,8.212035,0.78355783,2.1746981746605154e-16,1.94534825921709e-15,25.205306380290587,10.9625,14.242806380290586
TSPAN3,14.1450205,0.77930546,2.0045800360507466e-45,5.520367136540153e-44,62.223626026531896,34.8,27.4236260265319
ADCY3,8.016659,0.7785294,1.0866013293573625e-15,9.382443938303263e-15,24.19456727732154,10.2,13.99456727732154
SUCNR1,10.134265,0.76784027,3.892907170411396e-24,5.231225527374449e-23,35.56538218572331,17.424999999999997,18.14038218572331
RECK,3.4840724,0.7626294,0.0004938455857603442,0.0018497057099304717,9.98104864181933,4.237500000000001,5.743548641819329
SLC16A1,6.4917054,0.7593313,8.486999568869669e-11,5.422558182483878e-10,19.140871762476312,8.075000000000001,11.065871762476311
GINM1,11.78788,0.75720567,4.507442028138569e-32,8.454081598180885e-31,40.80859128237524,18.625,22.18359128237524
GPR137,7.381539,0.7554241,1.5647018501275832e-13,1.188895159588466e-12,22.615287428932408,9.85,12.765287428932409
INSR,9.182589,0.75343657,4.208493613879269e-20,4.663106416739971e-19,28.932406822488943,12.687499999999998,16.244906822488943
CXCR4,11.881521,0.750453,1.4765522733341238e-32,2.825598213197687e-31,44.40934933670246,22.0875,22.321849336702464
TMEM245,9.820185,0.7461202,9.217428698392583e-23,1.1551778422834262e-21,33.733417561591914,16.05,17.683417561591913
TMX4,14.536564,0.74593174,7.107156056818059e-48,2.0920590907400065e-46,65.76121288692356,36.6375,29.123712886923556
SSR1,14.561,0.73631895,4.972526294174648e-48,1.4764245824158512e-46,69.36197094125079,39.137499999999996,30.224470941250793
SIGLEC12,5.649794,0.7355224,1.606401795028826e-08,8.650780521240307e-08,18.19330385344283,8.649999999999999,9.543303853442833
FLVCR1,4.9417644,0.73474276,7.741871280610284e-07,3.6774224776718575e-06,14.024005053695515,5.75,8.274005053695515
SLC12A5,3.333103,0.7337545,0.0008588313891067077,0.0031524299552365136,8.970309538850284,3.5000000000000004,5.470309538850284
SLC31A1,4.985779,0.7336726,6.171278198072699e-07,2.9529269222134038e-06,13.96083385975995,5.65,8.31083385975995
SLC26A6,5.080996,0.72874486,3.754612067702906e-07,1.8256333855512743e-06,14.024005053695515,5.5375,8.486505053695515
CD2,2.6017165,0.72798806,0.009275848570148942,0.03068312023700169,7.201516108654453,2.9625,4.239016108654454
SLC5A6,6.8607273,0.72513974,6.851081632791483e-12,4.707278350007937e-11,21.351863550221097,9.525,11.826863550221097
SPNS3,10.921896,0.7144995,9.058504482438298e-28,1.4155077918671868e-26,50.15792798483891,29.9375,20.220427984838913
MRC2,7.589832,0.7132874,3.203209698247581e-14,2.53531034466797e-13,22.804801010739105,9.6125,13.192301010739104
TMIGD2,9.265566,0.70600337,1.9404542026814483e-20,2.1972530280135354e-19,31.33291219204043,14.5875,16.745412192040426
CDCP1,3.0679145,0.704343,0.0021555832004214997,0.007626675921687972,8.843967150979154,3.7875,5.056467150979154
SLC19A1,8.696494,0.6981533,3.4229453047006447e-18,3.422444691127745e-17,28.237523689197726,12.7875,15.450023689197726
SLC41A3,9.286258,0.6925168,1.598079554328745e-20,1.818605222333494e-19,33.22804801010739,16.25,16.978048010107393
ALCAM,9.969827,0.68986183,2.0658824135519633e-23,2.683782445652826e-22,34.11244472520531,15.812499999999998,18.299944725205307
