LS,LSC_Eppert,HSC
LS_1,0.058706949327088656,-0.010795208867478506
LS_10,0.0883309043798034,-0.0337482365717872
LS_11,0.1701544726687027,-0.03239881718703596
LS_12,0.04676646071424291,-0.06411708707078571
LS_13,0.03670291884858515,-0.1397520064398442
LS_14,0.07226487720574695,-0.028587532841510853
LS_15,0.13579212774545452,-0.048166874837625356
LS_16,0.021061004079140876,-0.10601723962249118
LS_17,0.12230499263371128,0.027678706240498688
LS_18,0.07317361550321913,-0.14628248959235182
LS_19,0.13277675312085357,0.02969831387172478
LS_2,0.1632360343207398,0.10099326564525561
LS_20,0.05939947359155029,-0.061302965959308814
LS_21,0.07892727753266114,-0.10667104332586333
LS_22,0.09184861373796192,-0.025823921220584557
LS_23,0.1158083002528508,-0.04840621774993794
LS_24,0.21136350765811993,0.09035202700369098
LS_25,0.10845375218797654,-0.007338106320966431
LS_26,0.05649282783064463,-0.08162300570916148
LS_27,0.0893716862091914,-0.04368279348849921
LS_28,0.1271330741669871,0.04602428127361757
LS_29,0.04580427905498932,-0.11348978536789792
LS_3,0.06467553331466099,-0.04925833739414098
LS_30,0.05291537170999136,-0.02595470055300872
LS_31,0.11357775883533949,0.042662622059725666
LS_32,0.10163300616503879,-0.04210433544770911
LS_33,0.12927865153802534,-0.05627878055842231
LS_34,0.10936577825596225,0.007332707183807172
LS_35,-0.011049995811510782,-0.10757086207178347
LS_36,0.14943304448407774,0.05451350862915111
LS_37,0.18572416008422618,0.04859495478649714
LS_38,0.16087445011144175,0.06340751739876938
LS_39,0.0879374268234417,-0.059137869939404564
LS_4,0.06771400279173156,-0.06275312618825163
LS_40,0.12560817864699111,-0.06150731256999277
LS_41,0.02350328643689445,-0.05749804209263723
LS_42,0.031317044855774634,-0.09172768174361313
LS_43,0.15636411487546742,0.03795228046631194
LS_44,0.07830826323125065,-0.13209386003465068
LS_45,0.10990610219967539,-0.012274674796987378
LS_46,0.09509751893351942,0.011965165482468482
LS_47,0.1041514862329795,-0.03142586728727329
LS_48,0.0700667670254935,-0.06984083767027163
LS_49,0.05108533721999553,-0.08227579845575753
LS_5,0.17923993304441677,0.027912192806577057
LS_6,0.1743309319693095,0.02025838958706294
LS_7,0.01670225651953744,-0.10957367071047987
LS_8,0.14438218336838943,0.03023333979084812
LS_9,0.017945127642315747,-0.05909686404247859
