sample,HSC_program,CellCycle_program
TARGET.20.PAUPTI.09A,-0.6951722397910406,-0.752119151963171
TARGET.20.PATJVL.09A,-0.6942157630704264,-0.19918843074858272
TARGET.20.PAXDMP.09A,-0.04796685284632959,-0.4419185357240076
TARGET.20.PAWWEE.09A,-0.20192642162007807,-1.2634843155450244
TARGET.20.PAUJMC.09A,0.10715859647154077,0.18289601691147747
TARGET.20.PAVENG.09A,0.019641075081161658,-0.1363254961034715
TARGET.20.PASPYW.09A,0.6476435488456069,-1.8470145075052362
TARGET.20.PAWFZT.09A,-0.26907114109254693,-0.08117719171808947
TARGET.20.PARCEV.09A,-0.06086886913714926,0.3713680178697204
TARGET.20.PAULDS.09A,-0.23346805295465295,0.3088644557809697
TARGET.20.PAEHXE.09A,-0.8425100340414049,-0.6460687680280617
TARGET.20.PAVXSH.09A,-0.014609054418211698,0.6286220786127792
TARGET.20.PASWGL.09A,-0.36683923032896765,0.05850213202003277
TARGET.20.PAWESF.09A,-0.3863778782143678,-0.43805352139087894
TARGET.20.PASCCS.09A,-0.1609599418947651,0.3376072893375002
TARGET.20.PASRSY.09A,-0.25946849798382055,0.34158751573213153
TARGET.20.PAVAZN.09A,-0.9124896393172091,0.16072619992791734
TARGET.20.PAEIKD.09A,0.49208765986472136,-0.5470536673492016
TARGET.20.PAVUJA.09A,0.050837535055754945,0.5375651909872736
TARGET.20.PAWNBB.09A,0.3356427554702721,-1.8868138607807405
TARGET.20.PAVTIP.09A,0.07553225446753183,-0.577376449045597
TARGET.20.PARTYV.09A,-0.09795618918981107,-0.8642692074304422
TARGET.20.PAVAGA.09A,-0.04894673179669812,-0.33236854416650147
TARGET.20.PAXHPH.09A,0.10159323701917726,0.5870162233796411
TARGET.20.PATHIW.09A,0.44208231448051605,0.03203838809444155
TARGET.20.PAUXYG.09A,-0.058911092838572696,1.1458128339253721
TARGET.20.PASYWA.09A,-0.1284728018194924,-0.3423416232833026
TARGET.20.PAWJGZ.09A,-0.7120911798305334,1.1577008656114889
TARGET.20.PAXJZX.09A,0.30148130869374806,1.1200784094740985
TARGET.20.PARERV.09A,0.17147940224063357,0.12154912557942435
TARGET.20.PAWTBX.09A,-0.2427155795994418,0.05532773630411041
TARGET.20.PAXJTM.09A,-0.057776004811251724,0.35000360080281634
TARGET.20.PAUYIB.09A,-0.5377643144397922,-0.09291660959228344
TARGET.20.PASTHA.09A,0.19404746122206395,0.6583327982916287
TARGET.20.PAWRUF.09A,-0.23290373148250776,1.6805753998608457
TARGET.20.PANKEF.09A,-0.10780465752658,-0.02998269850720477
TARGET.20.PARFAL.09A,0.6054499885959861,1.174997621605101
TARGET.20.PAURJK.09A,-0.4859545154881685,0.12574360070924748
TARGET.20.PAUZJJ.09A,-0.342890281157854,1.4704389555443234
TARGET.20.PATAML.09A,0.3232098692720413,-0.1825729092876518
TARGET.20.PAWIUS.09A,0.5679102260062073,1.5795757256434422
TARGET.20.PAVSCL.09A,-0.31809486347626437,-0.2857737411572787
TARGET.20.PAVHFP.09A,0.07034243650994602,1.2366440344722853
TARGET.20.PANTRL.09A,-0.7746419585254518,-1.2001865206351652
TARGET.20.PAURYA.09A,-0.8719520058946987,0.19682463350194837
TARGET.20.PAXKIB.09A,0.021728239685244975,0.07457415954142604
TARGET.20.PAWGVW.09A,-0.0014059702085922221,-0.20863492828901486
TARGET.20.PAXJWS.09A,0.3721383024749917,-0.5148599661845618
TARGET.20.PANRIK.09A,0.20838243130950743,-1.379616640692192
TARGET.20.PAUWZR.09A,-0.7134017857369115,-0.04570412744481015
TARGET.20.PAWLUE.09A,-0.02594160475712872,-0.516063298723572
TARGET.20.PASPTM.09A,-0.06112860204361827,0.16261430670664043
TARGET.20.PASBHI.09A,-0.0557261950830516,-2.245858583109652
TARGET.20.PAUURD.09A,0.048644095783880695,0.05121644467126898
