LS,CD34,HLF,AVP,CRHBP,HOXA9,MEIS1,MLLT3,PROM1,MECOM,GATA2,MPO,ELANE,AZU1,PRTN3,CTSG,CEBPE,LYST,CFD,LYZ,CD14,CSF1R,FCN1,VCAN,S100A8,S100A9,CD68,C1QA,C1QB,C1QC,MRC1,SIGLEC1,TREM1,CD1C,FCER1A,CLEC10A,CD207,CD1E,IRF8,IRF7,LILRA4,GZMB,IL3RA,PPBP,PF4,ITGA2B,GP9,GP1BA,VWF,TUBB1,PF4V1,GATA1,KLF1,GYPA,ALAS2,TFRC,AHSP,FUT4,CEACAM8,MMP8,CD177,LTF,LCN2,CAMP,MMP9,CD19,MS4A1,CD79A,CD79B,IGHM,JCHAIN,BLNK,CD3D,CD3E,IL7R,NKG7,GNLY,CD2,GZMH,MKI67,TOP2A,CDK1,UBE2C,CENPA,BIRC5,PCNA,NUSAP1,BUB1B
LS_19,0.83907294,-0.4458974,-0.52772707,-0.25366408,1.6694925,0.10247401,-0.47219533,1.4470313,-0.41675666,0.0024049256,-0.6758429,-0.95144635,-0.9332474,-0.86060435,-0.23701091,-0.70695764,-0.48545644,-1.1978899,-0.79919714,-0.3148498,-0.009768954,-0.31793046,-0.41556704,-0.40566206,-0.42122462,-0.68482935,-0.42720735,-0.16683805,-0.33402586,-0.2471493,-0.25929007,-0.3098504,-0.17609087,-0.304114,-0.28530622,-0.14285709,-0.19203433,-0.093375996,2.1040332,-0.18292499,-0.15804328,0.7309833,-0.0041217823,-0.16735364,-0.22845033,-0.5994044,-0.29103732,0.32838163,-0.16154791,-0.17613405,-0.3302676,-0.31810108,-0.24766614,-0.45190862,0.9437772,-0.41029042,0.43994358,-0.22185716,-0.1620341,-0.17788857,-0.18406197,-0.24847072,-0.41389915,-0.22465584,0.013675578,-0.2178135,0.12728032,0.21597256,-0.05044519,-0.23042126,0.22351913,-0.16378336,-0.28599027,-0.29784408,-0.11003288,-0.32213908,-0.27434412,-0.37625504,-0.33360147,-0.28825027,-0.2678479,-0.28683633,-0.23669618,-0.32526982,0.010602844,-0.27731383,-0.27118132
LS_2,1.938122,-0.03902438,-0.36995465,-0.27309188,-0.8324161,0.8408233,1.9690099,1.6574016,-0.49945137,-0.15456563,1.4773095,-0.7556255,-0.73916835,-0.76772493,-0.87724054,-0.4314208,-0.76229846,-0.9213537,-0.92084336,-0.31348562,-0.6973901,-0.3542608,-0.39921454,-0.3974015,-0.40705398,0.07749401,-0.42720735,-0.30911198,-0.33402586,-0.13129029,-0.48816398,-0.3498411,-0.17397068,-0.32252035,-0.26357892,-0.14285709,-0.19203433,-0.78134876,-0.41274095,-0.35758683,-0.5027676,0.088876314,-0.33534405,-0.18481009,-0.14887993,1.8903594,0.07103422,-0.21155074,-0.14534736,-0.007155766,-0.30601895,-0.14217277,-0.24766614,-0.4160897,0.12884614,-0.44025308,-0.47399494,-0.22185716,-0.1620341,-0.12591057,-0.15255268,-0.24847072,-0.3672972,-0.27497855,-0.44123673,-0.15329617,-0.49457294,2.2685957,0.76737714,-0.25254387,-0.17278548,-0.1430758,-0.04562022,-0.34643102,-1.2514057,-0.36830986,-0.27018163,-0.28114054,-0.21480906,-0.2889076,-0.29751998,-0.28526938,-0.21696872,-0.294721,-0.28310353,-0.25342354,-0.23917468
LS_20,0.14517315,-0.4458974,-0.83593243,-0.38773766,-0.004191815,-0.28237852,-0.29621914,-0.5549892,0.07414868,-0.10949626,0.29733652,0.025015406,0.008087352,0.13193756,0.13587837,-0.25972053,-0.6386667,-0.40976614,-0.09095839,-0.26573402,-0.3040125,-0.20826818,-0.2585427,-0.19624572,-0.15322097,-0.54969066,-0.42720735,-0.17406186,-0.33402586,-0.21512848,-0.29782394,-0.39953753,-0.17020015,-0.22310905,-0.2123617,-0.14285709,-0.08697004,0.2590418,-0.3491081,-0.35758683,0.029347192,-0.8307071,-0.33501765,-0.21167572,0.1501803,-0.22197391,-0.07344431,-0.31949276,0.016381536,-0.17613405,0.27596983,0.3518314,0.8995535,-0.6424098,0.5204375,-0.41845235,0.11370301,-0.05800491,-0.11281844,-0.13941215,-0.06880066,-0.24847072,-0.23487973,-0.12713635,-0.20194353,-0.07456018,-0.31849194,-0.53080636,-0.326347,-0.18964195,-0.06861501,-0.121084064,0.11911736,0.6578706,-0.20094366,-0.16545892,-0.31865874,0.43493938,2.132075,1.4930133,0.26859778,0.9277325,1.0131959,2.3995464,0.092794664,0.92466265,0.6356169
LS_21,-0.7589924,-0.010380878,-0.6254707,-0.04196962,0.56628287,0.9957561,-0.77456784,-0.488119,-0.3352873,-0.46407524,-0.58360165,0.68410456,0.8690183,0.6553157,-0.18765712,-0.0112152565,1.5692439,1.075959,0.7419043,-0.22742477,0.92231125,-0.10995833,-0.213403,-0.20879519,-0.22215828,0.93834686,2.5780063,6.3676887,6.227198,-0.20700961,1.8158734,-0.1851073,-0.14729549,-0.2714411,0.108503774,-0.14285709,-0.12252234,1.5550673,0.38157883,-0.24898659,-0.6137786,0.39512455,-0.38863963,-0.21167572,-0.26790866,-0.43649673,-0.30950078,-0.27973732,-0.16645983,-0.17613405,-0.32552764,-0.24719226,-0.24766614,-0.4498629,0.31797573,-0.4724433,2.152336,-0.22185716,-0.1620341,-0.17788857,-0.18406197,-0.24847072,-0.14303133,-0.06723556,-0.3515782,-0.1416236,-0.561332,-0.49994695,-0.48585245,-0.23425263,-0.11398144,-0.21673864,-0.39359066,-0.34994557,0.8800567,1.3224248,-0.41323596,-0.21628034,-0.31984526,-0.30068076,-0.31256294,-0.30868077,-0.19938704,-0.33163768,-0.21538478,-0.2995556,-0.27316198
LS_22,-1.0101169,-0.060498007,0.22706956,-0.3611967,0.248202,-0.41800752,-0.7130385,-0.15912013,-0.45182893,-0.16403013,0.9485927,2.2959118,2.103703,2.1874847,2.3597727,3.2142856,1.5415437,1.1365529,-0.08120441,-0.29686478,-0.58411926,-0.27412328,-0.34740847,-0.34561026,-0.3612054,-1.0047892,-0.42720735,-0.30911198,-0.33402586,-0.25028744,-0.39663795,-0.22868952,-0.18161872,-0.3057262,-0.28530622,-0.14285709,-0.19203433,-0.6434208,-1.2435004,-0.35758683,-0.3255885,-1.0904806,-0.16409458,-0.21167572,-0.19132476,-0.43699652,-0.37925303,-0.334485,-0.24056295,-0.17613405,-0.32315364,-0.2830128,-0.24766614,-0.6424098,0.44414487,-0.62908995,0.5734152,-0.13039081,-0.1620341,-0.17788857,-0.124050796,-0.24847072,-0.37449157,-0.24600586,-0.47024822,-0.2178135,-0.36488232,0.022050196,-0.5798602,-0.30280915,-0.19023304,-0.41994503,-0.4624677,-0.91928536,0.40495646,-0.3692678,-0.41414115,-0.25022343,-0.3439567,-0.29666114,-0.31222787,-0.2980191,-0.2340225,-0.33888194,-0.53156966,-0.2850504,-0.38661358
LS_23,2.0268512,0.32514563,-0.59519714,-0.28925154,-1.0163931,-0.98785067,-0.20953532,-0.040823147,-0.5053224,-0.23533669,-1.4102532,-1.021762,-1.274889,-0.94987977,-0.5628945,-0.40047568,-0.54310006,-1.7649028,-1.0043881,-0.31074876,-0.4145012,-0.33958718,-0.4042673,-0.33566222,-0.33677012,-1.1643763,-0.42720735,-0.30911198,-0.33402586,-0.23870412,-0.49778277,-0.4800928,-0.18161872,-0.15148354,-0.28530622,-0.14285709,-0.19203433,-0.23279607,-0.94489026,-0.35758683,0.01981914,0.3196283,-0.16911866,-0.21167572,-0.36820418,-0.6291571,-0.39641804,6.294467,-0.24056295,-0.17613405,-0.32752427,-0.34325415,-0.24766614,-0.6424098,0.34887022,-0.62908995,-0.18676263,-0.18059309,-0.1620341,-0.048720006,-0.15986791,-0.24847072,-0.41389915,-0.24451292,-0.47379085,-0.1935315,0.31372374,-1.3224142,-0.38185054,-0.025971895,-0.31517315,4.898195,4.610998,1.5369129,-0.5876327,-0.33659184,6.3084874,0.2514532,-0.32136157,-0.28795353,-0.24561241,-0.27280304,-0.23850673,-0.3359915,0.18193369,-0.21981005,0.080614455
LS_24,0.74717706,0.64844304,1.2511972,-0.03320173,0.52579325,0.019045746,0.8103435,2.3505993,-0.28895843,0.26554164,-0.92990404,-0.70870125,-0.62127525,-0.8545116,-0.19246936,-0.67245156,-0.8900495,-0.680316,-0.9449614,-0.31001422,-0.613929,-0.3179623,-0.39914513,-0.40650192,-0.42753685,-0.8918627,-0.23001336,-0.24922998,-0.18952689,-0.17174777,-0.47383773,-0.4388181,-0.18161872,-0.30906296,-0.24735714,-0.14285709,-0.19203433,-0.70413715,-0.6228849,-0.35758683,-0.49747315,0.058092054,0.31664327,-0.21167572,-0.2065934,-0.0350939,-0.1768553,0.21034752,-0.19201556,-0.17613405,-0.33016023,-0.3276005,-0.24766614,-0.6424098,0.46043572,-0.62908995,-0.9296809,-0.22185716,-0.1620341,-0.12961675,-0.18406197,0.13427572,-0.3671368,-0.19286412,-0.2885701,-0.15968627,1.2806653,2.0482903,0.3866112,0.32570526,0.54163706,-0.115918465,-0.22508231,1.6194111,-0.7063689,-0.38682306,0.045323502,-0.5567877,-0.34494635,-0.31311303,-0.31600037,-0.3049865,-0.22473629,-0.31506804,-0.47422042,-0.3100111,-0.32623792
LS_25,0.6889409,-0.4458974,0.09376523,2.218095,-0.16412756,-0.5528817,0.85615575,0.17089146,4.592,1.7413082,-0.766168,-0.7965499,-0.956178,-0.8042437,-0.5900738,-0.6509392,-1.1637546,-1.261188,-0.7501434,-0.31326923,-0.5143198,-0.3262635,-0.39534807,-0.374532,-0.39238578,-1.0273342,-0.2939989,-0.12207423,-0.18750253,-0.24680415,-0.49778277,-0.5223497,-0.18161872,-0.29941964,-0.26885393,-0.14285709,-0.19203433,-0.4925223,0.5503303,-0.29760084,-0.6137786,-0.06970841,-0.09287856,-0.21167572,-0.19844908,-0.58160764,-0.35536936,-0.21502854,-0.24056295,-0.17613405,-0.31623864,-0.3066173,-0.23691705,-0.1491089,-0.491058,-0.34221226,-0.2988162,-0.22185716,-0.1620341,-0.17788857,-0.15185706,-0.24847072,-0.2389994,-0.21112627,2.1687071,0.004479359,2.2323053,-0.3781922,1.5274674,-0.24992315,-0.16676503,-0.19135717,-0.13863313,-0.45142403,-0.7457675,-0.30892512,0.60078883,-0.5567877,-0.33424932,-0.3225737,-0.3039568,-0.30196324,-0.2307733,-0.33157432,-0.2006132,-0.33727518,-0.32444325
LS_26,-0.96295655,-0.4458974,-0.83593243,-0.28883258,-0.63049805,-0.8455303,-1.0004874,-0.8167,-0.446353,-0.59675306,1.7577993,2.4562755,2.0176532,2.8164806,0.8372781,3.0999374,2.3594532,2.1527193,2.028124,-0.20617723,0.03886196,-0.08305314,-0.31288424,0.6298114,0.8017738,1.345804,-0.42720735,-0.30911198,-0.33402586,-0.24838603,0.061145592,0.21502802,-0.12784246,-0.32609323,-0.16419093,-0.14285709,-0.16248962,0.0012206233,-0.27157414,-0.35758683,-0.4865529,-0.3467431,-0.37038812,-0.16455816,-0.37561014,-0.55224866,-0.34155962,-0.34867898,-0.1671999,-0.17613405,-0.32813236,-0.28272098,-0.24766614,-0.39597598,-0.7445476,-0.573896,3.1387367,0.7403785,-0.10706122,-0.17788857,-0.18406197,0.34323594,0.11930393,-0.27165735,-0.43725592,-0.2178135,-0.9153075,-0.6747033,-0.5774217,-0.17703602,-0.32405287,-0.48412827,-0.38834906,-0.7443972,1.9133011,-0.36559343,-0.45919794,-0.5567877,-0.33924547,-0.3047178,-0.32309222,-0.30759907,-0.24132055,-0.32430205,-0.5395225,-0.3825804,-0.48154446
LS_27,-0.46971333,-0.4458974,2.7462368,-0.39520088,0.018927382,-0.34969327,-0.2832289,-0.09079612,-0.3991737,-0.49308202,1.4050887,1.4572146,1.3526,2.4308329,1.5642145,2.7304778,1.2933975,0.73440146,0.1313945,-0.30282676,0.016360907,-0.2923906,-0.38605568,-0.21639301,-0.13299552,-0.3555134,-0.42720735,-0.30911198,-0.33402586,-0.23903047,-0.2948685,0.013810566,-0.18161872,-0.3137293,-0.24491203,-0.14285709,-0.19203433,0.22896358,-0.837281,-0.30013576,0.023019193,-0.5532893,-0.34306368,-0.21167572,-0.27386302,-0.14906678,-0.03700542,-0.23555766,-0.10932911,-0.17613405,-0.3035261,-0.25719148,-0.24766614,-0.45861572,0.8217807,-0.36837003,1.9677906,0.35874817,-0.1620341,-0.17788857,-0.18406197,-0.24847072,-0.3465363,-0.14178172,-0.4443007,-0.14988475,-0.7069958,-0.09343897,-0.5086464,-0.19042428,-0.19403322,0.19570616,-0.22931764,0.2510057,0.52891725,-0.23296967,-0.11178294,-0.018543314,-0.23747608,-0.22727412,-0.25651497,-0.2164792,-0.20403941,-0.24696477,0.24873227,-0.1970088,-0.1283109
