"state","class","program","scRNA_pts","WC_EFS_n","WC_EFS_det","WC_EFS_coxHR","WC_EFS_coxP","WC_EFS_KMsplit","WC_EFS_logrankP","WC_OS_coxHR","WC_OS_coxP","WC_OS_logrankP","CBF_EFS_n","CBF_EFS_coxHR","CBF_EFS_coxP","CBF_EFS_logrankP","CBF_OS_coxHR","CBF_OS_coxP","CBF_OS_logrankP","WC_EFS_coxFDR","CBF_EFS_coxFDR","WC_EFS_logrankFDR","CBF_EFS_logrankFDR","dir_WC_EFS"
"LS_29","leukemic","Monocyte",6,1310,78,0.946,0.149,"tertile",0.304,0.935,0.178,0.224,313,0.9,0.241,0.722,0.84,0.193,0.584,0.269,0.454,0.438,0.863,"favorable"
"LS_15","leukemic","T/NK",2,1310,65.6,1.05,0.153,"Absent/Low/High",0.322,1.03,0.556,0.232,313,0.836,0.0604,0.642,0.909,0.475,0.929,0.269,0.375,0.45,0.863,"poor"
"LS_4","leukemic","GMP",9,1310,41.7,0.948,0.171,"Absent/Low/High",0.347,0.935,0.181,0.52,313,1.04,0.596,0.502,1.07,0.554,0.591,0.286,0.811,0.459,0.863,"favorable"
"LS_25","leukemic","unresolved",3,1310,28.9,1.05,0.175,"Absent/Low/High",0.011,1.04,0.353,0.0112,313,1.2,0.00402,0.108,1.2,0.0478,0.555,0.286,0.0492,0.0486,0.618,"poor"
"LS_6","leukemic","unresolved",4,1310,86.5,1.05,0.193,"tertile",0.118,1.1,0.0245,0.0205,313,0.934,0.462,0.551,0.977,0.855,0.696,0.305,0.73,0.304,0.863,"poor"
"LS_42","leukemic","unresolved",5,1310,83.3,0.952,0.211,"tertile",0.15,0.977,0.637,0.311,313,0.998,0.98,0.613,1.06,0.657,0.943,0.32,0.98,0.351,0.863,"favorable"
"LS_30","leukemic","T/NK",7,1310,68,0.954,0.215,"tertile",0.0652,0.931,0.147,0.0698,313,0.869,0.145,0.139,0.933,0.609,0.783,0.32,0.436,0.188,0.618,"favorable"
"LS_8","leukemic","B/plasma",4,1310,73.1,0.957,0.243,"tertile",0.589,0.943,0.229,0.227,313,0.991,0.92,0.791,1.07,0.586,0.506,0.35,0.947,0.687,0.881,"favorable"
"LS_1","leukemic","Erythroid",7,1310,88.8,1.04,0.279,"tertile",0.195,1.02,0.592,0.328,313,1.04,0.684,0.919,0.884,0.364,0.466,0.391,0.86,0.356,0.958,"poor"
"LS_16","leukemic","Monocyte",6,1310,21.8,1.03,0.306,"Absent/Low/High",0.139,1.02,0.652,0.132,313,1.11,0.123,0.106,1.07,0.506,0.485,0.416,0.436,0.342,0.618,"poor"
"LS_24","leukemic","unresolved",4,1310,75.6,1.03,0.369,"tertile",0.0161,1.09,0.0433,0.0015,313,1.13,0.127,0.5,1.21,0.0911,0.372,0.488,0.436,0.0607,0.863,"poor"
"LS_14","leukemic","Megakaryocyte",6,1310,92.2,0.971,0.445,"tertile",0.363,1.04,0.374,0.715,313,0.968,0.707,0.733,0.988,0.922,0.976,0.574,0.866,0.467,0.863,"favorable"
"LS_39","leukemic","Cell-cycle",5,1310,84.2,1.01,0.72,"tertile",0.724,0.972,0.558,0.318,313,0.856,0.0841,0.664,0.784,0.0687,0.692,0.886,0.375,0.757,0.863,"poor"
"LS_37","leukemic","B/plasma",2,1310,79.1,0.987,0.731,"tertile",0.822,0.985,0.748,0.686,313,0.989,0.905,0.992,1.07,0.607,0.877,0.886,0.947,0.822,0.992,"favorable"
"LS_36","leukemic","unresolved",4,1310,79.1,1.01,0.741,"tertile",0.79,0.939,0.188,0.163,313,1.22,0.0109,0.0922,0.983,0.887,0.574,0.886,0.107,0.807,0.618,"poor"
"LS_2","leukemic","unresolved",3,1310,75.6,0.989,0.772,"tertile",0.604,0.966,0.471,0.549,313,1.11,0.164,0.117,1.12,0.319,0.0943,0.901,0.436,0.689,0.618,"favorable"
"LS_22","leukemic","GMP",4,1310,82.6,1.01,0.819,"tertile",0.726,0.995,0.924,0.287,313,0.883,0.178,0.241,0.876,0.321,0.487,0.934,0.436,0.757,0.738,"poor"
"LS_5","leukemic","HSC/MPP",5,1310,81.4,0.992,0.841,"tertile",0.372,0.965,0.451,0.13,313,1.06,0.5,0.606,1.05,0.713,0.853,0.937,0.766,0.467,0.863,"favorable"
"LS_44","leukemic","Macrophage",2,1310,44,0.993,0.862,"Absent/Low/High",0.704,1.02,0.596,0.931,313,1.15,0.0832,0.199,1.16,0.184,0.0812,0.938,0.375,0.757,0.696,"favorable"
"LS_32","leukemic","GMP",4,1310,39,1,0.898,"Absent/Low/High",0.696,1.08,0.0583,0.028,313,1.04,0.622,0.112,1.07,0.55,0.404,0.957,0.823,0.757,0.618,"poor"
"LS_3","leukemic","Cell-cycle",5,1310,81.7,0.998,0.957,"tertile",0.0807,1.04,0.36,0.151,313,0.879,0.154,0.654,0.937,0.612,0.419,0.981,0.436,0.22,0.863,"favorable"
"LS_7","leukemic","Monocyte",3,1310,42.1,1,0.961,"Absent/Low/High",0.224,0.996,0.931,0.224,313,0.872,0.174,0.545,0.743,0.0997,0.372,0.981,0.436,0.365,0.863,"poor"
"LS_9","leukemic","unresolved",5,1310,27.8,1,0.99,"Absent/Low/High",0.489,1.02,0.648,0.906,313,1.12,0.136,0.374,1.13,0.263,0.0716,0.99,0.436,0.584,0.863,"favorable"
"NORM_DC","normal","DC",NA,1310,73.7,1.1,0.00431,"tertile",0.0064,1.13,0.00245,0.0058,313,1.12,0.132,0.111,1.16,0.157,0.118,0.0301,0.656,0.0224,0.258,"poor"
"NORM_B","normal","B",NA,1310,91.7,0.936,0.109,"tertile",0.0027,0.973,0.569,0.339,313,0.937,0.476,0.562,1.18,0.136,0.2,0.356,0.666,0.0189,0.786,"favorable"
"NORM_Erythroid","normal","Erythroid",NA,1310,98.9,1.05,0.152,"tertile",0.507,1.06,0.172,0.137,313,1.01,0.927,0.905,1.1,0.323,0.897,0.356,0.929,0.58,0.905,"poor"
"NORM_HSPC","normal","HSPC",NA,1310,43.6,1.04,0.333,"Absent/Low/High",0.58,1.07,0.115,0.916,313,1.09,0.281,0.46,1.12,0.277,0.782,0.583,0.656,0.58,0.786,"poor"
"NORM_Monocyte","normal","Monocyte",NA,1310,96.6,1.02,0.542,"tertile",0.409,0.986,0.763,0.984,313,0.993,0.929,0.0401,0.954,0.715,0.499,0.759,0.929,0.58,0.149,"poor"
"NORM_T_NK","normal","T_NK",NA,1310,95.3,0.991,0.809,"tertile",0.458,0.979,0.674,0.198,313,0.893,0.222,0.7,0.984,0.896,0.881,0.883,0.656,0.58,0.816,"favorable"
"NORM_MyeloidPro","normal","MyeloidPro",NA,1310,60.3,0.994,0.883,"Absent/Low/High",0.0194,0.961,0.406,0.0576,313,1.07,0.422,0.0427,1.09,0.456,0.288,0.883,0.666,0.0453,0.149,"favorable"
