"LS","HR","ci_lo","ci_hi","p","fdr","dir","n_cells","jaccard","AML_frac","healthyBM_frac","top_cyto","n_patients","top_pt_frac","lineage_program","stem_z","prognosis"
"LS_16",1.035,0.969,1.105,0.30591879304227,0.416389468307534,"poor",1394,0.9,1,0.01,"CBFB/MYH11(68%)",6,0.35,"Monocyte",-1.3345684,"ns"
"LS_24",1.033,0.963,1.108,0.36878685887778,0.488393407703006,"poor",1104,0.63,1,0,"Tri(15)(62%)",4,0.62,"unresolved",0.65211433,"ns"
"LS_14",0.971,0.9,1.047,0.445118913845014,0.573969125747518,"favorable",1536,0.67,1,0.02,"CN(30%)",6,0.21,"Megakaryocyte",0.67502606,"ns"
"LS_39",1.014,0.94,1.093,0.719824085371819,0.885814441131649,"poor",788,0.73,1,0.07,"CN(18%)",5,0.09,"proliferative",0.7369078,"ns"
"LS_37",0.987,0.918,1.062,0.731037218702552,0.885814441131649,"favorable",831,0.54,1,0,"del7q(74%)",2,0.74,"B/plasma",0.37133163,"ns"
"LS_36",1.012,0.942,1.088,0.741191675232604,0.885814441131649,"poor",863,0.41,1,0,"CBFB/MYH11(72%)",4,0.28,"unresolved",0.40902978,"ns"
"LS_2",0.989,0.919,1.065,0.772473636587121,0.901219242684975,"favorable",2432,0.76,1,0,"CBFB/MYH11(94%)",3,0.38,"unresolved",0.24626105,"ns"
"LS_22",1.009,0.936,1.087,0.819452742069795,0.933794985149302,"poor",1162,0.56,1,0,"Tri(15)(57%)",4,0.57,"GMP",-0.16761728,"ns"
"LS_5",0.992,0.922,1.069,0.841131498725888,0.936714623581103,"favorable",1857,0.43,1,0,"MLLr(38%)",5,0.36,"HSC/MPP",0.7344972,"ns"
"LS_44",0.993,0.92,1.072,0.861775945063792,0.938378251291684,"favorable",406,0.69,1,0.01,"RUNX1/RUNX1T1(89%)",2,0.88,"Macrophage",-1.3080021,"ns"
"LS_32",1.005,0.934,1.081,0.898436839334627,0.957030546247755,"poor",991,0.37,1,0,"Tri(8)/MLLr(47%)",4,0.43,"GMP",-0.005877316,"ns"
"LS_3",0.998,0.927,1.075,0.956526470627343,0.981005442691964,"favorable",2386,0.58,1,0,"CN(26%)",5,0.1,"proliferative",0.08830475,"ns"
"LS_7",1.002,0.932,1.077,0.960984923453352,0.981005442691964,"poor",1703,0.67,1,0.04,"MLLr(59%)",3,0.49,"Monocyte",-0.97214144,"ns"
"LS_9",1,0.931,1.075,0.990447598750662,0.990447598750662,"favorable",1666,0.41,1,0.01,"MLLr(33%)",5,0.2,"unresolved",-0.07763256,"ns"
