sample,LS_1,LS_2,LS_3,LS_4,LS_5,LS_6,LS_7,LS_8,LS_9,LS_10,LS_11,LS_12,LS_13,LS_14,LS_15,LS_16,LS_17,LS_18,LS_19,LS_20,LS_21,LS_22,LS_23,LS_24,LS_25,LS_26,LS_27,LS_28,LS_29,LS_30
TARGET.20.PAUYRR.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05029974687596224,0.36996359967099535,0.0,0.0,0.0,0.0,0.0,0.0,0.47515684596455404,0.0,0.0,0.0,0.0,0.0,0.009653664610670704,0.053776721972181786,0.0,0.04114942090563598,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAWNHW.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05062271346792369,0.42623093148485586,0.0,0.0,0.0,0.0,0.0,0.02566561028746643,0.3489534620224472,0.0,0.0,0.0,0.0754078158959259,0.0,0.029365646583829046,0.0,0.0,0.0,0.011009445812071597,0.0,0.0,0.03274437444548032,0.0
TARGET.20.PAVKFD.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10275057848190786,0.0,0.0,0.0,0.0,0.0,0.1352500727666206,0.3478773475531715,0.0,0.0,0.00506795054679743,0.0,0.11637983712652163,0.0011551169570239675,0.0,0.0,0.0,0.29151909656795694,0.0,0.0,0.0,0.0
TARGET.20.PAWVLI.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10210583081023131,0.0,0.0,0.0,0.0,0.43868593911566056,0.0,0.017798162392303144,0.2592379551875894,0.0,0.0,0.0,0.0,0.0,0.006326298479438354,0.0,0.0,0.0,0.1758458140147773,0.0,0.0,0.0,0.0
TARGET.20.PAWUKE.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0505217431845026,0.4182083162999452,0.0,0.0,0.0,0.0,0.0,0.0,0.5097758552723979,0.0,0.0,0.0,0.0,0.0,0.021494085243154347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARGET.20.PAXKTY.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031386481013877525,0.11247531299139046,0.0,0.0,0.0,0.0,0.0,0.038751289691069335,0.41615914966715656,0.03244490130605807,0.0,0.0,0.03332920976022776,0.0,0.0,0.0,0.03391226090801148,0.0,0.30154139466220886,0.0,0.0,0.0,0.0
TARGET.20.PAVBEM.09A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314326962199951,0.25280059845093855,0.0,0.0,0.0,0.0,0.0,0.0,0.36623508395424575,0.0,0.0,0.0,0.0,0.0,0.00394766440679489,0.031220524409862067,0.0,0.0,0.08863122570084872,0.0,0.0,0.21402163345531064,0.0
TARGET.20.PAYLEK.Unsorted.09A,0.0,0.0,0.0,0.0,0.2262048425498532,0.0,0.0,0.08699883482352,0.029099418152952715,0.0,0.0,0.0,0.0,0.0,0.06887568167764986,0.362037989954271,0.0,0.0,0.0,0.0,0.0,0.03194588370075282,0.0,0.0,0.0,0.1948373491410004,0.0,0.0,0.0,0.0
TARGET.20.PATHMB.09A,0.0,0.0,0.0071071334444183076,0.0,0.0,0.0,0.0,0.1378529247711379,0.24262976161803393,0.0,0.0,0.0,0.0,0.0,0.0,0.26019873208393596,0.0,0.0,0.0,0.0466837830579436,0.0,0.011241465152214766,0.0,0.0,0.13958931064534436,0.15469688922697125,0.0,0.0,0.0,0.0
TARGET.20.PAUUKK.09A,0.0,0.0,0.0,0.06626146354543233,0.0,0.0,0.0,0.09345807785169594,0.05610536718323851,0.0,0.0,0.0,0.0,0.0,0.13085579255745197,0.2588030736244975,0.0,0.0,0.0,0.0,0.0,0.005662942556464323,0.0,0.0,0.0,0.3888532826812194,0.0,0.0,0.0,0.0
