res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_cyto
2.0,0,5263,0.759439889301057,0.06607068547396693,0.13585407562226867,AML4363,30,MLLr(14%)
2.0,1,3106,0.3960290165008088,0.09791908068847117,0.28010302640051515,AML4102,27,RUNX1/RUNX1T1(30%)
2.0,2,3237,0.622373897027352,0.171186549070816,0.09360518999073215,AML335,30,CN(26%)
2.0,3,3299,0.7504265894841351,0.10091020889417242,0.19005759321006366,AML3371,29,Tri(15)(19%)
2.0,4,507,0.5335443700104524,0.2976400403308255,0.863905325443787,AML3210,16,MLLr(87%)
2.0,5,672,0.8070876748922762,0.17175515584316003,0.9211309523809523,AML4232,12,RUNX1/RUNX1T1(93%)
2.0,6,4080,0.8891089955140423,0.007928232040871865,0.3237745098039216,AML3082,25,CBFB/MYH11(92%)
2.0,7,2725,0.8389611449178901,0.08927166067838403,0.3174311926605505,AML882,28,CBFB/MYH11(41%)
2.0,8,2229,0.5957134895831706,0.17190325670893367,0.11215791834903545,AML4035,30,CN(18%)
2.0,9,1708,0.5670912933556325,0.10983521766224401,0.5608899297423887,AML4363,26,BCR/ABL(56%)
2.0,10,3062,0.403252804087818,0.045040583796674985,0.3324624428478119,AML3210,30,MLLr(56%)
2.0,11,2268,0.6944911907248393,0.03062922183637088,0.14594356261022928,AML1355,30,PML/RARA(20%)
2.0,12,2363,0.2746399216807351,0.049632662215633484,0.3089293271265341,AML4264,26,RUNX1/RUNX1T1(41%)
2.0,13,3345,0.3935907890549196,0.07694738001386403,0.17219730941704037,AML1355,27,PML/RARA(28%)
2.0,14,1718,0.724985445520255,0.11125174899585807,0.10768335273573923,AML4035,29,CBFB/MYH11(17%)
2.0,15,1216,0.9105171231325736,0.01489602352610311,0.890625,AML882,11,t(7;14)(q21;q32)(89%)
2.0,16,2279,0.692799095909395,0.16768783243155916,0.23519087318999563,AML4232,30,RUNX1/RUNX1T1(34%)
2.0,17,1139,0.8811095936502907,0.13972489073286218,0.9446883230904302,AML4116,8,NUP98/NSD1(94%)
2.0,18,1625,0.7477066233342412,0.1423257962297585,0.9403076923076923,AML4035,20,MYB/GATA1(94%)
2.0,19,978,0.8480285367667004,0.025617998899280348,0.8128834355828221,AML4264,16,RUNX1/RUNX1T1(82%)
2.0,20,522,0.38309806057678486,0.23837978784950947,0.578544061302682,AML4116,17,NUP98/NSD1(58%)
2.0,21,532,0.7775981145646192,0.3002702430264548,0.9755639097744361,AML4127,2,Tri(8)(98%)
2.0,22,4237,0.4082214231573003,0.11361310001336643,0.19353316025489734,AML3492,24,PML/RARA(37%)
2.0,23,2889,0.5078499254002984,0.11489205896679815,0.1408791969539633,AML4304,30,MLLr(21%)
2.0,24,4891,0.4893505568746064,0.14894588498901692,0.1954610509098344,AML4304,29,MLLr(30%)
2.0,25,5139,0.5700922616253525,0.1432119667431894,0.22086008951157812,AML948,28,CN(49%)
2.0,26,2127,0.5793700468526695,0.14309557758969488,0.2529384109073813,AML4271,28,CBFB/MYH11(47%)
2.0,27,2185,0.5332469874203511,0.1472458233607384,0.37620137299771167,AML4226,30,CN(51%)
2.0,28,767,0.2374069334551169,0.16207135381972645,0.4758800521512386,AML3121,24,t(2;3)(p15;q26.2)(48%)
2.5,0,2307,0.32559313005003454,0.09941449079586923,0.1660164716081491,AML4304,29,MLLr(30%)
2.5,1,5293,0.735743597472551,0.05871593566899628,0.13527300207821652,AML4363,30,MLLr(15%)
2.5,2,309,0.09125401243747035,0.10610038601730716,0.8284789644012945,AML3121,16,t(2;3)(p15;q26.2)(83%)
2.5,3,2762,0.4051076380690993,0.11370448115238313,0.3149891383055757,AML4102,24,RUNX1/RUNX1T1(33%)
2.5,4,2511,0.2941801382286515,0.04389897364638035,0.3018717642373556,AML4000,26,RUNX1/RUNX1T1(38%)
2.5,5,667,0.8203607882050138,0.17754980255257202,0.9250374812593704,AML4232,12,RUNX1/RUNX1T1(93%)
2.5,6,1777,0.7213445932507081,0.0715171473877842,0.18739448508722567,AML4271,25,CBFB/MYH11(41%)
2.5,7,2409,0.8886601159492649,0.1395996094472023,0.3345786633457866,AML882,26,CBFB/MYH11(44%)
2.5,8,706,0.7279520436384775,0.05321544371452212,0.3356940509915014,AML4271,25,CBFB/MYH11(53%)
2.5,9,2911,0.49825327471708647,0.15786056358815753,0.23737547234627276,AML3371,26,Tri(15)(24%)
2.5,10,3912,0.492118204919752,0.11041169963045315,0.2561349693251534,AML948,27,CN(54%)
2.5,11,2077,0.6873753558452402,0.1617659869330219,0.1150698122291767,AML4035,30,CN(17%)
2.5,12,1478,0.41015366911190954,0.16791306959495542,0.33694181326116374,AML3210,28,MLLr(34%)
2.5,13,3204,0.6865674034800772,0.17292927185789056,0.09831460674157304,AML335,30,CN(27%)
2.5,14,2548,0.5699062892527097,0.16394672985476424,0.34222919937205654,AML4226,30,CN(55%)
2.5,15,1702,0.6922103897768431,0.10065530453408528,0.48589894242068155,AML3210,29,MLLr(59%)
2.5,16,1999,0.5026791417994417,0.08095908072248735,0.30665332666333167,AML4304,28,MLLr(49%)
2.5,17,1909,0.7141268627634397,0.17217393791610958,0.10267155578837088,AML4035,29,CBFB/MYH11(17%)
2.5,18,757,0.14502520334537686,0.03455529014461576,0.34081902245706736,AML4090,21,CN(35%)
2.5,19,158,0.2203295680679572,0.2771149014808843,0.879746835443038,AML3210,11,MLLr(89%)
2.5,20,3986,0.8787674638920692,0.02768525536438891,0.3278976417461114,AML3082,25,CBFB/MYH11(93%)
2.5,21,2328,0.7768436876342417,0.1436331458751045,0.22938144329896906,AML4232,30,RUNX1/RUNX1T1(33%)
2.5,22,531,0.972580794366998,0.01551036261241298,0.975517890772128,AML4127,2,Tri(8)(98%)
2.5,23,3086,0.3308439248049859,0.10474105905936208,0.20479585223590407,AML4192,28,MLLr(28%)
2.5,24,1153,0.9678215416962341,0.007976239314201097,0.9401561144839549,AML4116,8,NUP98/NSD1(94%)
2.5,25,538,0.6163082591606392,0.2968069266267883,0.5613382899628253,AML4116,19,NUP98/NSD1(56%)
2.5,26,1625,0.8451050848220397,0.12062732970930812,0.936,AML4035,23,MYB/GATA1(94%)
2.5,27,1167,0.9307600104140381,0.015656789855265054,0.9245929734361611,AML882,9,t(7;14)(q21;q32)(92%)
2.5,28,1044,0.8348721576268101,0.03890219167334749,0.7959770114942529,AML4264,17,RUNX1/RUNX1T1(80%)
2.5,29,3204,0.39023051824294186,0.08208308906519615,0.2222222222222222,AML3492,25,PML/RARA(44%)
2.5,30,1114,0.3209068717246844,0.1415558532870414,0.3895870736086176,AML3121,25,t(2;3)(p15;q26.2)(39%)
2.5,31,2801,0.4701189014814819,0.09482011124873764,0.2002856122813281,AML1355,27,PML/RARA(31%)
2.5,32,1682,0.6018540804894885,0.1194997757477926,0.5760998810939358,AML4363,27,BCR/ABL(58%)
2.5,33,2262,0.7111454124077115,0.022400320704965324,0.15340406719717065,AML1355,30,PML/RARA(21%)
2.5,34,2191,0.564462341152086,0.06883660982275103,0.11866727521679599,AML4304,30,CN(21%)
3.0,0,2555,0.4114207776959601,0.10060380937867068,0.19256360078277887,AML4304,30,MLLr(31%)
3.0,1,1692,0.201828353199787,0.06922928555093569,0.18262411347517732,AML3121,29,t(2;3)(p15;q26.2)(18%)
3.0,2,3150,0.6322883006864481,0.15537770747022697,0.09492063492063492,AML335,30,CN(26%)
3.0,3,1060,0.7630931749142941,0.16375999205047137,0.11226415094339623,AML335,30,CN(25%)
3.0,4,759,0.7299984816474301,0.1628062771943139,0.9262187088274044,AML4232,17,RUNX1/RUNX1T1(93%)
3.0,5,2883,0.384292136570055,0.08699691202320152,0.22892819979188345,AML1355,26,PML/RARA(45%)
3.0,6,1828,0.7324380784173027,0.06255256300134843,0.17778993435448578,AML4239,26,CBFB/MYH11(39%)
