subtype,n,PAC,mean_pct,pval,fdr,neglog10fdr
PML-RARA,55,FPAC_1,37.90829876459409,1.6210085889258572e-35,4.160588711576366e-34,16.0
PML-RARA,55,FPAC_2,1.1729499404980746,0.9999398964638055,0.9999999999999976,1.060760213208617e-15
PML-RARA,55,PPAC_1,1.1414745580614531,0.9686810630398898,0.9999999999999976,1.060760213208617e-15
PML-RARA,55,PPAC_2,5.501066326136009,0.024043038163084302,0.09256569692787456,1.0335499247109856
PML-RARA,55,PPAC_3,0.6898164150374467,0.9999974926883154,0.9999999999999976,1.060760213208617e-15
PML-RARA,55,PPAC_4,0.8736318898081143,0.9999999839311127,0.9999999999999976,1.060760213208617e-15
PML-RARA,55,PPAC_5,1.5590595378251704,0.09424217239687299,0.3023603031066342,0.5194752279638777
t(8;21),184,FPAC_1,6.6588812372448185,0.02851897044509017,0.10456955829866396,0.9805947264351478
t(8;21),184,FPAC_2,15.150762849118712,3.524803248770353e-55,1.3570492507765858e-53,16.0
t(8;21),184,PPAC_1,0.6913191801046297,0.9999999999730299,0.9999999999999976,1.060760213208617e-15
t(8;21),184,PPAC_2,4.5985486547628,0.2172139813466077,0.6194620949514367,0.20798526306850318
t(8;21),184,PPAC_3,1.6294478034989215,0.9999954360281833,0.9999999999999976,1.060760213208617e-15
t(8;21),184,PPAC_4,1.717957804423187,0.9993211891253684,0.9999999999999976,1.060760213208617e-15
t(8;21),184,PPAC_5,1.3218988139252958,0.013813255098646275,0.055980033820829646,1.2519668434869473
inv(16),129,FPAC_1,7.0374302665408495,0.0004280081455044372,0.0027463856003201383,2.5612384866424214
inv(16),129,FPAC_2,5.728124615867599,1.6009730843180647e-08,2.0545821248748497e-07,6.687276494622531
inv(16),129,PPAC_1,0.41350184201155654,0.9999999945757363,0.9999999999999976,1.060760213208617e-15
inv(16),129,PPAC_2,3.8502102061623287,0.9593519351262132,0.9999999999999976,1.060760213208617e-15
inv(16),129,PPAC_3,2.2408599623934298,0.6862353837355013,0.9999999999999976,1.060760213208617e-15
inv(16),129,PPAC_4,1.2915500690790567,0.9999994667066066,0.9999999999999976,1.060760213208617e-15
inv(16),129,PPAC_5,0.4878509740636066,0.9999987723571555,0.9999999999999976,1.060760213208617e-15
Normal,296,FPAC_1,6.298005486216985,0.7920425176538548,0.9999999999999976,1.060760213208617e-15
Normal,296,FPAC_2,4.353770970788155,0.6652393496946521,0.9999999999999976,1.060760213208617e-15
Normal,296,PPAC_1,2.870868432295676,2.16136206546869e-10,3.3284975808217826e-09,8.47775175436084
Normal,296,PPAC_2,4.688083156060861,0.472326815330769,0.9999999999999976,1.060760213208617e-15
Normal,296,PPAC_3,1.828725891829713,0.9999999850174807,0.9999999999999976,1.060760213208617e-15
Normal,296,PPAC_4,2.9415915854900745,0.010563848703661288,0.05083852188636995,1.2938070849064858
Normal,296,PPAC_5,1.8707001066319278,0.0005015983651246595,0.002971005701122983,2.5270965148190636
Other,184,FPAC_1,4.330577868764339,0.9999997214851828,0.9999999999999976,1.060760213208617e-15
Other,184,FPAC_2,2.7351195738923346,0.9999927653648072,0.9999999999999976,1.060760213208617e-15
Other,184,PPAC_1,3.615553683758839,6.603872303854966e-11,1.271245418492081e-09,8.895770599242999
Other,184,PPAC_2,6.580451384388643,5.756019425229487e-06,5.540168696783381e-05,4.256477010909352
Other,184,PPAC_3,2.846666548935569,0.999122676922765,0.9999999999999976,1.060760213208617e-15
Other,184,PPAC_4,2.4305630811516132,0.7301445697252593,0.9999999999999976,1.060760213208617e-15
Other,184,PPAC_5,1.2876585442200692,0.7162447085189164,0.9999999999999976,1.060760213208617e-15
KMT2A(MLL),266,FPAC_1,6.016827600549076,0.6475250327890413,0.9999999999999976,1.060760213208617e-15
KMT2A(MLL),266,FPAC_2,1.8685917362729048,0.9999999973524212,0.9999999999999976,1.060760213208617e-15
KMT2A(MLL),266,PPAC_1,1.1889910974497886,0.9999957050798345,0.9999999999999976,1.060760213208617e-15
KMT2A(MLL),266,PPAC_2,2.2740862341833976,0.9999999999999976,0.9999999999999976,1.060760213208617e-15
KMT2A(MLL),266,PPAC_3,11.331025890611498,2.768499535867247e-68,2.13174464261778e-66,16.0
KMT2A(MLL),266,PPAC_4,3.089993672847548,1.9833007197768636e-08,2.1816307917545498e-07,6.661218745347543
KMT2A(MLL),266,PPAC_5,1.9218094296512196,0.6303702401901834,0.9999999999999976,1.060760213208617e-15
