bin,x,y,n_cells
838,-18.6185,6.9641,2
839,-18.6185,7.5642,3
840,-18.6185,8.7645,5
841,-18.6185,9.3646,5
842,-18.6185,9.9647,6
843,-18.6185,10.5648,6
844,-18.6185,11.1650,4
845,-18.6185,11.7651,8
846,-18.6185,12.3652,8
847,-18.6185,12.9654,23
848,-18.6185,13.5655,31
849,-18.6185,14.1656,32
850,-18.6185,14.7658,21
851,-18.6185,15.3659,19
852,-18.6185,15.9660,17
853,-18.6185,16.5662,12
854,-18.6185,17.1663,18
855,-18.6185,17.7664,12
856,-18.6185,18.3666,12
857,-18.6185,18.9667,11
858,-18.6185,19.5668,6
859,-18.6185,20.1670,6
860,-18.6185,20.7671,9
861,-18.6185,21.3672,18
862,-18.6185,21.9674,12
863,-18.6185,22.5675,7
864,-18.6185,23.1676,17
865,-18.6185,23.7678,8
866,-18.6185,24.3679,12
867,-18.6185,24.9680,1
868,-18.0344,-28.4438,1
869,-18.0344,-27.2435,4
870,-18.0344,-26.6434,8
871,-18.0344,-26.0432,8
872,-18.0344,-25.4431,11
873,-18.0344,-24.8430,11
874,-18.0344,-24.2428,9
875,-18.0344,-23.6427,12
876,-18.0344,-23.0426,2
877,-18.0344,-22.4424,9
878,-18.0344,-21.8423,10
879,-18.0344,-21.2422,10
880,-18.0344,-20.6420,14
881,-18.0344,-20.0419,15
882,-18.0344,-19.4418,21
883,-18.0344,-18.8416,11
884,-18.0344,-18.2415,11
885,-18.0344,-17.6414,11
886,-18.0344,-17.0412,10
887,-18.0344,-16.4411,14
888,-18.0344,-15.8410,13
