SampleID,lineage,frac,sample_type
AML4116,B,0.002792321116928447,AML
AML4116,PlasmaB,0.007329842931937173,AML
AML4127,0_HSPC,0.0,AML
AML4127,Myeloid_Pro,0.0,AML
AML4127,Erythrocytes,0.0,AML
AML4127,Monocyte,0.0011795930404010617,AML
AML4127,NK,0.0005897965202005308,AML
AML4127,T,0.0044234739015039815,AML
AML4127,B,0.0020642878207018578,AML
AML4127,PlasmaB,0.0026540843409023885,AML
AML4192,0_HSPC,0.00030321406913280777,AML
AML4192,Myeloid_Pro,0.0,AML
AML4192,Erythrocytes,0.0,AML
AML4192,Monocyte,0.006064281382656155,AML
AML4192,NK,0.00030321406913280777,AML
AML4192,T,0.013947847180109158,AML
AML4192,B,0.004244996967859308,AML
AML4192,PlasmaB,0.0015160703456640388,AML
AML4226,0_HSPC,0.0,AML
AML4226,Myeloid_Pro,0.006242197253433208,AML
AML4226,Erythrocytes,0.007802746566791511,AML
AML4226,Monocyte,0.033395755305867664,AML
AML4226,NK,0.0012484394506866417,AML
AML4226,T,0.012484394506866416,AML
AML4226,B,0.001560549313358302,AML
AML4226,PlasmaB,0.0046816479400749065,AML
AML4232,0_HSPC,0.015352197471402769,AML
AML4232,Myeloid_Pro,0.009030704394942806,AML
AML4232,Erythrocytes,0.018061408789885613,AML
AML4232,Monocyte,0.062311860325105356,AML
AML4232,NK,0.004214328717639976,AML
AML4232,T,0.26580373269114993,AML
AML4232,B,0.060505719446116796,AML
AML4232,PlasmaB,0.0027092113184828417,AML
AML4239,0_HSPC,0.0,AML
AML4239,Myeloid_Pro,0.00641399416909621,AML
AML4239,Erythrocytes,0.0,AML
AML4239,Monocyte,0.014285714285714285,AML
AML4239,NK,0.0005830903790087463,AML
AML4239,T,0.007580174927113703,AML
AML4239,B,0.0020408163265306124,AML
AML4239,PlasmaB,0.0008746355685131195,AML
AML4264,0_HSPC,0.0,AML
AML4264,Myeloid_Pro,0.0003295978905735003,AML
AML4264,Erythrocytes,0.0016479894528675016,AML
AML4264,Monocyte,0.0032959789057350032,AML
AML4264,NK,0.0023071852340145024,AML
AML4264,T,0.007580751483190508,AML
AML4264,B,0.0006591957811470006,AML
AML4264,PlasmaB,0.0013183915622940012,AML
AML4271,0_HSPC,0.0009033423667570009,AML
AML4271,Myeloid_Pro,0.02077687443541102,AML
AML4271,Erythrocytes,0.0036133694670280035,AML
AML4271,Monocyte,0.01415236374585968,AML
AML4271,NK,0.0015055706112616681,AML
AML4271,T,0.019572417946401688,AML
AML4271,B,0.006323396567299007,AML
AML4271,PlasmaB,0.0009033423667570009,AML
AML4304,0_HSPC,0.0002922267679719462,AML
AML4304,Myeloid_Pro,0.0,AML
AML4304,Erythrocytes,0.0008766803039158387,AML
AML4304,Monocyte,0.0,AML
AML4304,NK,0.0002922267679719462,AML
AML4304,T,0.0029222676797194622,AML
AML4304,B,0.0005844535359438924,AML
AML4304,PlasmaB,0.0002922267679719462,AML
AML4363,0_HSPC,0.0,AML
AML4363,Myeloid_Pro,0.004330343334364367,AML
AML4363,Erythrocytes,0.0018558614290133002,AML
AML4363,Monocyte,0.018558614290133002,AML
AML4363,NK,0.0,AML
AML4363,T,0.0021651716671821837,AML
AML4363,B,0.001546551190844417,AML
AML4363,PlasmaB,0.0009279307145066501,AML
AML647,0_HSPC,0.0,AML
AML647,Myeloid_Pro,0.013191489361702127,AML
AML647,Erythrocytes,0.005531914893617021,AML
AML647,Monocyte,0.011063829787234043,AML
AML647,NK,0.0,AML
AML647,T,0.000425531914893617,AML
AML647,B,0.001276595744680851,AML
AML647,PlasmaB,0.000425531914893617,AML
AML882,0_HSPC,0.0,AML
AML882,Myeloid_Pro,0.003575685339690107,AML
AML882,Erythrocytes,0.0,AML
AML882,Monocyte,0.014302741358760428,AML
AML882,NK,0.0,AML
AML882,T,0.016388557806912993,AML
AML882,B,0.003575685339690107,AML
AML882,PlasmaB,0.0008939213349225268,AML
AML948,0_HSPC,0.0,AML
AML948,Myeloid_Pro,0.0003266906239790918,AML
AML948,Erythrocytes,0.0009800718719372753,AML
AML948,Monocyte,0.005880431231623653,AML
AML948,NK,0.0,AML
AML948,T,0.0009800718719372753,AML
AML948,B,0.0,AML
AML948,PlasmaB,0.0009800718719372753,AML
