subset,CD3_pos,CD7_pos,CD45RA_pos,CD127_pos,CD25_pos,CD279_pos,CD152_pos,CD366_pos
Naïve CD4 T,93.943763518385,93.15068493150685,82.58832011535688,14.527757750540735,1.1535688536409516,1.1535688536409516,0.32444124008651765,0.21629416005767843
Memory CD4 T,92.35955056179776,77.30337078651685,10.0,24.269662921348313,8.314606741573034,14.157303370786517,0.0,0.0
Treg,93.29896907216495,76.80412371134021,32.98969072164948,3.608247422680412,28.865979381443296,21.649484536082475,1.0309278350515463,1.5463917525773196
Naïve CD8 T,95.92555331991952,96.83098591549296,92.40442655935614,16.19718309859155,0.45271629778672035,0.5533199195171026,0.2515090543259557,0.45271629778672035
Memory CD8 T,88.16901408450704,96.90140845070422,72.95774647887325,17.183098591549296,1.971830985915493,6.478873239436619,0.28169014084507044,1.1267605633802817
GZMK CD8 T,91.33247089262613,78.52522639068565,48.253557567917206,4.786545924967658,0.129366106080207,28.201811125485122,0.258732212160414,0.0
GZMB CD8 T,78.99408284023669,79.58579881656804,70.26627218934911,1.0355029585798818,0.0,7.6923076923076925,0.2958579881656805,0.14792899408284024
GZMB DNT,91.51193633952255,87.26790450928382,57.824933687002655,8.488063660477453,0.0,2.9177718832891246,0.2652519893899204,0.0
MAIT,91.92825112107623,92.37668161434978,25.112107623318387,28.699551569506728,0.0,10.31390134529148,0.0,0.4484304932735426
GZMK NK,5.263157894736842,96.17224880382776,80.86124401913875,6.220095693779904,0.9569377990430622,0.4784688995215311,0.0,0.4784688995215311
GZMB NK,10.428015564202335,94.24124513618676,91.36186770428016,0.933852140077821,0.311284046692607,1.4785992217898831,0.38910505836575876,0.8560311284046693
Proliferating T,58.0246913580247,66.66666666666666,40.74074074074074,3.7037037037037033,1.2345679012345678,13.580246913580247,0.0,1.2345679012345678
