names,scores,logfoldchanges,pvals,pvals_adj
APRT,17.476885,0.77817225,2.1492730323339235e-68,6.603822510359941e-66
HLA-A,17.462883,0.71453327,2.7470038976925967e-68,8.346618731811305e-66
H2AFY,17.3094,0.7847363,3.9955840865792524e-67,1.2006949717757827e-64
FPGS,17.270018,1.1231378,7.911815929671806e-67,2.3264141764817763e-64
SELL,17.202448,1.080752,2.5454288603353527e-66,7.405031661141548e-64
NPR3,17.143047,1.2702284,7.083800828283727e-66,2.0390907100025979e-63
GAPDH,17.096151,0.46775764,1.5853567121973604e-65,4.515954651223856e-63
CD34,17.09426,1.1206017,1.6376320566722796e-65,4.616771775439192e-63
MBOAT7,17.05136,0.9092552,3.4149921508577557e-65,9.529221975240427e-63
TALDO1,17.044472,0.6717805,3.8419946588272025e-65,1.0612443024271584e-62
B2M,17.01081,0.5407181,6.8285009769672225e-65,1.8673218771614566e-62
NME1,16.966919,0.9774149,1.4430637439116746e-64,3.907130806040461e-62
TMEM173,16.822565,0.9202274,1.6677755782458728e-63,4.427863200263266e-61
PSME2,16.802965,0.844784,2.3214597790750163e-63,6.1040999152485955e-61
HOXA9,16.761362,1.5914012,4.6777683771803966e-63,1.2182690861178584e-60
APEX1,16.652084,0.8385131,2.9224527238021774e-62,7.474614770475278e-60
PIK3R1,16.652039,0.9724368,2.9246828802781206e-62,7.474614770475278e-60
IFIT2,16.590485,3.3079062,8.165784633800076e-62,2.067606912924971e-59
ACTG1,16.452642,0.49100605,8.02865402199278e-61,2.0142346136276566e-58
IFI44L,16.435053,2.3266177,1.073319162182547e-60,2.668271437185812e-58
SHFL,16.410658,1.348713,1.604556339879311e-60,3.952990781111679e-58
SMIM3,16.383476,1.0024589,2.509810807450626e-60,6.127971994691501e-58
ARL6IP5,16.29459,0.8117994,1.0782351067235671e-59,2.6093289582710325e-57
CIRBP,16.213411,0.74060374,4.054259054040634e-59,9.725242815069751e-57
SERPINB1,16.20641,0.8358706,4.543497132418189e-59,1.0804041094183285e-56
