names,logfoldchanges,pvals_adj
RRM2,2.1839585,1.552660465528518e-252
TUBB,1.1017382,1.0546154494042134e-235
TUBA1B,0.7885625,5.803295095703759e-198
TYMS,1.0619109,1.6564861653455884e-163
MKI67,1.7217016,1.643722549766135e-134
H2AFX,1.3284277,1.380885279102657e-132
PCLAF,1.0306783,3.0598972539066085e-131
PKMYT1,1.440992,6.874678189952838e-131
CDCA5,1.625334,3.219564541262318e-130
STMN1,0.77433634,2.787058552705178e-127
TK1,1.2477475,1.758730369825387e-124
MYBL2,1.465562,1.357878086509241e-112
ATAD2,1.252599,1.3211530874598828e-99
HMGN2,0.6401101,1.954457443363414e-97
AURKB,1.467229,4.133693971897937e-93
FAM111A,1.1583349,1.1680229679133454e-87
FOXM1,1.3263141,3.869568582901375e-85
HMGB1,0.50761503,2.0218983398207907e-84
PCNA,1.029066,5.445117963787646e-84
HMGB2,0.884643,7.284186860202459e-84
NUSAP1,1.166404,2.707005292270041e-81
CDT1,0.96676505,1.9623133990496154e-79
CENPM,1.0303733,3.083618437301236e-79
KIFC1,1.2107702,1.1140528426595618e-74
ASF1B,1.1073362,2.7690551221697987e-74
TOP2A,1.1290852,2.2264124348667145e-72
H1FX,0.8760739,3.3482622001263136e-69
RRM1,0.9896459,6.378924123913127e-67
IDH2,0.6479315,8.340483349564327e-61
BIRC5,1.0254618,4.387541829845071e-60
FANCI,1.0398529,5.923592068109805e-60
SMC1A,0.80944055,4.980143807890439e-59
SPC25,1.6182451,5.713815513805242e-59
ESCO2,1.7731501,8.157125849778575e-59
SKA3,1.2591692,1.780467452894029e-58
LIG1,0.915439,9.735517673727503e-58
KIF11,1.1023945,1.2005377533292611e-57
DUT,0.6217671,2.27768247437588e-55
CDCA4,1.247167,3.547195036464957e-54
SMC3,0.8426887,1.2131062963580865e-53
UBE2C,0.782268,2.2876389478365254e-52
FEN1,0.8816851,1.480477284024106e-51
TMPO,0.7279199,6.138862059218873e-50
CARHSP1,0.8248938,8.122712838242745e-50
DHFR,0.8107449,1.3562951388301879e-48
EZH2,0.9381689,5.924903363180055e-47
E2F8,1.8856874,6.268283171473261e-47
DNMT1,0.67753106,7.3411196687445e-47
CLSPN,0.8348294,1.2035238670270124e-46
NSD2,0.79470444,5.3654989580007404e-46
ZWINT,0.83383125,6.362196119462746e-46
CDCA3,1.0555536,8.85945356921939e-46
CCNA2,0.897868,1.1611369758445471e-45
NCAPD2,0.88012177,2.9699829527020783e-45
CENPU,0.760511,1.896051882575818e-44
C21orf58,0.9715232,2.480023543168192e-44
RAD51AP1,0.9535178,2.650292241013208e-44
UBE2T,0.913385,4.149945377779736e-44
ANLN,1.0902977,8.828285901360071e-44
ATAD5,0.85516363,4.453120077472331e-43
SLC20A1,0.9880562,3.476739515821495e-42
CENPN,0.95920724,4.454304417168491e-42
SMC4,0.7338876,4.9447277899733216e-42
TMEM106C,0.8030709,7.494870458149673e-41
CDC45,0.88444936,1.3848297249188538e-39
RBBP4,0.60546815,2.1868831022439516e-39
NCAPG,0.93404716,5.685184630537119e-38
TACC3,0.737459,1.2336714378161057e-37
NCAPG2,1.0920117,1.4788762897858062e-37
RAD51,0.9306348,1.7225776782353337e-37
SPC24,1.3321365,1.2846523576415795e-36
SUZ12,0.6522504,3.8761594180796537e-36
KIF15,1.0130173,1.0739101043584698e-35
UHRF1,0.69507104,1.2040916484330106e-35
ITM2A,0.88548577,1.2320921473432873e-35
WDR34,0.72411054,1.5026711297110258e-35
TPX2,0.6972698,3.523421307002377e-35
NCAPH,0.8499596,3.685365749361718e-35
BRCA2,0.8183248,4.4071713715518197e-35
DIAPH3,0.97062075,5.641561512563784e-35
TUBB4B,0.643157,9.227073181225172e-35
MCM7,0.57490164,3.568375707061548e-34
NASP,0.53535455,1.330294435041527e-33
MXD3,0.9582971,1.376667716862146e-33
DNAJC9,0.64728963,2.9351023762479365e-33
ZNF367,1.1625293,6.687477731211948e-33
NRM,0.7289798,1.0339570115388708e-32
MND1,0.92043567,1.0874426297115153e-32
CKAP2L,0.97146153,1.2516001270512588e-32
CENPF,0.6194997,1.9077399599627714e-32
RAD54L,1.0804319,9.166927754109323e-32
BRCA1,0.712429,1.5295071150573388e-31
ANP32E,0.6333281,1.7073494538679915e-31
FANCG,0.9074164,1.7233459007794414e-31
TIMELESS,0.7759794,2.098498395814141e-31
GMNN,0.74908346,3.3595372668766314e-31
E2F2,1.7848691,4.407397076675311e-31
NDC80,0.9793508,4.927678140575335e-31
KNL1,0.8541637,1.3831503741567606e-30
IER2,0.6603933,1.992614283472974e-30
FBXO5,1.3655638,2.2231483808503335e-30
USP1,0.63688415,3.440152820317017e-30
CDKN2D,0.9509713,8.014033136167706e-30
PRC1,0.6893009,8.051655242308721e-30
PPP1R15A,0.60445046,1.020957618837239e-29
KIF22,0.60703653,1.7344336273621256e-29
CHAF1A,0.694404,2.4606256972509804e-29
CDK1,0.72792476,3.098939328143572e-29
LMNB1,0.58139455,6.400621539061069e-29
SAC3D1,0.71156263,8.767857619898724e-29
AC011603.2,0.8249608,8.767857619898724e-29
SAE1,0.65515447,1.4104790343211616e-28
HIRIP3,0.72694856,3.0226189053524003e-28
NCAPD3,0.7848804,1.0546620108135482e-27
CTCF,0.6877697,1.3876397697924962e-27
EIF4A3,0.6323924,2.284850370646529e-27
ACYP1,0.73444635,2.3887397732851926e-27
NCAPH2,0.81940484,4.149288605769387e-27
IGLL1,1.024432,4.473444796691509e-27
DDB2,0.7244196,1.2879848012550878e-26
MCM10,0.87044334,3.3327686426001926e-26
RFWD3,0.8490938,4.226921858804559e-26
POLQ,0.90644956,1.0563055014168303e-25
CBX5,0.62295365,1.1554562802434211e-25
YEATS4,0.7040091,3.8806687786013606e-25
RBBP8,0.7135791,5.219393976107598e-25
SHCBP1,0.9484564,6.2752313376954465e-25
CLN6,0.60118115,9.377801693009383e-25
CEP57,0.57256645,1.00610098133647e-24
KIF23,0.7642339,1.1367999787031412e-24
PIDD1,0.9363138,1.3072778293558356e-24
POLD3,0.7629795,1.3903584916917852e-24
CDC6,0.80671406,1.7903238217539895e-24
ARL6IP6,0.6394075,2.2456875972352184e-24
FANCD2,0.7810563,2.6327151233161716e-24
APOBEC3B,1.2628288,3.120170143430729e-24
MFGE8,0.93794996,3.488244183005893e-24
HAT1,0.6347917,3.4936982895949856e-24
LUC7L2,0.5325789,3.913598956274769e-24
IQGAP1,0.5940346,4.0660667434721926e-24
CCP110,0.85426617,9.251995033559441e-24
CDKN1A,1.0661508,1.4985255344906195e-23
HELLS,0.6197305,1.525073233600831e-23
SPARC,0.8140968,1.5436955188620912e-23
DTL,0.68598264,1.7586833464437933e-23
RFC4,0.6690359,1.9704750990362242e-23
SRSF10,0.5158829,2.2950733399444854e-23
RFC1,0.61911434,2.4039489631437238e-23
CENPH,0.6340854,3.0118246135770035e-23
NEIL3,0.912723,5.075082187340082e-23
GGH,0.64101905,5.620039859012033e-23
BRIP1,0.9454278,5.688714830528518e-23
DSCC1,0.8911216,5.997792364884972e-23
FOS,0.57718515,6.211476120233118e-23
KIT,0.6990726,6.276050009456108e-23
AC068587.4,0.91723615,7.112003680631413e-23
MASTL,1.1800009,7.874205566794455e-23
DONSON,1.0225586,8.532359513353955e-23
CD69,0.8097493,1.0661617945884868e-22
CDC25A,0.9047098,1.101133631336209e-22
WDR76,0.8759672,1.6618610255573296e-22
RACGAP1,0.7647695,2.742118483945478e-22
CKS1B,0.5103051,2.949430724955287e-22
SLBP,0.56702137,3.7117195283360337e-22
GTSE1,0.77464867,5.985221778401669e-22
CENPK,0.5576924,1.0328415341418184e-21
SPAG5,0.76517934,1.2275311400175356e-21
SMC2,0.56665355,1.2476442877161923e-21
MCM3,0.5726708,1.8475858919097683e-21
RFC2,0.5850772,1.919693129565395e-21
PRIM1,0.6507611,2.474309939867937e-21
CMC2,0.55669606,4.167593404199304e-21
PCNT,0.6934793,5.104502456840115e-21
MSH2,0.64884263,6.787797720078584e-21
DDX11,0.5830829,7.320797179803824e-21
SELL,0.6491315,8.970499734749624e-21
TNFRSF1A,0.56984496,9.424460196093592e-21
CASP8AP2,0.64708877,1.4061683636887e-20
KNTC1,0.7555098,1.4541155479684206e-20
PHGDH,1.0444051,1.513739962291592e-20
ZDHHC12,0.5663255,1.7757150436065348e-20
LMF2,0.65775734,1.8166445087243274e-20
TCF19,0.7282565,1.8979962655228186e-20
CDCA7,0.57352185,2.881006675936931e-20
SMCHD1,0.5043444,6.459703911176441e-20
HJURP,0.81900007,7.266717597314915e-20
FOSB,0.5522297,9.239144232888972e-20
DSN1,0.7102419,9.558198212798066e-20
FAM111B,1.3093857,9.776596949431244e-20
CDK2,0.7251142,1.299907309331427e-19
RECQL4,0.6213099,1.6620958170428418e-19
ORC6,0.5968413,2.4035835555994586e-19
MPHOSPH9,0.6753103,2.665937292165206e-19
STIL,1.014954,3.19669130760029e-19
EGR1,0.724223,3.6170728389221404e-19
EGFL7,0.6142869,3.9036804437772044e-19
BTG3,0.8447227,4.955106407366048e-19
IQGAP3,1.1967012,6.553016948091838e-19
RHEB,0.501493,7.952672890574523e-19
RBL1,0.7080803,1.3826644148669652e-18
IQGAP2,0.53784186,1.5702744449262051e-18
EXO1,1.0542201,2.197973804677014e-18
GNA15,0.5286212,2.569664617340847e-18
ITGB1,0.59776413,2.5698333509055703e-18
TICRR,1.0117574,3.538656649549291e-18
CIT,0.76726747,4.9142341119040994e-18
TACC1,0.5756013,6.808173134987072e-18
CEP152,0.73839504,6.853861932678753e-18
SREK1,0.51661247,1.1408672130657839e-17
MAD2L2,0.51026773,1.3588566094382093e-17
BLM,0.6979602,1.7198466571959675e-17
INCENP,0.758059,2.152761188572217e-17
NUP107,0.57664686,2.2578956816469197e-17
MELK,1.1111512,2.5334310382883554e-17
KIF4A,0.7800689,2.535593496293478e-17
TUBG1,0.7122374,2.8000847158413195e-17
RNASEH2A,0.5106233,5.2116449661034396e-17
SYNC,0.5464522,5.212076515116671e-17
INAFM1,0.6079525,5.735300238542447e-17
CD96,0.6279965,5.854582097778041e-17
TMPO-AS1,0.62716395,6.913162536333418e-17
PAG1,0.855794,6.984680966697934e-17
TMEM107,0.58455396,8.325716352251357e-17
HMGXB4,0.6663425,9.01109068536927e-17
SCMH1,0.6291004,2.353159497568512e-16
PARP2,0.82029945,2.4503543195978294e-16
PAQR4,0.6018608,2.6745403641166176e-16
CDCA8,0.50068754,2.8292477266001915e-16
LMNB2,0.5677683,3.013718159691269e-16
BUB1B,0.73351496,3.067556926452442e-16
PLCB1,0.65096307,6.326821471570668e-16
BARD1,0.5879985,6.388734530573408e-16
SECISBP2,0.6373753,6.970056811797421e-16
CFAP20,0.565594,9.353760949211687e-16
SP1,0.65828574,1.3097982669329057e-15
CTNNAL1,0.6750182,1.8352916021409555e-15
USP11,0.5236731,1.8739714198451104e-15
UBR7,0.68911904,1.985906113245297e-15
ARHGAP33,0.9249062,2.203128039605975e-15
STAG1,0.7739126,2.5428467455409303e-15
CENPS,0.622562,2.562633560454954e-15
SSBP2,0.5515787,2.5690443711010546e-15
ACAT2,0.5869005,2.8519932484895316e-15
CHEK1,0.5269687,6.041485561202917e-15
CHRAC1,0.56149864,7.464671860440096e-15
NRGN,0.62258065,9.006943480846922e-15
MZB1,0.73961186,1.2406938024455996e-14
CDK5RAP2,0.5848265,1.2434118297029253e-14
POLE,0.5165335,1.3447282583857701e-14
MSH5,0.5978449,2.3910591889307735e-14
WDR62,0.81011635,2.765002010604958e-14
CD34,0.6124607,3.2049476170006624e-14
CEP78,0.6353092,4.1591475845921186e-14
POLA2,0.5627163,4.667265319882008e-14
S100PBP,0.63719845,5.393500579304588e-14
RNF168,0.54492575,5.895110534166179e-14
SKP2,0.6534788,7.683453990662241e-14
SLFN13,0.99895996,7.702743787943446e-14
CCNE2,1.0209725,8.3690444636876e-14
TCF12,0.52908164,1.160993124429261e-13
SKA2,0.5774139,1.257373804219736e-13
HTRA2,0.5346445,1.4393547510731131e-13
SIN3A,0.55541176,1.6196742653268214e-13
HAUS5,0.65863174,1.7178315560133905e-13
ENOSF1,0.5039288,2.1358785307907706e-13
DCK,0.5159756,3.2965061315062215e-13
CSE1L,0.5252157,3.358913454523251e-13
SHMT1,0.6837084,4.122757306010602e-13
MNS1,0.833279,4.3385514802750484e-13
KIF2C,0.57463706,4.62842961464391e-13
NUP160,0.6113498,5.845066510205655e-13
TRBV20-1,0.98626,6.98303962225621e-13
PLK4,0.76485395,8.492545175460806e-13
NTAN1,0.6958783,1.1509086993853132e-12
C1orf112,0.85786164,1.1658302090321283e-12
POGLUT3,0.69340694,1.5178117501654335e-12
ABHD3,0.6360172,1.865298535942777e-12
JPT2,0.610794,2.733152105560159e-12
LRR1,0.6408028,3.0915315941100834e-12
CDCA2,0.6006347,3.159226177849589e-12
LIN54,0.89169466,4.652340536686236e-12
