program,gene,group,mean,pct
differentiation,ELANE,LS19 (poor),0.07459422,0.030983733539891558
differentiation,ELANE,normal pDC,0.054313663,0.02849740932642487
differentiation,ELANE,other leukemic,0.969905,0.3007427293064877
differentiation,LYZ,normal HSPC,0.34611028,0.23148148148148148
differentiation,LYZ,LS19 (poor),0.37790123,0.26336173508907823
differentiation,LYZ,normal pDC,0.437442,0.17357512953367876
differentiation,LYZ,other leukemic,1.4394807,0.4876778523489933
differentiation,CD14,normal HSPC,0.011473919,0.007407407407407408
differentiation,CD14,LS19 (poor),0.0020492144,0.001549186676994578
differentiation,CD14,normal pDC,0.05549493,0.031088082901554404
differentiation,CD14,other leukemic,0.11219695,0.05254586129753915
differentiation,CD1C,normal HSPC,0.0016793081,0.001851851851851852
differentiation,CD1C,LS19 (poor),0.00045862544,0.000774593338497289
differentiation,CD1C,normal pDC,0.012752726,0.007772020725388601
differentiation,CD1C,other leukemic,0.01726714,0.010201342281879194
differentiation,ITGAX,normal HSPC,0.009921393,0.009259259259259259
differentiation,ITGAX,LS19 (poor),0.14453425,0.1192873741285825
differentiation,ITGAX,normal pDC,0.05194213,0.03367875647668394
differentiation,ITGAX,other leukemic,0.17261176,0.11634899328859061
surface,IL3RA,normal HSPC,0.14421031,0.12222222222222222
surface,IL3RA,LS19 (poor),0.50371724,0.4004647560030984
surface,IL3RA,normal pDC,1.7862674,0.8031088082901554
surface,IL3RA,other leukemic,0.33391348,0.2619597315436242
surface,CLEC4C,normal HSPC,0.0034749997,0.003703703703703704
surface,CLEC4C,LS19 (poor),0.0,0.0
surface,CLEC4C,normal pDC,1.103429,0.5803108808290155
surface,CLEC4C,other leukemic,0.0022609,0.0019507829977628635
surface,BST2,normal HSPC,1.6965623,0.8592592592592593
surface,BST2,LS19 (poor),1.7116026,0.8559256390395042
surface,BST2,normal pDC,0.94644284,0.5129533678756477
surface,BST2,other leukemic,0.99460083,0.5850917225950782
surface,CD96,normal HSPC,0.022808682,0.024074074074074074
surface,CD96,LS19 (poor),0.9111965,0.6196746707978311
surface,CD96,normal pDC,0.07504941,0.05181347150259067
surface,CD96,other leukemic,0.42205235,0.30274720357941837
surface,CD33,normal HSPC,0.19198668,0.16666666666666666
surface,CD33,LS19 (poor),0.7407393,0.5321456235476375
surface,CD33,normal pDC,0.07473288,0.05699481865284974
surface,CD33,other leukemic,0.43629393,0.3259597315436242
surface,FLT3,normal HSPC,0.7930443,0.5259259259259259
surface,FLT3,LS19 (poor),1.2932738,0.7552285050348567
surface,FLT3,normal pDC,0.7667104,0.4326424870466321
surface,FLT3,other leukemic,0.76920533,0.4883937360178971
