gene,label,group,subtype,pct,mean,n_cells,n_donors
CD33,CD33,clinical,NPM1/FLT3-ITD,35.33,0.4,14248,11
IL3RA,CD123,clinical,NPM1/FLT3-ITD,35.96,0.4197,14248,11
CLEC12A,CLL-1,clinical,NPM1/FLT3-ITD,11.33,0.1154,14248,11
CD7,CD7,clinical,NPM1/FLT3-ITD,11.17,0.1181,14248,11
TNFRSF4,TNFRSF4,ppac,NPM1/FLT3-ITD,27.13,0.3513,14248,11
ABCA7,ABCA7,ppac,NPM1/FLT3-ITD,6.77,0.068,14248,11
ITGAX,ITGAX,ppac,NPM1/FLT3-ITD,6.32,0.0606,14248,11
CD96,CD96,lead,Other,15.51,0.1316,2914,10
CD9,CD9,lead,Other,30.61,0.2725,2914,10
SUCNR1,SUCNR1,lead,Other,32.6,0.2827,2914,10
IL1RAP,IL1RAP,lead,Other,37.99,0.3457,2914,10
FLT3,FLT3,control,Other,74.33,0.8526,2914,10
CD33,CD33,clinical,Other,51.44,0.4989,2914,10
IL3RA,CD123,clinical,Other,41.01,0.3608,2914,10
CLEC12A,CLL-1,clinical,Other,39.74,0.3857,2914,10
CD7,CD7,clinical,Other,13.73,0.0938,2914,10
TNFRSF4,TNFRSF4,ppac,Other,15.61,0.1418,2914,10
ABCA7,ABCA7,ppac,Other,12.01,0.0768,2914,10
ITGAX,ITGAX,ppac,Other,19.77,0.138,2914,10
CD96,CD96,lead,TP53,16.42,0.147,5066,10
CD9,CD9,lead,TP53,35.12,0.2704,5066,10
SUCNR1,SUCNR1,lead,TP53,29.53,0.2841,5066,10
IL1RAP,IL1RAP,lead,TP53,36.72,0.2647,5066,10
FLT3,FLT3,control,TP53,66.9,0.7157,5066,10
CD33,CD33,clinical,TP53,76.61,0.7548,5066,10
IL3RA,CD123,clinical,TP53,60.13,0.5806,5066,10
CLEC12A,CLL-1,clinical,TP53,18.85,0.1483,5066,10
CD7,CD7,clinical,TP53,20.65,0.1873,5066,10
TNFRSF4,TNFRSF4,ppac,TP53,31.66,0.3175,5066,10
ABCA7,ABCA7,ppac,TP53,13.21,0.0699,5066,10
ITGAX,ITGAX,ppac,TP53,25.84,0.1633,5066,10
CD96,CD96,lead,inv(16)/CBF,31.17,0.186,539,3
CD9,CD9,lead,inv(16)/CBF,91.28,1.1116,539,3
SUCNR1,SUCNR1,lead,inv(16)/CBF,10.95,0.0674,539,3
IL1RAP,IL1RAP,lead,inv(16)/CBF,54.55,0.3216,539,3
FLT3,FLT3,control,inv(16)/CBF,62.15,0.4247,539,3
CD33,CD33,clinical,inv(16)/CBF,66.98,0.4605,539,3
IL3RA,CD123,clinical,inv(16)/CBF,57.14,0.3637,539,3
CLEC12A,CLL-1,clinical,inv(16)/CBF,9.09,0.0756,539,3
CD7,CD7,clinical,inv(16)/CBF,5.57,0.0238,539,3
TNFRSF4,TNFRSF4,ppac,inv(16)/CBF,9.65,0.0528,539,3
ABCA7,ABCA7,ppac,inv(16)/CBF,7.05,0.0341,539,3
ITGAX,ITGAX,ppac,inv(16)/CBF,11.87,0.0565,539,3
CD96,CD96,lead,t(8;21),45.99,0.5339,22382,13
CD9,CD9,lead,t(8;21),14.75,0.1918,22382,13
SUCNR1,SUCNR1,lead,t(8;21),9.28,0.0887,22382,13
IL1RAP,IL1RAP,lead,t(8;21),33.51,0.3583,22382,13
FLT3,FLT3,control,t(8;21),48.51,0.5511,22382,13
CD33,CD33,clinical,t(8;21),12.7,0.1229,22382,13
IL3RA,CD123,clinical,t(8;21),23.0,0.2367,22382,13
CLEC12A,CLL-1,clinical,t(8;21),46.35,0.549,22382,13
CD7,CD7,clinical,t(8;21),2.89,0.0237,22382,13
TNFRSF4,TNFRSF4,ppac,t(8;21),0.25,0.0023,22382,13
ABCA7,ABCA7,ppac,t(8;21),1.0,0.0087,22382,13
ITGAX,ITGAX,ppac,t(8;21),3.16,0.0273,22382,13
CD96,CD96,lead,−7/del(7q),3.25,0.0258,12229,5
CD9,CD9,lead,−7/del(7q),24.56,0.2259,12229,5
SUCNR1,SUCNR1,lead,−7/del(7q),7.55,0.0623,12229,5
IL1RAP,IL1RAP,lead,−7/del(7q),27.51,0.1979,12229,5
FLT3,FLT3,control,−7/del(7q),78.53,0.83,12229,5
CD33,CD33,clinical,−7/del(7q),37.57,0.2803,12229,5
IL3RA,CD123,clinical,−7/del(7q),42.23,0.3324,12229,5
CLEC12A,CLL-1,clinical,−7/del(7q),18.32,0.1467,12229,5
CD7,CD7,clinical,−7/del(7q),27.41,0.2169,12229,5
TNFRSF4,TNFRSF4,ppac,−7/del(7q),24.69,0.2107,12229,5
ABCA7,ABCA7,ppac,−7/del(7q),3.78,0.0237,12229,5
ITGAX,ITGAX,ppac,−7/del(7q),14.56,0.0986,12229,5
