group,group_type,target,label,add,kind,toxicity,efficacy,n_cells
PPAC_5,PAC,FLT3,FLT3,+FLT3,partner,53.99,66.06,1146
PPAC_5,PAC,MSLN,MSLN,+MSLN,partner,19.06,66.4,1146
PPAC_5,PAC,CD70,CD70,+CD70,partner,3.5,0.52,1146
PPAC_5,PAC,ADGRG1,GPR56,+GPR56,partner,41.93,24.87,1146
PPAC_5,PAC,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,21.03,1146
All PPACs,pooled,CD96,CD96,CD96 alone,CD96,3.02,33.03,13746
All PPACs,pooled,CD33,CD33,+CD33,partner,29.92,58.99,13746
All PPACs,pooled,IL3RA,CD123,+CD123,partner,14.84,58.03,13746
All PPACs,pooled,CLEC12A,CLL-1,+CLL-1,partner,31.12,52.08,13746
All PPACs,pooled,FLT3,FLT3,+FLT3,partner,53.99,72.48,13746
All PPACs,pooled,MSLN,MSLN,+MSLN,partner,19.06,49.52,13746
All PPACs,pooled,CD70,CD70,+CD70,partner,3.5,37.47,13746
All PPACs,pooled,ADGRG1,GPR56,+GPR56,partner,41.93,46.13,13746
All PPACs,pooled,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,44.82,13746
"PPAC 1,2,5",pooled,CD96,CD96,CD96 alone,CD96,3.02,38.68,9388
"PPAC 1,2,5",pooled,CD33,CD33,+CD33,partner,29.92,65.83,9388
"PPAC 1,2,5",pooled,IL3RA,CD123,+CD123,partner,14.84,67.48,9388
"PPAC 1,2,5",pooled,CLEC12A,CLL-1,+CLL-1,partner,31.12,57.08,9388
"PPAC 1,2,5",pooled,FLT3,FLT3,+FLT3,partner,53.99,83.04,9388
"PPAC 1,2,5",pooled,MSLN,MSLN,+MSLN,partner,19.06,48.19,9388
"PPAC 1,2,5",pooled,CD70,CD70,+CD70,partner,3.5,40.7,9388
"PPAC 1,2,5",pooled,ADGRG1,GPR56,+GPR56,partner,41.93,56.39,9388
"PPAC 1,2,5",pooled,IL1RAP,IL1RAP,+IL1RAP,partner,12.06,50.91,9388
