res,cluster,n_cells,mean_jaccard,sd_jaccard,top_patient_frac,top_patient,n_patients,top_PAC
4.5,33,1603,0.7511728448553969,0.09062710325371712,0.5127885215221459,AML3210,27,PPAC_3:1%
4.5,34,2524,0.3977183973048871,0.12107629053811873,0.18066561014263074,AML4304,30,PPAC_1:0%
4.5,35,2136,0.2917683518548254,0.03728298251184952,0.22705992509363296,AML4304,27,PPAC_3:41%
4.5,36,347,0.46597458504601413,0.13270108740117864,0.8443804034582133,AML3210,13,PPAC_1:48%
4.5,37,1423,0.2983213860409955,0.06591138128602875,0.22839072382290934,AML1355,27,FPAC_1:5%
4.5,38,997,0.8695402482754819,0.0845147628193824,0.5045135406218656,AML4232,24,-
4.5,39,402,0.6014512577938289,0.2829306996245966,0.6890547263681592,AML4232,5,PPAC_5:0%
4.5,40,531,0.9646356404955088,0.02042280653960537,0.975517890772128,AML4127,2,-
4.5,41,247,0.1635867105243759,0.09006757189295851,0.12550607287449392,AML4090,24,FPAC_1:13%
4.5,42,1604,0.607505113279637,0.07995961579052004,0.4775561097256858,AML4000,29,PPAC_1:2%
4.5,43,305,0.3020353681287657,0.10639334418775219,0.8065573770491803,AML3121,19,PPAC_1:43%
4.5,44,1553,0.9257956734723878,0.017059582827868777,0.9401159047005795,AML4035,22,FPAC_1:0%
