,CD34,HLF,AVP,CRHBP,HOXA9,MEIS1,MLLT3,PROM1,MECOM,GATA2,MPO,ELANE,AZU1,PRTN3,CTSG,CEBPE,LYST,CFD,LYZ,CD14,CSF1R,FCN1,VCAN,S100A8,S100A9,CD68,C1QA,C1QB,C1QC,MRC1,SIGLEC1,TREM1,CD1C,FCER1A,CLEC10A,CD207,CD1E,IRF8,IRF7,LILRA4,GZMB,IL3RA,PPBP,PF4,ITGA2B,GP9,GP1BA,VWF,TUBB1,PF4V1,GATA1,KLF1,GYPA,ALAS2,TFRC,AHSP,FUT4,CEACAM8,MMP8,CD177,LTF,LCN2,CAMP,MMP9,CD19,MS4A1,CD79A,CD79B,IGHM,JCHAIN,BLNK,CD3D,CD3E,IL7R,NKG7,GNLY,CD2,GZMH,MKI67,TOP2A,CDK1,UBE2C,CENPA,BIRC5,PCNA,NUSAP1,BUB1B
LS_29,0.84806883,-0.38703248,0.28400135,0.007649733,0.6304947,0.6248073,0.24157587,0.8616629,0.40411544,0.572211,-1.1092925,-1.5766273,-1.5907006,-1.2481154,-1.6533315,-2.0572615,-1.1942383,-1.6807693,-1.2395811,-0.9297467,0.008934211,-1.5582752,-0.7807179,-0.8069506,-0.77561134,-0.9188065,-0.575771,-0.72427243,-0.60525036,-0.6091436,-0.90757966,-0.90937024,-0.17081778,0.4127493,-0.8149289,-0.14586498,-0.47191575,0.2766718,0.6326173,-0.39688158,-0.05334865,0.802643,0.024464672,-0.44190785,-0.011760808,-0.8703748,0.65570784,1.9267486,0.20759211,-0.17898932,-0.21623829,-0.52574074,-0.3593121,-0.7596242,0.9732308,-0.2492834,-1.0394468,-0.43821368,-0.3975628,-0.25979573,-0.4763327,-0.40481558,-0.6821186,1.6978344,-0.115455024,0.77331936,0.65490985,0.9174711,1.7015163,0.12408154,1.2863321,1.2175611,0.7141206,-0.65884924,-0.39782578,-0.45989856,0.08774784,0.35972688,-0.8262011,-0.66592044,-0.43514717,-0.61681724,-0.6108735,-0.8075958,0.031846154,-0.5099675,0.06305145
LS_30,0.4234764,-0.38703248,0.46237504,0.8613562,0.40725526,-0.07329307,-0.19944745,0.29881412,0.291316,0.34435746,0.4133034,0.7270954,0.60185426,0.541949,0.7492639,0.3305581,0.1390746,0.57148755,0.74588865,0.8374844,-0.11766779,0.72412467,0.6242516,1.0961335,0.7715062,0.109679595,1.3461035,-0.72427243,0.48649356,0.3469152,0.80265903,0.32447612,0.9956811,0.40530828,0.97001815,-0.14586498,-0.24027476,0.5924016,-0.10774072,-0.62353015,1.747646,-0.06612508,0.057809904,-0.44190785,0.49480367,0.60259044,0.8713196,0.6418676,-0.092199355,-0.17898932,0.79902875,0.42665052,0.9469763,0.3575576,0.034067437,-0.9059778,0.62645173,0.31841832,0.45002177,-0.25979573,1.0139538,-0.40481558,-0.6821186,0.59834176,0.28888682,1.8218955,0.2788203,-0.6247919,0.018832786,0.099981315,0.18448432,1.2114002,0.74096525,1.4907776,0.53100127,0.8815738,0.630125,1.769415,0.38130054,0.45941934,0.30670944,0.529042,0.24229804,0.8073232,0.45128185,0.55038565,0.3556569
LS_31,0.83714134,-0.38703248,-0.29404563,0.49560422,-0.34436452,0.48661995,0.81497544,0.68929064,-0.9307239,-0.3310018,0.73721695,-0.5456642,-0.3747249,-0.6159239,-0.44900367,-0.09605145,-0.552106,-0.51186436,-0.8060844,-0.57169724,-0.55228937,-1.4181898,-0.86425173,-0.9147622,-0.9223266,-0.06730727,-0.575771,-0.72427243,-0.60525036,-0.2855188,-0.90757966,-0.56723535,-0.6298935,-1.1441549,-0.51691693,-0.14586498,-0.47191575,-0.540341,-1.2082331,-0.38177934,-0.75801235,-0.5451108,0.4869352,0.42301244,0.055862322,1.038818,0.50657845,-0.13179176,-0.5566937,-0.17898932,-0.53999555,0.40630868,-0.4817682,-0.32492703,0.0070830197,-0.34999585,-0.24539325,-0.43821368,-0.3975628,-0.25979573,-0.3668215,-0.13277926,-0.44055977,-0.2572944,0.042973787,-0.6093769,-0.45729557,0.8840399,0.2646212,-1.0945362,0.09834542,0.028487306,-0.13596404,-0.7880554,-0.75802994,0.18687934,-0.49109963,0.31889215,-0.08601675,0.13698098,0.26967683,0.22144863,-0.5891923,-0.0632746,1.4901015,0.46652743,0.5751301
LS_32,0.57620144,-0.38703248,0.76695555,1.6733519,0.14530572,-0.28051728,0.8678798,0.26757678,2.4069016,1.4942173,-0.12638034,-0.16894355,-0.33362296,-0.41387522,-0.26808974,-0.87242836,-0.97435004,-0.6591303,-0.3824927,-1.0278486,-0.49101996,-0.4665925,-1.0972272,-0.29965994,-0.26356092,-1.1929631,-0.12337936,1.1793448,0.01741676,-0.66216594,-0.5239016,-1.1267906,-0.28670982,-0.97390974,-0.6962094,-0.14586498,-0.47191575,-0.10165838,0.6030374,-0.036335837,-0.8508986,0.17715973,-0.043629017,-0.44190785,0.19173414,-0.8480925,-0.9060843,-0.0063421386,-0.5566937,-0.17898932,-0.18000393,-0.30635965,-0.30849874,1.5445535,-0.39244324,1.4421369,-0.25156224,-0.43821368,-0.3975628,-0.25979573,-0.35019213,-0.40481558,0.25737017,-0.45362806,1.9660405,-0.2046809,1.4031526,-0.2906144,1.4124575,-0.98020047,-0.29543927,0.5512967,0.16919543,-0.8288015,-0.37388206,0.20375018,1.3887316,-0.7421792,-0.61719835,-0.7780352,-0.5004883,-0.61355144,-0.76612544,-0.93635756,-0.005897396,-0.7833037,-0.37957612
LS_33,-0.2711949,-0.38703248,-0.42635232,-0.34988597,-0.4484604,-0.36635634,1.1745003,-1.8352774,-0.38512382,2.1607788,-2.1628103,-1.0801854,-1.4681698,-1.0275339,-0.6692505,0.20393007,-0.40341693,-0.39593983,-0.8277857,-0.5895939,-2.1852756,-0.95105135,0.38621983,-0.7703036,-0.5757434,-0.15204823,-0.575771,-0.72427243,-0.60525036,-0.25987193,-0.90757966,-0.24206312,-0.102950804,3.5426767,-0.89664954,-0.14586498,-0.47191575,-2.767459,-0.039274026,-0.62353015,-0.8508986,1.6715642,0.27744517,0.6273077,1.7011245,-0.7953697,0.2695396,-0.4428516,-0.023629103,-0.17898932,2.1278107,0.35424268,-0.4817682,0.68513906,-0.823037,0.6526564,-1.4239434,-0.43821368,-0.3975628,-0.25979573,-0.18238336,-0.40481558,-0.20000559,-1.0321722,-0.5772988,-0.80907285,-0.85806453,-0.22396901,-1.5684626,-0.18456581,-1.4591464,-0.6434217,-1.0658058,1.4531087,-1.6697731,-0.20226184,0.78043646,-0.025170667,-0.19391839,-0.4945182,-0.36312205,-0.21657334,-0.0787814,-0.5343342,-0.93536437,-0.8048933,-1.2726657
LS_34,0.4302375,0.14464155,1.6608322,-0.06288709,0.25447315,0.22372447,0.31411096,0.1395267,0.80118656,0.51011616,0.54637796,0.41647303,0.30628127,0.50239503,0.61070275,0.31276324,-0.3072115,-0.037564013,0.3325443,-0.118855864,-0.027205337,0.3716067,0.15615298,0.11061469,0.06802517,-0.47848752,-0.3169955,0.5945286,0.84625244,0.010782476,-0.1123824,-0.19045286,0.96763116,1.211723,0.6704438,-0.14586498,0.8499106,0.79515845,-0.17447819,1.7864377,0.7867178,-0.14388502,-0.33466664,0.06704149,1.4732313,1.2634003,1.0613545,-0.03354379,0.5948143,-0.17898932,1.4940573,1.5888879,2.2150948,-0.4178354,0.09966653,-0.122808,-0.048763797,-0.18289174,-0.33204702,-0.25979573,-0.43209743,0.13212025,-0.38037312,-0.0018366026,0.32828608,0.37276086,0.35487527,-0.17469773,0.50136375,1.0800377,1.0869342,0.7287236,0.96465373,0.6536259,0.1923009,0.8953252,0.5465256,-0.32953832,3.1031291,3.43319,3.2776327,3.4050958,3.891631,2.9889638,1.0501509,3.5736992,3.1545615
LS_35,1.2872318,-0.38703248,-0.52828616,1.2662306,-0.8527849,-1.2608112,-0.73777527,1.1389132,-0.018438729,0.21215126,1.0778689,0.40251443,0.08683218,0.95548636,-0.84679,-0.046285804,-0.37015262,0.2944695,-1.3859152,-1.0278486,-0.53447896,-0.9316263,-1.1698012,-0.8081254,-1.0820153,-1.6616377,-0.575771,-0.72427243,-0.60525036,-0.75974286,-0.90757966,-0.46961933,-0.6298935,-0.93499815,-0.89664954,-0.14586498,-0.47191575,-1.403704,-0.7323983,-0.47572872,0.51738685,-0.756124,-0.43843535,-0.44190785,-0.93183595,-0.36792275,-0.82406604,-1.1656209,-0.37318045,-0.17898932,-0.57004285,0.11780944,-0.4817682,-0.5083683,0.3072674,-0.7396907,-0.33032268,-0.43821368,-0.3975628,-0.07005064,-0.4763327,-0.40481558,-0.6821186,-0.7429216,2.5924165,-0.80907285,1.3426589,0.9867329,-0.02484434,-1.0898081,-0.68804264,-1.6291293,-0.54756546,-0.7422415,-1.2628099,-0.7736251,-1.063332,-0.7421792,-0.29691947,-0.63812685,-0.54950863,-0.5673483,-0.70135957,-0.1987254,-0.5042261,-0.31182823,0.043539856
LS_36,-1.6320025,-0.38703248,-0.6911857,-0.9936771,-2.7458284,-2.7819273,-2.536575,-1.8360674,-1.2516947,-1.6353763,-1.8001394,-0.6078251,-0.7437351,-0.4691531,-1.1261473,1.648441,1.0660005,0.052713193,1.262725,3.0245929,0.074255,2.7697783,1.8561074,2.6817162,2.567732,1.4529967,1.4093206,-0.72427243,-0.60525036,-0.75974286,-0.29860187,2.271581,-0.23333785,-0.70835215,-0.37772182,-0.14586498,-0.37211072,0.773089,0.5086818,2.187909,-0.8508986,-2.9598367,-0.03956249,0.20471285,-1.0789,-1.1905689,-1.1149133,-0.5110379,-0.5566937,1.4460192,-1.0257549,-1.2038853,-0.4817682,-0.8816073,-2.122853,-0.45816952,-0.7664226,5.1835914,5.803614,6.4575143,5.43755,2.3098886,3.2288313,4.310458,-1.4939843,-0.3088606,-2.419704,-3.0229237,-1.8147409,0.8109539,-1.9537877,-0.6116989,0.5711428,-1.450294,0.5744062,-0.38317424,-0.26711708,-0.7421792,-1.0464653,-1.1848108,-0.7622795,-1.0814065,-0.76612544,-0.83601445,-1.8724704,-1.5085893,-2.0699217
LS_37,-1.4533129,-0.38703248,-0.6911857,-1.3960826,-0.872045,-1.044992,-0.9637645,-0.9054398,-1.3207669,-1.8954594,0.99642134,1.1777233,1.1230857,1.771394,1.318576,0.7058505,0.9838269,0.43404344,1.6307622,1.6626215,0.83034176,1.8838432,1.5483515,1.8089491,1.7849162,0.85138243,-0.31695783,-0.72427243,-0.60525036,0.66097575,-0.139547,1.4470749,0.4470522,-0.18582262,1.2186657,-0.14586498,0.5201672,1.2759572,-1.1312921,-0.29509473,0.77720964,-1.4589357,1.2737215,0.4361201,-0.44032413,-0.5126159,-0.9966083,-1.0181261,0.93196845,-0.17898932,-0.9564595,-0.20918335,-0.4817682,-0.44027537,-0.054210927,0.632482,0.5752997,0.7574993,-0.3975628,-0.25979573,-0.4763327,-0.40481558,1.3362114,-1.0321722,-0.33193585,-0.64951247,-1.0392866,-0.3693395,-0.6024021,0.18716894,-0.05000181,-1.1329557,-0.88535243,0.20857234,1.2219981,-0.36119494,-0.37013024,-0.122493304,2.1552153,2.1616673,2.17162,2.344232,2.3701494,2.3553002,2.119844,2.0786998,1.3623745
LS_38,0.15305343,-0.14287917,-0.6911857,-0.14841513,0.21351443,-0.07272564,-0.10664512,-0.20725791,-0.8318962,-1.6377174,0.14287443,-0.7836381,-0.94412154,-0.5786873,-0.6018313,-1.2246745,-0.51193863,-0.7404888,-0.29977494,-0.54338855,1.3568126,-0.7948245,-0.45121303,-0.16641708,-0.06498497,0.35301274,0.46613804,-0.3777079,-0.12891737,2.3014057,-0.7107879,-0.3897727,1.7823226,0.48749644,1.575127,-0.14586498,3.1044827,2.0102413,1.8436849,3.6362534,0.09514376,1.2158154,-0.7201239,-0.038218185,-0.6309926,-0.098568596,0.45075503,-1.2581512,0.7258312,-0.17898932,-0.6351855,-1.2617184,-0.4817682,-0.8816073,1.1144259,-0.8788011,-0.8222073,-0.43821368,-0.114981286,-0.25979573,0.18755014,-0.40481558,0.96972513,0.13486329,0.0670326,4.457523,1.0633067,0.5567983,1.8914213,3.9011674,3.6698327,0.24975143,1.2254028,0.8298928,0.46038857,0.0943138,1.4883842,0.049448334,0.58618265,0.016808374,-0.64471406,-0.25897995,-0.043047264,0.17497638,0.32139596,-0.18603471,0.23020104
