LS,HSC,LSC_Eppert,LSC17,HSC_z,LSC_Eppert_z,LSC17_z,stem_z
LS_1,-0.002492902408477985,0.06785496666016586,-0.062206077786730186,0.3271172133128082,-0.6686030519281912,0.07951368631145515,-0.08732405076797596
LS_2,0.09993176111585007,0.16410387144052377,-0.10619343515601042,1.9896280660897818,1.133353034536409,-1.136145454561151,0.6622785486883466
LS_3,-0.032408133658299025,0.04282477157367353,-0.05436334051813595,-0.15845330168671007,-1.137214227135098,0.2962599475152991,-0.333135860435503
LS_4,-0.03560833294067545,0.07936758638186497,-0.07643613673147637,-0.2103974902730478,-0.45306568840172623,-0.31375615906956894,-0.3257397792481143
LS_5,-0.11830109139791205,0.030014788558784523,-0.01248365242406301,-1.5526289768189308,-1.3770406117974832,1.4536703648096283,-0.49199974126892854
LS_6,0.0055639777532354275,0.1573485914931967,-0.016505846425732117,0.45789285120582923,1.0068817999323716,1.3425107681227217,0.9357618064203076
LS_7,0.00349506582567926,0.12819374239592432,-0.07518208897889188,0.42431120773589603,0.4610495340933511,-0.27909859597202413,0.20208738195240764
LS_8,-0.03792907435721052,0.12697840719403325,-0.105596145174216,-0.2480667162067229,0.4382962293244305,-1.119638415503899,-0.30980296746206376
LS_9,-0.04845170471755587,0.07567095407331781,-0.07881908031272722,-0.4188652970551669,-0.5222734274716844,-0.3796125168955654,-0.44025041380747226
LS_10,-0.049932561408315604,0.05906833011954095,-0.08885376600904518,-0.442901893662689,-0.8331050089121472,-0.6569366873407729,-0.6443145299718697
LS_11,-0.04963958482567111,0.07011962361564579,-0.06787339935848859,-0.4381464301688764,-0.6262045187293568,-0.07711157342247232,-0.3804875074402352
LS_12,0.01565417633497321,0.16487360733442083,-0.10777569216106414,0.6216723948391794,1.1477639027134892,-1.179873591608697,0.1965209019813238
LS_13,-0.10588756776870932,0.023586779876015315,-0.027106715679233027,-1.3511382709221909,-1.4973847278806312,1.0495392331194902,-0.5996612552277772
LS_14,-0.041270529070643214,0.1366932677690468,-0.080724065619953,-0.3023036991168513,0.6201762432554895,-0.4322597532938662,-0.03812906971840933
LS_15,-0.13269897890430904,0.039469045113854885,-0.08835472213462063,-1.7863289804392652,-1.2000395832529633,-0.6431448325005826,-1.209837798730937
LS_16,0.06716973698345206,0.20244941297320476,-0.03857922232073515,1.457849695481655,1.8512519250357495,0.7324786411321259,1.3471934205498435
