"LS","Description","p.adjust","term"
"LS_3","GOBP_CHYLOMICRON_REMODELING",0.0362663109054331,"chylomicron remodeling"
"LS_3","GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_GRAM_NEGATIVE_BACTERIUM",0.0362663109054331,"neutrophil mediated killing of gram negative bacterium"
"LS_3","GOBP_REGULATION_OF_GERM_CELL_PROLIFERATION",0.0362663109054331,"regulation of germ cell proliferation"
"LS_3","GOBP_REGULATION_OF_PHOSPHOLIPID_CATABOLIC_PROCESS",0.0362663109054331,"regulation of phospholipid catabolic process"
"LS_3","GOBP_ACTION_POTENTIAL",0.0366025534538043,"action potential"
"LS_3","GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS",0.0366025534538043,"fatty acid biosynthetic process"
"LS_3","GOBP_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_FIBER_DEVELOPMENT",0.0366025534538043,"positive regulation of skeletal muscle fiber development"
"LS_3","GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_CATABOLIC_PROCESS",0.0366025534538043,"positive regulation of triglyceride catabolic process"
"LS_3","GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0366025534538043,"regulation of atrial cardiac muscle cell membrane repolarization"
"LS_3","GOBP_REGULATION_OF_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_REMODELING",0.0366025534538043,"regulation of very low density lipoprotein particle remodeling"
"LS_3","GOBP_TRIGLYCERIDE_RICH_LIPOPROTEIN_PARTICLE_CLEARANCE",0.0366025534538043,"triglyceride rich lipoprotein particle clearance"
"LS_3","GOBP_APPENDAGE_DEVELOPMENT",0.0375891938550874,"appendage development"
"LS_3","GOBP_ANTIBACTERIAL_PEPTIDE_PRODUCTION",0.0375891938550874,"antibacterial peptide production"
"LS_3","GOBP_CARDIAC_PACEMAKER_CELL_DEVELOPMENT",0.0375891938550874,"cardiac pacemaker cell development"
"LS_3","GOBP_POSITIVE_REGULATION_OF_ACTION_POTENTIAL",0.0375891938550874,"positive regulation of action potential"
"LS_3","GOBP_VERY_LOW_DENSITY_LIPOPROTEIN_PARTICLE_CLEARANCE",0.0375891938550874,"very low density lipoprotein particle clearance"
"LS_3","GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT",0.0375891938550874,"skeletal muscle organ development"
"LS_3","GOBP_STRIATED_MUSCLE_CONTRACTION",0.0381955336330426,"striated muscle contraction"
"LS_3","GOBP_GERM_CELL_PROLIFERATION",0.0381955336330426,"germ cell proliferation"
"LS_3","GOBP_CARTILAGE_DEVELOPMENT",0.0381955336330426,"cartilage development"
"LS_3","GOBP_REGULATION_OF_CHEMOTAXIS",0.0381955336330426,"regulation of chemotaxis"
"LS_3","GOBP_ANTIMICROBIAL_PEPTIDE_PRODUCTION",0.0381955336330426,"antimicrobial peptide production"
"LS_3","GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION",0.0381955336330426,"atrial cardiac muscle cell membrane repolarization"
"LS_3","GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING",0.0381955336330426,"av node cell to bundle of his cell signaling"
"LS_3","GOBP_BRANCHING_MORPHOGENESIS_OF_A_NERVE",0.0381955336330426,"branching morphogenesis of a nerve"
"LS_3","GOBP_CARDIAC_PACEMAKER_CELL_DIFFERENTIATION",0.0381955336330426,"cardiac pacemaker cell differentiation"
"LS_3","GOBP_MONOCYTE_EXTRAVASATION",0.0381955336330426,"monocyte extravasation"
"LS_3","GOBP_POSITIVE_REGULATION_OF_ADIPOSE_TISSUE_DEVELOPMENT",0.0381955336330426,"positive regulation of adipose tissue development"
"LS_3","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_TETHERING_OR_ROLLING",0.0381955336330426,"positive regulation of leukocyte tethering or rolling"
"LS_3","GOBP_REGULATION_OF_SKELETAL_MUSCLE_FIBER_DEVELOPMENT",0.0381955336330426,"regulation of skeletal muscle fiber development"
"LS_3","GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION",0.0391778325086817,"biological process involved in symbiotic interaction"
