"LS","lab","group","dir","p"
"LS_3","LS3","Favorable","favorable",0.0715428748299282
"LS_14","LS14  T/NK","Favorable","favorable",0.0807934994946085
"LS_12","LS12  HSC/MPP","Poor","poor",0.00222508788559554
"LS_33","LS33","Poor","poor",0.00717621379266542
"LS_39","LS39","Poor","poor",0.0225769093224121
"LS_2","LS2","Poor","poor",0.0240895429223094
"LS_42","LS42  HSC/MPP","Poor","poor",0.0321983888153022
"LS_40","LS40","Poor","poor",0.047496597855284
