subtype,n,LS,mean_pct,pval,fdr,neglog10fdr,label
PML-RARA,55,LS_1,3.2823388137116583,0.010558840724162162,0.05868492528797497,1.2314734439830646,LS1  Erythroid
PML-RARA,55,LS_2,3.2842139430410513,3.0099621123333763e-06,3.973149988280057e-05,4.400865039814295,LS2  unresolved
PML-RARA,55,LS_3,1.0322106590275513,0.9835263439369326,1.0,-0.0,LS3  unresolved
PML-RARA,55,LS_4,1.6958834997206655,0.21261000586383083,0.5727453219188913,0.24203844936354704,LS4  Cell-cycle
PML-RARA,55,LS_5,0.0,0.9991540797614734,1.0,-0.0,LS5  Macrophage
PML-RARA,55,LS_6,4.67549322735373,1.4206811696587886e-08,2.500398858599468e-07,6.601990708019141,LS6  B/plasma
PML-RARA,55,LS_7,2.620739676958256,0.006641755988936357,0.04077729258323717,1.3895816126724871,LS7  B/plasma
PML-RARA,55,LS_8,25.657402344891423,1.3129630253734813e-34,2.3108149246573272e-32,16.0,LS8  GMP
PML-RARA,55,LS_9,4.953075394805376,0.8576739256609514,1.0,-0.0,LS9  unresolved
PML-RARA,55,LS_10,1.987814320578628,2.299282342763475e-15,1.0116842308159289e-13,12.994955019327938,LS10  GMP
PML-RARA,55,LS_11,1.0463081558698266,0.045875434636086655,0.19377783590283001,0.712695898573011,LS11  Cell-cycle
PML-RARA,55,LS_12,1.2757585687566626,0.5138713627599496,1.0,-0.0,LS12  HSC/MPP
PML-RARA,55,LS_13,0.013013215878778728,0.9977083322942888,1.0,-0.0,LS13  Monocyte
PML-RARA,55,LS_14,0.9361828078520094,0.634108570020399,1.0,-0.0,LS14  T/NK
PML-RARA,55,LS_15,1.3489893486252857,0.0009833662174606613,0.008112771294050455,2.0908307669818282,LS15  Erythroid
PML-RARA,55,LS_16,0.7188386984494576,0.9998475395843921,1.0,-0.0,LS16  B/plasma
PML-RARA,55,LS_17,0.4315290664657751,1.0,1.0,-0.0,LS17  Megakaryocyte
PML-RARA,55,LS_18,0.7927455884261222,0.999986333856106,1.0,-0.0,LS18  unresolved
PML-RARA,55,LS_19,1.1037224657979168,0.9982118126431327,1.0,-0.0,LS19  unresolved
PML-RARA,55,LS_20,1.8700342213710073,0.48720565617407585,1.0,-0.0,LS20  Cell-cycle
PML-RARA,55,LS_21,0.18328866037220762,0.9998046974532943,1.0,-0.0,LS21  unresolved
PML-RARA,55,LS_22,0.7498192601849623,0.9999999994793661,1.0,-0.0,LS22  GMP
PML-RARA,55,LS_23,0.11890870453401073,0.9999999999569014,1.0,-0.0,LS23  unresolved
PML-RARA,55,LS_24,0.18983613463945528,0.9999110888899965,1.0,-0.0,LS24  unresolved
PML-RARA,55,LS_25,0.444650015442931,0.11095664133556804,0.3755455552896149,0.4253373736774274,LS25  T/NK
PML-RARA,55,LS_26,5.074607932533695,8.511949618653914e-06,0.00010451882322440155,3.980805488631144,LS26  GMP
PML-RARA,55,LS_27,1.237270291228997,0.9999999969857364,1.0,-0.0,LS27  unresolved
PML-RARA,55,LS_28,0.2656321387642571,0.999999981221396,1.0,-0.0,LS28  cDC
PML-RARA,55,LS_29,1.3056086927942518,0.9785531776881011,1.0,-0.0,LS29  B/plasma
PML-RARA,55,LS_30,1.5128070599592993,0.9999999998949402,1.0,-0.0,LS30  T/NK
PML-RARA,55,LS_31,3.907760715988658,0.11921474926408032,0.38616802215603935,0.4132236921728092,LS31  unresolved
PML-RARA,55,LS_32,0.1592229073676231,0.4600645023553207,1.0,-0.0,LS32  HSC/MPP
PML-RARA,55,LS_33,0.6489628485361374,0.9987105408958138,1.0,-0.0,LS33  unresolved
PML-RARA,55,LS_34,0.871145622404609,0.993072744323494,1.0,-0.0,LS34  Cell-cycle
PML-RARA,55,LS_35,3.739435389140168,1.2302402331533036e-09,2.598267372419777e-08,7.585316160271541,LS35  unresolved
PML-RARA,55,LS_36,0.3290955616102591,0.9999999999999988,1.0,-0.0,LS36  Neutrophil
PML-RARA,55,LS_37,0.08546766756889436,0.9987831296374231,1.0,-0.0,LS37  Cell-cycle
PML-RARA,55,LS_38,0.3473695189171158,1.0,1.0,-0.0,LS38  B/plasma
PML-RARA,55,LS_39,1.2337525053670204,0.9876475543072,1.0,-0.0,LS39  unresolved
PML-RARA,55,LS_40,0.47558257866439685,0.9969174205458657,1.0,-0.0,LS40  unresolved
PML-RARA,55,LS_41,0.4624484428754309,0.9999999993206782,1.0,-0.0,LS41  unresolved
PML-RARA,55,LS_42,0.9428312988029581,0.9997060867633969,1.0,-0.0,LS42  HSC/MPP
PML-RARA,55,LS_43,2.365314175571278,0.9963941943914495,1.0,-0.0,LS43  Monocyte
PML-RARA,55,LS_44,6.915177681345266,0.12171111183671812,0.39039955355345557,0.40849068764822893,LS44  unresolved
PML-RARA,55,LS_45,0.6337847347288983,1.3276992004717868e-09,2.696250684035013e-08,7.569239731709485,LS45  Macrophage
PML-RARA,55,LS_46,4.219056342862365,0.3834224551223365,0.8763941831367692,0.0573005136307147,LS46  GMP
PML-RARA,55,LS_47,1.484094912730766,0.4183685100235024,0.9320614906852711,0.03055543508767244,LS47  Macrophage
PML-RARA,55,LS_48,1.370774187482761,0.999395206072371,1.0,-0.0,LS48  unresolved
t(8;21),184,LS_1,3.0852491928916517,0.004277716971733599,0.02754432391555293,1.55996788306006,LS1  Erythroid
t(8;21),184,LS_2,2.482565062509063,6.7317703239316826e-06,8.462796978656972e-05,4.072486077665274,LS2  unresolved
t(8;21),184,LS_3,4.542991813493676,2.0695257626149144e-22,1.0927096026606747e-20,16.0,LS3  unresolved
t(8;21),184,LS_4,1.9563068593724582,0.0003496764942164132,0.003419059054560484,2.466093397931613,LS4  Cell-cycle
t(8;21),184,LS_5,0.23984891498042782,0.10629713524271778,0.3668293294650653,0.4355359480412489,LS5  Macrophage
t(8;21),184,LS_6,1.1629331242077618,1.0,1.0,-0.0,LS6  B/plasma
t(8;21),184,LS_7,1.6809237520148856,0.9623377339076167,1.0,-0.0,LS7  B/plasma
t(8;21),184,LS_8,5.718767338756838,6.231964011858779e-10,1.3710320826089314e-08,7.862952382455563,LS8  GMP
t(8;21),184,LS_9,3.889331450029767,0.9999999992020486,1.0,-0.0,LS9  unresolved
t(8;21),184,LS_10,0.6209960735609656,0.0003370843324666769,0.003408433604788771,2.4674451615026114,LS10  GMP
t(8;21),184,LS_11,0.8392685193104618,0.9418437775244051,1.0,-0.0,LS11  Cell-cycle
t(8;21),184,LS_12,1.6197198651272755,0.8147821156585687,1.0,-0.0,LS12  HSC/MPP
t(8;21),184,LS_13,0.35037832083477494,0.0005353907107666381,0.004711438254746415,2.3268464961087196,LS13  Monocyte
t(8;21),184,LS_14,1.2781497718137393,0.0010830171582017975,0.00866413726561438,2.06227467581641,LS14  T/NK
t(8;21),184,LS_15,0.6947959667258582,0.9999999999953623,1.0,-0.0,LS15  Erythroid
t(8;21),184,LS_16,1.3360655860529325,0.958172390788646,1.0,-0.0,LS16  B/plasma
t(8;21),184,LS_17,2.620613061732628,0.3944581792007884,0.8907888163649527,0.05022524406444499,LS17  Megakaryocyte
t(8;21),184,LS_18,1.5210750690416706,0.369233993180759,0.8626351699090299,0.06417283950556493,LS18  unresolved
t(8;21),184,LS_19,1.2415054366325868,0.9999999999998721,1.0,-0.0,LS19  unresolved
t(8;21),184,LS_20,2.020987495304607,0.6708100007186363,1.0,-0.0,LS20  Cell-cycle
t(8;21),184,LS_21,0.8461438059718466,0.23342586942961846,0.6224689851456492,0.2058822826509579,LS21  unresolved
t(8;21),184,LS_22,2.516684386343211,4.9866778679596734e-11,1.1968026883103215e-09,8.92197744394734,LS22  GMP
t(8;21),184,LS_23,2.24949587406294,7.161587614847812e-14,2.7009416147426035e-12,11.568484803694508,LS23  unresolved
t(8;21),184,LS_24,0.39333054609429885,0.9985762899915782,1.0,-0.0,LS24  unresolved
t(8;21),184,LS_25,0.30892225761522063,0.9952216772811399,1.0,-0.0,LS25  T/NK
t(8;21),184,LS_26,2.6317502255532235,0.9913313535547981,1.0,-0.0,LS26  GMP
