subtype,n,LS,mean_pct,pval,fdr,neglog10fdr
FLT3-ITD,200,LS_1,3.1532224847220554,0.07280706692721263,0.24269022309070876,0.6149477191080385
FLT3-ITD,200,LS_2,1.2395560262569985,0.9999719290810368,1.0,-0.0
FLT3-ITD,200,LS_3,1.5275773582519327,0.9999960428334692,1.0,-0.0
FLT3-ITD,200,LS_4,1.444991991347647,0.9950792484226713,1.0,-0.0
FLT3-ITD,200,LS_5,0.32426032998526577,0.9936767411003526,1.0,-0.0
FLT3-ITD,200,LS_6,6.0103831850771865,4.5583743458617585e-28,5.47004921503411e-26,16.0
FLT3-ITD,200,LS_7,3.01576115292202,4.9732897780097684e-05,0.0005491889003823119,3.2602782488413755
FLT3-ITD,200,LS_8,3.5250284081615515,0.4549965054558496,0.9578873799070518,0.01868554849977479
FLT3-ITD,200,LS_9,7.393218427261589,0.0011546989118528576,0.00729283523275489,2.137103598354415
FLT3-ITD,200,LS_10,0.2609894628930217,0.9998444861626042,1.0,-0.0
FLT3-ITD,200,LS_11,1.064983341758706,0.010370141785029539,0.048800667223668416,1.3115742400961328
FLT3-ITD,200,LS_12,1.2570202599036262,0.9606175823676717,1.0,-0.0
FLT3-ITD,200,LS_13,0.28100983299112153,0.14507205826950548,0.42460114615465017,0.37201883784790946
FLT3-ITD,200,LS_14,1.2418739295914238,0.986694482626974,1.0,-0.0
FLT3-ITD,200,LS_15,1.0654080340673566,0.55405535970618,1.0,-0.0
FLT3-ITD,200,LS_16,2.0843838556884284,0.498613505736801,1.0,-0.0
FLT3-ITD,200,LS_17,3.101482651387176,0.018947266605222557,0.08267898155006206,1.082604881705034
FLT3-ITD,200,LS_18,1.654107530927542,0.10037167686473192,0.3088359288145598,0.5102721812047203
FLT3-ITD,200,LS_19,2.6246459786831764,0.15029721793297574,0.42942062266564496,0.36711710266915154
FLT3-ITD,200,LS_20,2.929106556715423,0.047443854185994665,0.1725231061308897,0.7631527313551967
FLT3-ITD,200,LS_21,1.5171120419682371,9.939511852648854e-07,1.834986803565942e-05,4.7363670546593575
FLT3-ITD,200,LS_22,2.170101119667758,0.0004614248264977975,0.003475447743264224,2.458989237145023
FLT3-ITD,200,LS_23,0.8608974486979022,0.8646412289890608,1.0,-0.0
FLT3-ITD,200,LS_24,0.9467114713798818,0.020687997373324496,0.0861630326142475,1.0646790239109152
FLT3-ITD,200,LS_25,0.7154155648302325,0.30287421267715464,0.7126452062991874,0.14712663185369368
FLT3-ITD,200,LS_26,2.873464172403726,0.08056628034044322,0.2612960443473834,0.5828671648272364
FLT3-ITD,200,LS_27,3.0896636542857117,5.03423158683786e-05,0.0005491889003823119,3.2602782488413755
FLT3-ITD,200,LS_28,1.8991857281694204,0.0030694300676243746,0.017131702703019766,1.7661994707894944
FLT3-ITD,200,LS_29,1.6812975897265312,0.9913707979817699,1.0,-0.0
FLT3-ITD,200,LS_30,5.006316073681797,0.44702885259055614,0.9494418108118007,0.02253164705938585
FLT3-ITD,200,LS_31,1.515799624234625,0.7752822370646097,1.0,-0.0
FLT3-ITD,200,LS_32,0.5430931232151744,0.20950713440970942,0.571383093844662,0.24307261372330402
FLT3-ITD,200,LS_33,1.198964463526794,0.5395519677247632,1.0,-0.0
FLT3-ITD,200,LS_34,1.3863568977723468,0.9778674522446796,1.0,-0.0
FLT3-ITD,200,LS_35,1.6931323200427937,0.07249266913188844,0.24269022309070876,0.6149477191080385
FLT3-ITD,200,LS_36,1.3483432400147266,0.9981267153991827,1.0,-0.0
FLT3-ITD,200,LS_37,0.7112449525815607,0.22139002296871818,0.5946436819825679,0.2257431910826782
FLT3-ITD,200,LS_38,2.3850152731786394,0.7750216044166613,1.0,-0.0
FLT3-ITD,200,LS_39,2.0133144571115764,0.5460162992355064,1.0,-0.0
FLT3-ITD,200,LS_40,1.1225929967753006,0.044402520195722356,0.16394776687651333,0.7852944944555044
FLT3-ITD,200,LS_41,1.3866125727869416,0.9499347300070367,1.0,-0.0
FLT3-ITD,200,LS_42,1.820411986600641,0.8502611239680119,1.0,-0.0
FLT3-ITD,200,LS_43,3.379001861034439,0.9952511942387141,1.0,-0.0
FLT3-ITD,200,LS_44,7.718578767591162,1.3408592442027087e-05,0.00017878123256036114,3.7476780729185197
FLT3-ITD,200,LS_45,0.24502891270917626,0.999939701058086,1.0,-0.0
FLT3-ITD,200,LS_46,1.4821761518894854,0.9999999999952874,1.0,-0.0
FLT3-ITD,200,LS_47,1.8273974462295215,0.9995372870129393,1.0,-0.0
FLT3-ITD,200,LS_48,2.263759289300503,0.9998286333743339,1.0,-0.0
NPM1-mut,113,LS_1,3.6816660765742166,0.09382354187560588,0.29990122853996376,0.5230217551573311
NPM1-mut,113,LS_2,1.332910698745802,0.9987210347765164,1.0,-0.0
NPM1-mut,113,LS_3,1.9418301878047894,0.8513343510107149,1.0,-0.0
NPM1-mut,113,LS_4,1.1420088485793372,0.9984521692140931,1.0,-0.0
NPM1-mut,113,LS_5,0.0435023142286508,0.9999901158254869,1.0,-0.0
NPM1-mut,113,LS_6,5.260592221628723,7.35808677162899e-08,1.962156472434397e-06,5.70726636270265
NPM1-mut,113,LS_7,3.5409346375651123,6.319498034128484e-06,9.479247051192727e-05,4.023226157862238
NPM1-mut,113,LS_8,3.0998367759971797,0.7660956353134385,1.0,-0.0
NPM1-mut,113,LS_9,6.918303613003736,0.0012666470888226381,0.007794751315831619,2.108197736008802
NPM1-mut,113,LS_10,0.19284443874357327,0.9861538640282598,1.0,-0.0
NPM1-mut,113,LS_11,1.1794208276886604,8.096047752707871e-05,0.000741630179569235,3.1298126055171465
NPM1-mut,113,LS_12,1.2948181362467126,0.5206751214059724,1.0,-0.0
NPM1-mut,113,LS_13,0.3165228675506416,0.3875723209412137,0.8556910050259572,0.06768303326502945
NPM1-mut,113,LS_14,0.6333583818475573,0.9999972959057118,1.0,-0.0
NPM1-mut,113,LS_15,1.2674086426772198,0.2830569916988377,0.6821804145320316,0.16610075338767327
NPM1-mut,113,LS_16,2.0980453526822975,0.6441764011188365,1.0,-0.0
NPM1-mut,113,LS_17,4.298710279874112,2.765346174298556e-12,1.1061384697194224e-10,9.956190503347
NPM1-mut,113,LS_18,1.307114049600648,0.971548722538141,1.0,-0.0
NPM1-mut,113,LS_19,2.549187982949966,0.2439961790058532,0.6296675587247824,0.2008886815268239
NPM1-mut,113,LS_20,2.323980308063352,0.25807417790474896,0.6434043254396089,0.19151602377561014
NPM1-mut,113,LS_21,1.2542120395449468,8.343339520153893e-05,0.000741630179569235,3.1298126055171465
NPM1-mut,113,LS_22,2.240343481285784,2.806791418382435e-07,6.12390854919804e-06,5.212971303420414
NPM1-mut,113,LS_23,0.5071233052486196,0.9999840780068396,1.0,-0.0
NPM1-mut,113,LS_24,1.1688456369415703,0.06838369016542203,0.23600367519614054,0.6270812338732162
NPM1-mut,113,LS_25,0.2630329400056944,0.9991197581589704,1.0,-0.0
NPM1-mut,113,LS_26,2.349231647618509,0.8127424859284316,1.0,-0.0
NPM1-mut,113,LS_27,3.9438316374039557,2.5519165370550676e-10,7.655749611165203e-09,8.116012279027911
NPM1-mut,113,LS_28,1.8585327869918917,0.5601120763382187,1.0,-0.0
NPM1-mut,113,LS_29,1.899161285231941,0.6127600537617,1.0,-0.0
NPM1-mut,113,LS_30,5.701440996610016,0.06250334071585043,0.22060002605594267,0.6563944405995841
NPM1-mut,113,LS_31,1.3842051357426148,0.6174434085141074,1.0,-0.0
NPM1-mut,113,LS_32,0.15920101156937072,0.9551499754380353,1.0,-0.0
NPM1-mut,113,LS_33,1.2829581804353114,0.068834405265541,0.23600367519614054,0.6270812338732162
NPM1-mut,113,LS_34,1.118420643245662,0.999320565032392,1.0,-0.0
NPM1-mut,113,LS_35,1.0666814333943997,0.99825619103993,1.0,-0.0
NPM1-mut,113,LS_36,1.3326544408533274,0.9586952279762617,1.0,-0.0
NPM1-mut,113,LS_37,0.5047153564443725,0.4344602716147019,0.9309862963172184,0.031056711583227457
NPM1-mut,113,LS_38,1.4923153839395273,0.9999999858826046,1.0,-0.0
NPM1-mut,113,LS_39,1.9166759596187668,0.8453747288515255,1.0,-0.0
NPM1-mut,113,LS_40,1.2133190424538474,0.00017294760584386171,0.0014312905311216141,2.8442722018404187
NPM1-mut,113,LS_41,0.8165284282278572,0.9999985844570681,1.0,-0.0
NPM1-mut,113,LS_42,1.7229455490395797,0.8988205855713918,1.0,-0.0
NPM1-mut,113,LS_43,4.081535628302805,0.7123349867250801,1.0,-0.0
NPM1-mut,113,LS_44,10.190487738890784,1.6968447734783684e-10,5.817753509068692e-09,8.235244683212551
NPM1-mut,113,LS_45,0.20362958908226583,0.942571429981941,1.0,-0.0
NPM1-mut,113,LS_46,1.2421782308541889,0.9999999849145751,1.0,-0.0
NPM1-mut,113,LS_47,1.7286630627070236,0.9986470728482825,1.0,-0.0
NPM1-mut,113,LS_48,2.9341327862629343,0.7456351328693693,1.0,-0.0
CEBPA-mut,80,LS_1,3.5978847745081963,0.006027072280113709,0.030135361400568546,1.5209235958558829
CEBPA-mut,80,LS_2,1.9523610417020145,0.3373792416613638,0.7711525523688315,0.11285969964246041
CEBPA-mut,80,LS_3,1.6324993159634975,0.7855462377293565,1.0,-0.0
CEBPA-mut,80,LS_4,2.2221352660541296,0.18074123527061187,0.5043941449412425,0.2972299634044045
CEBPA-mut,80,LS_5,0.07638661246524925,0.9954252014197782,1.0,-0.0
CEBPA-mut,80,LS_6,2.5272904340140014,0.6074506253575019,1.0,-0.0
CEBPA-mut,80,LS_7,2.489203994945774,0.32226303702922326,0.7436839316058997,0.1286116019874116
CEBPA-mut,80,LS_8,7.36794172430996,1.40820628406981e-07,3.3796950817675443e-06,5.471122480278354
CEBPA-mut,80,LS_9,4.583584344571153,0.9678124987461134,1.0,-0.0
CEBPA-mut,80,LS_10,0.40058086278691957,0.5491544473975777,1.0,-0.0
