LS,program,z,lab,group,dir,HR,p
LS_35,cDC,-0.747171,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,cDC,-0.3374903,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,cDC,0.5078748,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,cDC,0.0027422707,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,cDC,-0.22925276,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,cDC,-0.62898046,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,cDC,-0.357973,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,cDC,0.29278883,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,cDC,-0.5572767,LS19,Poor,poor,1.144,0.001073258976889
LS_28,cDC,3.9465647,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,cDC,-0.33931938,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,cDC,-0.38335517,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,cDC,0.079660185,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,cDC,0.123227306,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,pDC,-0.36171603,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,pDC,-0.47518864,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,pDC,1.0570296,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,pDC,-0.10457993,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,pDC,-0.37703133,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,pDC,-0.4974314,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,pDC,-0.48513177,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,pDC,-0.4006648,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,pDC,-0.5261427,LS19,Poor,poor,1.144,0.001073258976889
LS_28,pDC,1.1509002,LS28  cDC,Poor,poor,1.137,0.0015005865258544
LS_25,pDC,-0.63804686,LS25  T/NK,Poor,poor,1.122,0.0056392944510229
LS_21,pDC,0.3428716,LS21,Poor,poor,1.112,0.0091750470408152
LS_9,pDC,-0.07493344,LS9,Poor,poor,1.115,0.0146850369765446
LS_20,pDC,0.063508675,LS20  Cell-cycle,Poor,poor,1.102,0.0253272100154547
LS_35,T/NK,-0.96584034,LS35,Favorable,favorable,0.685,3.38477648497878e-10
LS_8,T/NK,-0.20406859,LS8  GMP,Favorable,favorable,0.723,3.97117003041978e-07
LS_1,T/NK,1.3035883,LS1  Erythroid,Favorable,favorable,0.863,0.0038578431012638
LS_27,T/NK,-0.57820845,LS27,Favorable,favorable,0.868,0.0039019047326213
LS_46,T/NK,-0.80789757,LS46  GMP,Favorable,favorable,0.889,0.0211755567844702
LS_2,T/NK,-0.61805683,LS2,Favorable,favorable,0.896,0.0286140270493451
LS_40,T/NK,0.94925433,LS40,Poor,poor,1.167,2.94831253999638e-05
LS_18,T/NK,-0.56802666,LS18,Poor,poor,1.175,0.0001041946247685
LS_19,T/NK,-0.15822957,LS19,Poor,poor,1.144,0.001073258976889
LS_28,T/NK,-0.025494669,LS28  cDC,Poor,poor,1.137,0.0015005865258544
