gene,log2FC,padj
PIM3,0.7540446,1.71664264805053e-33
ATP2C1,0.72513264,2.5569204966622713e-33
PDE3B,0.71191025,6.137437500422803e-33
DLC1,1.585649,9.024922582649009e-33
SLC12A2,1.2319748,1.0504449530671022e-32
TNFAIP3,0.97449243,1.7183979511649797e-32
NBAS,0.78090996,2.2825036983950978e-32
ZEB2,0.45557943,3.6375604353388086e-32
TES,0.70554477,4.086628588604748e-32
HGF,0.68353593,6.215327629342636e-32
ZMYND8,0.6495465,1.0999039861065453e-31
STON2,1.3587719,1.3077664780771084e-31
FHIT,1.3434994,2.0340476848384257e-31
ABHD4,0.94190204,2.2926109330556277e-31
NR4A1,1.5816259,2.6657997609958693e-31
QPRT,0.79407823,3.9018371542420395e-31
DENND3,0.58844054,3.953687149950124e-31
SYPL1,0.49599794,4.470686432359901e-31
GRHPR,0.44394746,1.0133876180740851e-30
WFDC1,2.2756336,3.145781609082709e-30
IFRD1,0.60610497,4.8823175981439714e-30
MAP4K5,0.71596396,5.4316628513899274e-30
GYPC,0.43218935,5.697466027939939e-30
GOLPH3,0.53457344,6.89987677777261e-30
GBE1,0.92924386,7.029207221647786e-30
RTN4R,0.9392077,1.411693737873378e-29
MFAP4,1.4400983,1.4567334787452087e-29
NPW,0.7170381,1.686528655008202e-29
FNDC3B,0.60511667,3.5784214843302344e-29
CEP170,0.5370977,4.8980261264032136e-29
SLC17A9,0.49787092,8.97972120512462e-29
PLCB1,0.6974065,1.0009352603729961e-28
CPA3,0.85104835,1.1195019087770045e-28
HNRNPA2B1,0.17875034,1.3251852127124923e-28
ABCC4,1.3503778,1.354463658612395e-28
AC007383.2,0.969667,1.905430192893998e-28
ZMAT3,0.6131527,2.2673169003622244e-28
LPCAT4,0.7978508,2.980328512883545e-28
RUNX1T1,3.0547013,3.1660256546652035e-28
VAV3,0.71583253,3.418548653021443e-28
SERPING1,0.76685625,4.770544714636628e-28
PTPRM,3.1856427,4.780200054024359e-28
NUTM2A-AS1,0.6358091,5.7713187191813905e-28
STAT5A,0.48368052,6.276678290788919e-28
IGFBP2,0.78611714,7.2309944349965075e-28
KDM6A,0.8012597,7.487044849163409e-28
FOXP1,0.45984048,9.133570554453512e-28
TGFBR2,0.65217334,1.1225102840246253e-27
NET1,0.8101076,2.1523128036324902e-27
HAGHL,0.51482123,2.4295310648085235e-27
CERS6,0.5663145,2.7529024210703816e-27
CSRNP1,0.5757976,3.725837905645399e-27
STK17B,0.48314673,8.328708881971323e-27
CKB,1.0269417,8.754158019636105e-27
DNMT3A,0.5831938,1.9784192315668107e-26
TSPAN4,0.77262074,3.3678430375974157e-26
TGFBRAP1,0.6018685,4.778970575507009e-26
ARIH1,0.5483869,5.600442324662198e-26
ENOSF1,0.5762654,5.972929819083503e-26
SNHG7,0.28325415,6.422891473598809e-26
RAB6B,3.210578,7.445341762211991e-26
RBM39,0.2869114,7.758277508847618e-26
GBP4,0.67385346,8.07263193678259e-26
PDLIM1,0.46022236,1.6121493980433921e-25
CELF2,0.44128868,1.776464494176545e-25
UBA7,0.4848173,1.7885943292489624e-25
DDX3X,0.41196865,1.8321001744109218e-25
UBASH3B,0.78201336,3.0701132614188806e-25
PROM1,0.5769753,3.7598552007687585e-25
GRAMD1A,0.48841482,4.157860811618827e-25
TRIO,0.72696257,4.978071236070158e-25
POU4F1,1.5895165,5.3648953024342905e-25
NTHL1,0.63577455,6.913832305437596e-25
RELL1,0.78337514,7.091184024969813e-25
GPX7,0.5717914,8.398281993442527e-25
ITGA5,0.46305546,1.0824104380292954e-24
TBXA2R,1.8105375,1.1360494686015627e-24
MARCH6,0.5465103,2.046310023815957e-24
GP1BB,1.4779224,3.730327501433959e-24
RUNX2,0.5883494,3.970768245732152e-24
AL157895.1,1.7458745,3.9983141309054095e-24
ARL5B,0.941426,1.1933195175220498e-23
MMP2,0.92838967,1.2001339583578897e-23
NTNG2,1.2570808,1.3051815726596956e-23
MYC,0.48595256,1.330660973179648e-23
ETV6,0.33972484,1.467111757306387e-23
KRT8,0.9820579,2.5037140840177825e-23
PDK1,0.86371833,2.7794117005737466e-23
YES1,1.2612337,3.370887307718309e-23
DDX5,0.11624701,3.8959957253982655e-23
GALNT14,1.7957965,5.1362686721098537e-23
CUL1,0.7110665,6.765908372073997e-23
AP1B1,0.5493608,7.156002556584341e-23
FLT4,3.9466512,7.397235590762118e-23
AC068587.4,1.1378095,8.082845324153603e-23
CXCL2,0.85781175,8.634279270776662e-23
MAFF,0.97569525,9.33897267773053e-23
TCF12,0.56076735,1.21105035898183e-22
PADI4,0.7438664,1.37272674137362e-22
AUTS2,1.0483217,1.6489315212685435e-22
BCR,0.5241567,1.8483123911527777e-22
OBSL1,0.9875494,1.872320141738821e-22
BCAT1,0.6505311,1.9111000961786775e-22
PRSS57,0.34535378,2.1106422458981413e-22
LRRC8A,0.79370064,2.344421281176388e-22
DNAJB6,0.41274008,2.503507607646216e-22
LY6E,0.374279,2.6555002452364484e-22
CRPPA,2.156579,3.0480223273731697e-22
SLC29A1,0.8519844,3.2328147824280847e-22
CERS4,1.248014,5.231330110574312e-22
MAGED2,0.5342911,6.542539350713292e-22
SEPTIN11,0.512258,1.0828035138184075e-21
SDCCAG8,0.46290407,1.3262331400394161e-21
LRCH1,0.9108481,2.854168828939945e-21
ANKRD36,0.5326044,3.0178511085266134e-21
HSPG2,0.80229163,3.0598735593570877e-21
CCNG1,0.41995618,3.324705183728898e-21
ACSM3,1.1432179,3.624875930941727e-21
ODC1,0.46778378,5.689313213725112e-21
MTAP,0.6123163,5.750427916357104e-21
GRB10,1.0580778,7.321369117993233e-21
MTURN,0.74505,7.497221118935412e-21
TCTEX1D1,1.1875514,8.243531351780247e-21
CD96,0.4709526,9.736187645807622e-21
MAN1A1,0.6698503,9.852321796207434e-21
FNDC3A,0.6043305,9.879105264821585e-21
FGFR1,0.89441776,1.2429025663674467e-20
PDZD8,0.6472959,1.518468784757391e-20
AR,1.5676941,1.621189876971589e-20
SPN,0.29316315,1.6772036176679438e-20
CDIP1,0.54988945,1.8026036959886245e-20
PRAM1,0.39575332,1.8282910652938667e-20
BTG3,0.97336435,1.8526803651094178e-20
MMRN1,0.7856503,2.080614069641902e-20
REV3L,0.51451355,2.2557339567448408e-20
ITGB1,0.47260976,2.4863495285317535e-20
SELL,0.38221002,2.8221356550488326e-20
DENND6B,0.59552866,3.411379946199451e-20
PAG1,0.69891506,3.550861292943686e-20
SLC25A3,0.021326225,3.759488277452067e-20
STK24,0.5754499,3.760673348429555e-20
ARHGAP25,0.5130318,4.0675272008781944e-20
PLXND1,0.43757397,5.020465682932934e-20
CENPC,0.49369344,5.627305082836301e-20
METRN,0.60624,6.517016341361235e-20
CD79B,0.5882629,6.571541558484306e-20
NKTR,0.41257975,6.635488090636344e-20
CLDN15,1.0184132,7.468122800065544e-20
PRKX,0.5513585,8.552819760984518e-20
LRPPRC,0.4563121,1.0803584724202994e-19
MIB1,0.67400795,1.0965209676056628e-19
TTC3,0.32397145,1.19384788735497e-19
GLUL,0.31477898,1.3458787593114215e-19
ARPP21,1.689914,2.5567637853673345e-19
