LS,LSC_Eppert,HSC
LS_9,0.03397680965704401,-0.06053349961795568
LS_11,0.1803211194278453,-0.05589563244890912
LS_42,-0.044293445958425964,-0.09833407860919521
LS_37,0.09344907696989241,-0.022292579156691653
LS_44,0.09066420019511057,-0.06875615008560115
LS_3,0.19329217869222476,0.12854596060164986
LS_7,-0.06209627787272136,-0.07962536672169195
LS_9,0.084599120774018,-0.03236208480771117
LS_1,0.08859010501311507,-0.08241748251176778
LS_1,-0.027035360596611838,-0.05925197202291449
LS_20,0.0613863082309383,-0.16548704333770303
LS_40,0.1364265822628033,-0.10212863712806797
LS_2,0.23385938902613806,-0.012859913737243156
LS_39,-0.03231961187463114,-0.21214918830903504
LS_7,-0.00966043632681915,-0.18005048041563154
LS_34,0.013489750288129015,-0.04135834970853572
LS_42,0.009831398815894413,-0.08730053123569888
LS_1,0.2747774915587386,0.027797277925454056
LS_42,-0.03029475647258731,-0.12971857940801518
LS_39,0.1403109306207136,-0.10446432584499216
LS_1,0.09150274417142024,0.023501834891609043
LS_14,0.2214398948095178,0.008569849358859655
LS_25,0.12052079814177821,-0.03427171927880864
LS_1,0.11733415181360067,-0.04542180950513717
LS_42,0.04178630954015672,-0.09519388366443841
LS_7,0.1269163600268494,-0.1877775567346038
LS_34,0.21101424514606432,-0.061186743325572425
LS_30,-0.01163109110707844,-0.10589597694045828
LS_7,0.022889324742504685,-0.06326873013165206
LS_1,-0.017410746349064407,-0.024685437747100095
LS_1,0.17532304564487317,-0.013478086757543743
LS_40,0.09013778459345437,-0.1536853103956917
LS_9,-0.03644994404942396,-0.09627086048844469
LS_9,0.0985855258198063,-0.07425289393468881
LS_7,0.09097283833737477,-0.11784494557210712
LS_46,0.04386085381940405,-0.02344550496977167
LS_20,0.0022562183162414817,-0.08667213088797725
LS_30,0.15726442339665508,-0.07356895542543802
LS_46,0.08725157959388248,-0.032452537071325414
LS_39,0.2943473765433969,-0.11834750539903817
LS_20,-0.029625386747408083,-0.03473828467112541
LS_42,0.06056541104207594,-0.0759672156936454
LS_39,0.04281810995038296,-0.1685512543469628
LS_1,0.04281786988844448,-0.01399395614475727
LS_39,0.05243653517503005,-0.06579519629156455
LS_1,0.06472436659323601,0.0344036438386702
LS_9,-0.0025257778982830936,-0.06712154244778047
LS_20,-0.048394131929972384,-0.12200364627598718
LS_2,0.054710886187220795,-0.03339609451247477
LS_1,0.15654113491869248,-0.010647599251743446
LS_1,0.12159168841853957,0.08799928415946097
LS_46,0.03578785059371206,0.06835732424412608
LS_39,0.061318276833659646,-0.017935471418304066
LS_7,0.041472869633247866,-0.1180864022865455
LS_10,0.0971192285513004,-0.10592136632574736
LS_7,0.05516512176370636,-0.16856766279190377
LS_14,-0.018647814704131432,-0.02292984750372999
LS_7,-0.04224519490341132,-0.06393250022473196
LS_16,-0.044516383303339124,-0.14011950632518305
LS_20,0.08710822080954525,-0.08794680742330771
LS_30,0.02727503075821852,-0.014156726962220312
LS_1,0.1802316344339788,-0.09140011456222215
LS_39,0.10829368004432091,-0.11162638645051907
LS_42,0.0047717960800452985,-0.07406618241681417
LS_39,0.24297179102996247,-0.09681521507840207
LS_7,0.05025402139559046,-0.1608498610718309
LS_42,0.06975067355332376,-0.08785617461264383
LS_14,-0.023905642866792504,0.04525112805998645
LS_39,0.10555842956761735,-0.18367590821904972
LS_14,-0.03873134573070608,-0.032487987071602456
LS_30,0.0007370606183939865,-0.033278432550789425
LS_12,0.09125123393414004,-0.057367594571293146
LS_10,0.024991941806991963,-0.13858079622625377
LS_14,0.06104417395453693,-0.04841643281864619
LS_40,0.1280011244637926,-0.16497728341616133
LS_40,0.25061030318199984,-0.05122395307291275
LS_40,0.1475461155775989,-0.12203568394460274
LS_46,-0.002240295084113761,0.03072647735493067
LS_9,0.03173379763973164,-0.06705092426124477
LS_11,0.20695025788741825,-0.06908292251650758
LS_1,0.06524042613847479,-0.07325883809492678
LS_14,-0.033572259539574476,0.055505853936515755
LS_46,0.20106863416782714,-0.017275699635480368
LS_7,-0.003358358189130828,-0.18710881317010983
LS_10,0.07404259659877846,-0.18770399540891639
LS_30,0.05899733802915311,-0.05612538311038379
LS_46,0.006784756452477864,-0.016689459157882808
LS_9,-0.0072602544699880145,-0.10400528528700313
LS_7,0.11439179703654881,-0.13193458791670865
LS_30,0.0858154754386252,0.11865793974380247
LS_42,-0.02061233120842812,-0.09143575883809493
LS_30,0.038068947004555403,0.042529398490485926
LS_25,0.06936630362612438,-0.07909388841445476
LS_1,0.01700719539409898,-0.029760753693617754
LS_10,0.11422163229985177,-0.1329065532895457
LS_20,-0.029004534775802587,-0.06409314808517964
LS_7,-0.04334106739802501,-0.17436836274597933
LS_30,-0.01730554505488352,-0.07380071025513206
LS_7,0.04924398064120333,-0.19384214010198744
LS_14,-0.08396920613556286,-0.004881726651807666
LS_1,0.19956762599392897,0.10972909450051165
LS_16,-0.05346191570323003,-0.10200751905667063
LS_40,-0.003716115160096206,-0.08946367883750439
LS_1,0.09021041108650185,-0.02539059738127661
LS_1,0.1680247336009793,0.10785550439290201
LS_42,-0.09172851230147,-0.10771585249003007
LS_10,0.04025330765700255,-0.13586398966641605
LS_39,-0.008851901407507384,-0.11890496289879707
LS_30,-0.06087376047896392,-0.136452927848784
LS_11,0.07293492083974143,-0.05722327451825641
LS_7,-0.03386993765798124,-0.18220867710114536
LS_39,0.11122367150007217,-0.13547471816569692
LS_40,0.0237801769794036,-0.08169955410736862
LS_46,0.15426857451088408,0.053317529797446694
LS_30,-0.025261892377097722,-0.06069936073973588
LS_11,0.07205070251599469,-0.03370306392473902
LS_10,0.1763219641429648,-0.19930249842210415
LS_42,0.019699731936690112,-0.13412862482430046
LS_46,0.16990284358367208,-0.02115061860816672
LS_39,0.09554800291773963,-0.09985539264758761
LS_3,0.011201709172007218,-0.14520214953719796
LS_42,0.010991611591146644,-0.0976871506439592
LS_46,0.05412076451017865,-0.10591232746714828
LS_11,0.16616902957450336,-0.13638402707407166
LS_13,0.044462182418617074,-0.11558671930281895
LS_30,-0.028692833937525836,-0.05189563219252168
LS_42,0.03418242415351119,-0.07958140353278635
LS_1,0.09388471550280181,0.01077835072804846
LS_42,-0.03484871225117783,-0.09741696792666384
LS_46,0.06514980683222861,-0.04043039141882717
LS_1,0.09251846963458064,0.03538859988488824
LS_9,0.11874549041150652,-0.08573707357111336
LS_30,0.0926116194513372,0.09864127368885584
LS_1,0.16694620604156163,0.025748400407589814
LS_1,0.08001008466284631,0.07495856254031727
LS_9,0.04368892109094982,-0.03485246200656482
LS_39,-0.04199613419189113,-0.2104842181983852
LS_17,0.18231817602552525,0.02766821415619694
LS_14,-0.026388062634085496,0.058050435867661135
LS_42,0.07114587041803848,-0.06309232193057009
LS_30,-0.009917531356622211,-0.11261928670077144
LS_30,0.08933462359078961,-0.09448194942713782
LS_10,0.09756864553514116,-0.09716203070426857
LS_14,-0.06293831970660785,0.022214916741012683
LS_1,-0.04926412625519212,-0.048683220771566095
LS_9,-0.06586400358874772,-0.0657651254821522
LS_40,0.19700014121216258,-0.0027393671499142958
LS_42,0.18661959795114388,-0.0012389609447620853
LS_1,0.10909865636749311,-0.06484270295338651
LS_1,0.18431926818797173,0.12611813134835448
LS_1,-0.011930789111368509,-0.059541467642684365
LS_40,0.01974917154914263,-0.13386369606403153
LS_7,0.06727302557580034,-0.1489513863926753
LS_14,0.08782606858473556,0.008562475720374212
LS_1,0.0005524753373879476,-0.07762167703157688
LS_7,0.06407506189170145,-0.1342526902410478
LS_9,0.046903504528616746,-0.08084301808887945
LS_42,0.08959430645147827,-0.07763393513827144
LS_1,0.023060510202580847,-0.005597286419837907
LS_46,0.06359005368771486,-0.0029523292465941306
LS_7,0.1190240479777725,-0.1784085617486681
LS_1,0.3057484044363455,-0.002992745212538575
LS_40,0.15077982508909415,-0.08571054098382731
LS_9,0.07531155611747613,-0.058308915014546284
LS_10,0.05293731226683121,-0.15610826831330915
LS_39,0.03571033714426952,-0.18423943650159952
LS_40,0.20719592880867452,-0.008401316534720898
LS_42,-0.03709543037256788,-0.07995807216756015
LS_42,0.06806827426318268,-0.11554102561628028
LS_39,0.12180628748941855,-0.10335991759780327
LS_6,-0.006508716512784701,-0.05671458727954448
LS_20,0.07071479227314778,-0.09308365543580245
LS_1,0.1662082803587891,0.08227400072840373
LS_32,0.046734728627800454,-0.048263860724940974
LS_34,-0.025978903222222086,-0.024393448484416838
LS_14,-0.013002482662195669,-0.0719355369282188
LS_39,0.2591180130900974,0.11177858656022605
LS_46,0.17854647430007636,0.08226005987976827
LS_39,0.017625045671192163,-0.19319303715975947
LS_11,0.14376778151662284,-0.030596313119963768
LS_42,-0.06713304238310194,-0.0627300868391214
LS_19,0.04269639618113444,-0.030792266878938525
LS_30,-0.031220192879002906,-0.09147587221536677
LS_1,0.03586118649213742,-0.06467775480517783
LS_1,0.17653679039184467,0.19426659357307208
LS_1,0.14064602974133616,0.08912826032180425
LS_30,0.02203927830227287,-0.06641308772514055
LS_39,0.0805806695576834,-0.11280221340546548
LS_20,-0.030013727293811215,-0.09362672559349133
LS_10,0.10068249551264552,-0.017230815795523435
LS_10,0.09863470091713275,-0.03026453021926198
LS_34,-0.0074179175802587816,-0.07508049196096099
LS_7,0.060279221451903675,-0.1421844831229481
LS_10,0.24371771527151775,-0.054527545355366525
LS_40,0.09771170141547714,-0.19741111182666457
LS_30,0.08652935022817422,-0.07064814228393045
LS_40,0.04810356390453219,-0.1780377341607296
LS_14,-0.010691292265541538,0.0323273163807543
LS_14,0.12474815109921844,-0.006076262299144847
LS_42,-0.03760924890148498,-0.12792340522031903
LS_42,-0.01545467907842736,-0.062097461652556224
LS_2,0.09206273005558896,0.051249020195987205
LS_13,0.09072840006712352,-0.11065101783145921
LS_9,0.005380971260165457,-0.05512950689722804
LS_7,-0.05797544037109241,-0.07295823272245239
LS_40,0.11116960839460072,-0.0914195696597041
LS_1,0.0355871808998901,-0.06877461836427824
LS_30,0.09986576956430018,0.0273874763184499
LS_1,0.04352962040592233,-0.017933788206622628
LS_14,0.12813534669584237,-0.061822272804251774
LS_34,0.012382581998469061,-0.028665711385871276
LS_1,0.012004597245545826,-0.045553352643256405
LS_14,0.014051255951053943,0.015366311278120187
LS_1,0.1228196296870692,-0.06084531520699856
LS_25,-0.00938201548805373,-0.0882591598702275
LS_34,0.1160910395771339,-0.03661073483714145
LS_1,0.10982650050059936,0.020168059925729717
LS_10,0.09537624215041107,-0.1889391660702935
LS_1,0.03151913756735239,-0.02463243545462321
LS_9,0.05472445902102638,-0.07193881238354799
LS_9,-0.05180326782049868,-0.06469241984219731
LS_10,0.10102388094304382,-0.1560705208878138
LS_40,0.17818376253484067,-0.09999642745650841
LS_9,-0.009740060901457792,-0.0668959613624477
LS_40,-0.03167963829913481,-0.06737852278140116
LS_1,0.21100310816526874,-0.0723295842254511
LS_42,-0.0319194692470234,-0.08297038696799817
LS_39,0.017464907267286278,-0.2034245563427224
LS_20,0.006200190907770992,0.015911404524975352
LS_42,0.1630219006492377,0.019728401039220106
LS_27,0.03686724321750823,-0.1032039411908571
LS_30,0.08149578303780675,0.05293709489414168
LS_7,0.010948585550220408,-0.12712069076474242
LS_39,0.12537704606604438,0.07155445954107792
LS_39,0.033873556729746096,-0.1946062714712239
LS_1,0.08237652795716426,-0.06201404268272751
LS_9,0.07064938499212986,-0.08942867901534715
LS_9,0.021051544639602127,-0.040181416148421155
LS_39,0.10035690421206189,-0.12469466473804831
LS_1,0.06909433474776042,0.07266390576061318
LS_30,0.03485594908001996,-0.08648412217654942
LS_46,0.15344314743475315,0.09451810732640918
LS_42,0.11573301230641742,-0.05752572414765298
LS_39,0.2477483757277773,-0.05690909510389691
LS_1,0.056546771562490564,0.008579404558281059
LS_7,0.11482130439280808,-0.06168995318754479
LS_1,0.03873441237078114,0.06382100133722626
LS_7,0.1090812220335467,-0.1777665780677955
LS_30,0.05516383705107608,-0.09771193489609908
LS_1,0.1600051755776312,0.10773778161496961
LS_14,0.15982967952016236,0.02916842494423337
LS_1,0.10124867041971455,-0.01118774154442459
LS_1,-0.048748867223175354,-0.008955932589104092
LS_1,0.14280967565157346,-0.025985762873580343
LS_1,0.07609999104245556,0.10549235736141202
LS_42,0.11005372898553006,-0.08504373079563285
LS_9,0.10306625850015941,-0.0507921546074137
LS_1,0.07566472903604773,-0.051930495385844336
LS_42,0.07977253640687329,-0.11965186466233002
LS_40,0.16958569362862297,-0.1255408359024713
LS_1,-0.0610299784847288,-0.050739098822601414
LS_9,-0.013602787645717013,-0.07766326521231041
LS_31,0.06184303908430909,0.015743054460212652
LS_9,0.04152104846038271,-0.0495860271374052
LS_42,-0.01688627280379118,-0.024110692232179536
LS_3,0.07956897808166452,-0.039596683320766296
LS_30,0.06875555450212276,-0.11892259669603164
LS_9,-0.05719581753352407,-0.056138923676941684
LS_1,0.11783715440841097,-0.03493354263071299
LS_42,-0.022862365760519254,-0.05508123421768763
LS_42,-0.004370506124651591,-0.12674886098662383
LS_1,0.09019192868367613,-0.03840069950375098
LS_26,0.025250239512924988,-0.13250109968432416
LS_42,-0.04706505648452847,-0.10329654326498758
LS_1,0.06694508466570709,0.08125513643602478
LS_10,0.2810513833221865,-0.017010440223329787
LS_1,0.06511065964531824,-0.01540469950800269
LS_10,0.05810927608501559,-0.03203423206447942
LS_1,0.13918108870446072,0.01670312708221333
LS_1,0.02800937102522638,0.02018372108544733
LS_20,0.0001689633752545716,-0.07584958894482217
LS_1,0.14978498212226926,0.015974079484840073
LS_39,0.09410465430845269,-0.09902202854102955
LS_3,-0.04358415745623945,-0.0537070110751994
LS_27,0.06027244923362596,0.04474426669770394
LS_42,0.05638634971195848,-0.11533814753448614
LS_9,-0.0009608643423731911,-0.02614461445377815
LS_42,0.05578690690050317,-0.05805893263557466
LS_14,-0.008557884693803086,-0.0743924403302997
LS_47,0.07098953093514813,-0.09197503891948876
LS_39,-0.001040016155384904,-0.1888316134528635
LS_39,0.16546278838648554,-0.0035976957033564405
LS_10,0.058503662353380975,-0.17995239002435276
LS_11,0.17460474351368102,-0.08788377588996504
LS_26,0.09254309478330652,-0.13588151611278423
LS_20,0.019678429003290338,-0.07911343115642978
LS_7,0.13266629307665115,-0.18008314316242807
LS_41,0.016428565663478903,-0.08737833829105648
LS_21,0.1191030496534711,-0.12138749765052954
LS_14,-0.04866587073802291,0.018683281331728793
LS_20,0.07887161313780813,-0.009280535439983792
LS_1,0.038422906632130216,-0.05775736405759676
LS_10,0.03290864025754375,-0.19715611924686194
LS_44,-0.030784265114842363,-0.10788717770196393
LS_11,0.20171702437273295,-0.023981295146652218
LS_39,0.0077038926134301855,-0.21184505957439853
LS_14,0.07962145409637944,-0.09831057216623477
LS_40,0.06867839601830669,-0.13767844857720526
LS_40,0.1345347448390543,-0.07275999405709725
LS_11,0.14394384026034396,-0.0365055965118303
LS_32,0.02035315897236653,-0.07308477936429458
LS_44,0.10298666468920836,-0.10110436603115193
LS_34,-0.03316781354535536,-0.10084330914895746
LS_39,0.12327144466091983,-0.0029394355556935925
LS_21,0.027378703859643166,-0.09283268809425876
LS_40,0.018400189631367164,-0.08906384240734294
LS_15,0.20961946582610133,-0.13609210103694985
LS_10,0.13870755877414614,-0.14231449838576382
LS_33,-0.0065912399733727145,-0.11575293121976334
LS_7,0.07550041886574974,-0.15537906151935146
LS_39,0.043831360645783246,-0.1673515827017728
LS_39,0.012177608017754499,-0.15472854749674414
LS_42,0.0694141593030704,0.06688395608728526
LS_26,-0.021929736435824188,-0.04469307518682202
LS_14,0.04274220725607206,-0.10737242601059369
LS_7,0.02137781484481352,-0.13655963722133238
LS_10,0.07348925514526197,-0.1741679355165134
LS_10,0.12583974875593962,-0.0627421129419733
LS_39,-0.010670081097329642,-0.16868485518415047
LS_10,0.039830098705644135,-0.10252258754762754
LS_27,-0.01831654079827455,-0.1077984852354176
LS_30,-0.035254473984652326,-0.050890101349004645
LS_40,0.06275438467004196,-0.10405090139185079
LS_27,-0.009492047995879438,-0.13591254337581118
LS_39,0.17603006355026912,0.06546532102740107
LS_14,-0.03863985215726884,-0.04899523812174753
LS_1,0.09182567296686796,-0.07002551984587474
LS_39,0.03672163789516181,-0.1483118814543441
LS_40,0.12485525500915712,-0.1231595996476654
LS_4,0.030666340800859324,-0.05046806814281511
LS_39,-0.05025144671157994,-0.05070751959549841
LS_27,0.1498450654447654,-0.1381003443489299
LS_7,0.04048536682970308,-0.12544287517978556
LS_40,0.09658222077535075,-0.07202003890254172
LS_14,0.008254779808311574,0.036451234499798646
LS_27,0.1846263171359794,-0.11062986886979259
LS_7,0.04615041050728208,-0.09272286642545437
LS_34,0.005104102278531392,-0.03335846171124773
LS_7,0.0785706496153254,-0.12434611938987317
LS_40,0.02902222310737501,-0.1507640501672601
LS_14,0.055878920301380086,0.009314067277493648
LS_39,0.07175727846341778,-0.1859254461950837
LS_7,0.0636096509455451,-0.18290442303134807
LS_16,-0.05980412967283272,-0.11013624119459335
LS_7,0.038694994358244694,-0.1552537046204393
LS_20,0.0179545163516667,-0.11953992005671417
LS_7,0.03295507554610899,-0.13525596502050619
LS_13,0.05615976857915542,-0.1022595439218097
LS_7,0.06632552766129435,-0.13036204076509064
LS_7,0.03157691440208904,-0.15848441024205676
LS_14,0.014044108783899667,-0.005609310280057525
LS_13,-0.020089830220287958,-0.12174804080474
LS_10,0.11953739348212519,-0.13303465188594513
LS_1,0.026397025121747214,-0.07289362312859571
LS_7,-0.0006923807005859706,-0.1612175964221921
LS_20,-0.05606673314021184,-0.05297281113628563
LS_11,0.16634294958459073,-0.02834133585910728
LS_39,0.06644507219615903,-0.18589467323973588
LS_16,-0.06068849918564259,-0.13528635192615718
LS_39,0.0766251445441066,-0.18800765161234964
LS_7,0.11764920773439116,-0.149922774357157
LS_7,-0.045488142461069414,-0.12577824931763207
LS_39,0.023893219069866634,-0.21049594001291186
LS_10,0.010742177508374973,-0.15591375836754784
LS_7,0.06123729734207797,-0.15780206776973488
LS_27,0.09057047770047666,-0.1578758676074444
LS_7,-0.06234274417991839,-0.1018110586509545
LS_39,0.14148877493303802,0.06607907458221968
LS_10,0.040580916214094404,-0.18371040631537658
LS_10,-0.07978468622292306,-0.18122796094567206
LS_7,0.11018564998857044,-0.12719002777436206
LS_34,0.0723652867269082,-0.0110091993777304
LS_11,0.19482209316324128,-0.08891399661196939
LS_5,0.22529786843257008,-0.06602706797048075
LS_39,0.08116430404069899,-0.1409085197927563
LS_7,0.0590537865036343,-0.11282164767020703
LS_26,-0.05700784535456663,-0.06563868183471169
LS_11,0.09225255673274148,-0.08576863819585186
LS_40,0.06904396644005406,-0.13006989011496317
LS_7,0.012610000850150571,-0.1757060669456067
LS_39,0.03075679918935484,-0.16976230254233132
LS_21,0.12652532673749775,-0.05909105743065546
LS_7,-0.010796338952471785,-0.15737893940893422
LS_16,-0.07470237462685592,-0.11599391793606172
LS_7,0.07852458927563671,-0.12091673066142404
LS_10,-0.020784248686507273,-0.07980313561464114
LS_2,0.08338733017855449,-0.04471247164755199
LS_7,0.029155237930419853,-0.12465738591788703
LS_7,0.00505803668009272,-0.09104890270282653
LS_34,0.008332215954128752,0.05143019133380369
LS_39,0.10168343862949536,-0.17526813367243876
LS_7,0.04787269215758655,-0.1366996467886925
LS_39,0.02899238811500282,-0.20340866025022883
LS_10,0.0027725960158565544,-0.1492188792518877
LS_14,4.4899207683912756e-05,-0.12282140848084934
LS_7,-0.007460962026810097,-0.10013957463686676
LS_40,0.09756663248563294,-0.0831056433823596
LS_34,0.09098618136380443,-0.09036640801436568
LS_34,-0.0035377399369905804,-0.1274143251926488
LS_27,0.03936441745973665,-0.04166283910288774
LS_7,0.06796946603140291,-0.14404301982544457
LS_40,0.14991320517229448,-0.10676852127712831
LS_30,-0.023014325230516663,-0.05724720974846365
LS_3,0.05478363836439376,0.003699054256358608
LS_14,0.12360439295278364,0.01477582751804915
LS_2,0.2150374003142932,-0.04271475772383884
LS_40,0.15291882271210547,-0.05461714522173508
LS_3,0.23963652979680122,-0.0825631615595446
LS_7,0.03994862409475458,-0.13597820712931485
LS_7,0.052280408671515566,-0.09930236050274581
LS_35,0.062416906490909654,-0.07480421505213782
LS_13,0.050495982794581534,-0.06490723811104593
LS_1,0.03731077828944994,-0.05038413203411023
LS_7,0.03148670685596955,-0.16590138199937893
LS_14,0.121808112275676,-0.11104299205256547
LS_7,0.008452252707995433,-0.11941525766540272
LS_2,0.22152574180011944,0.04129252009747625
LS_1,0.05645491092830182,-0.07659432638639187
LS_20,0.11129427863311137,-0.06816134697539494
LS_39,0.042971237914635196,-0.1141253483345319
LS_7,-0.018454359489464056,-0.1370190964532564
LS_10,0.12456209547170638,-0.00011677394244866135
LS_40,0.04692230087881874,-0.08045793979780747
LS_9,0.011771066674589298,-0.10390784610764252
LS_7,0.03553315092454379,-0.11628254527327406
LS_34,0.008282193146298883,0.027858471399419063
LS_41,0.040885646053342606,-0.0462439054225778
LS_14,0.013552869487012509,0.012492512780272302
LS_1,0.017222053458416528,-0.0732567631549915
LS_10,0.16749001758828913,-0.04479160453295733
LS_20,0.021948583007088907,-0.07803754607005099
LS_7,0.0611487263189652,-0.17239488418132193
LS_7,0.02026704010438879,-0.1177941613616305
LS_39,0.045941968380928316,-0.18444193472240217
LS_30,-0.013927326144546337,-0.08218480832407166
LS_34,0.024634560836653163,-0.0920392399375693
LS_7,0.08777500296677643,-0.1542227134544979
LS_5,0.04134615426685384,-0.06973141935453672
LS_10,0.004177429014110751,-0.17001331876972253
LS_40,0.01623275163648935,-0.10848396711509602
LS_7,0.08113205423031689,-0.16484480981547464
LS_20,0.025957927908948686,-0.0936071373043623
LS_39,-0.008538138087472225,-0.09295446869806871
LS_7,-0.031675207276366635,-0.18833965477085512
LS_40,0.15813038596970208,-0.19021446624554023
LS_23,0.14944687078963437,-0.038801020130339106
LS_23,0.19956024270889877,0.1556375229474214
LS_7,0.03931344176640286,-0.1913911188995489
LS_10,-0.019774035970994447,-0.1567129095229145
LS_13,0.05396398855103651,-0.09901465083651041
LS_20,0.07968855785015433,-0.10300394834764212
LS_11,0.09038365902833646,-0.05643504633564331
LS_14,-0.08942720966954384,0.008544429425282545
LS_11,0.19598725337051381,0.1949977882433339
LS_42,0.07223220774711314,-0.05429374960656957
LS_16,0.003597194312984109,-0.10115329630704106
LS_1,0.016838274351782062,-0.06150192835340939
LS_27,0.02308571696905909,-0.09421357253390684
LS_11,0.08779904334249986,-0.10593098204340838
LS_20,0.09494012717474978,0.004977630668572652
LS_40,0.07362184874243011,-0.0747459466575686
LS_13,0.07235027930609675,-0.12337325956664737
LS_40,0.14150262122184473,-0.13926738705980307
LS_40,0.07303081730163422,-0.15053228339706462
LS_7,0.061645748137376,-0.13400769094044196
LS_14,0.2050980966808318,-0.03181361152006848
LS_39,0.29869710534671334,-0.05186791523780418
LS_10,-0.0018734449455486413,-0.12946234251835242
LS_7,-0.022605701422342944,-0.11004296912902506
LS_20,-0.07486803136583134,-0.09670293321170567
LS_39,-0.019002058830082436,-0.2021670034240978
LS_39,-0.019292068902145326,-0.1643938998462323
LS_7,0.09269130634216358,0.109319090167633
LS_16,0.009302330700727363,-0.06873214913212605
LS_14,0.039148417457851914,-0.03973838711598121
LS_46,0.10472958535572238,-0.012903626115006062
LS_7,0.008574807351372393,-0.11372933487513075
LS_40,0.10172853977318008,-0.13486779771437807
LS_27,0.1263439745360049,-0.10586234923547043
LS_16,-0.02180059310454524,-0.12301788968521182
LS_39,0.14029194232613582,0.06296057148786885
LS_7,0.03409477183402718,-0.17269823401542886
LS_21,0.0445624420654028,-0.1628873178649647
LS_37,0.09404289975519972,-0.038683054319763266
LS_18,0.037900794265616655,-0.16312010697241108
LS_7,0.03361947286020536,-0.10869950170796287
LS_20,0.18986042570666828,0.11836894784752303
LS_7,0.07533522995832309,-0.1633914988321632
LS_30,0.13619821999136794,-0.02039474937902038
LS_39,0.05319221334612531,-0.11816911876192158
LS_7,-0.014383521131289878,-0.16034490898639037
LS_10,0.10402497385433626,-0.1396469755159092
LS_7,0.06797361360754489,-0.1564093936936127
LS_2,0.24518126011026245,0.1732261063114237
LS_39,0.0455016364136247,-0.1362767175650497
LS_39,-0.0553288319106269,-0.16413404392896835
LS_29,0.03112612698799261,-0.1610666314927105
LS_3,0.002043621777370691,-0.155782761833159
LS_20,0.05096018633173291,-0.18712822345093483
LS_14,0.08821947777734701,0.051535570633486544
LS_20,0.0914955528307658,-0.11590233966396443
LS_27,-0.04783441634555477,-0.0706698431048654
LS_16,-0.0015970061296663451,-0.13597756868625785
LS_7,0.013761258499991103,-0.11716560699204684
LS_7,-0.0030002078636638396,-0.1488496473763531
LS_40,0.05566880957364442,-0.0964775582540781
LS_7,0.040395544749960155,-0.16367060038745543
LS_40,0.19789010156505787,-0.1100006408897486
LS_7,0.06810194341019557,-0.18026781920109833
LS_10,0.037141807289007844,-0.17764436729782296
LS_23,0.025327694590242256,-0.07602070234165462
LS_7,0.007383322893242089,-0.1942317946685408
LS_34,0.004441635977442959,-0.007051554661131498
LS_2,0.24550406532508465,0.108021701869113
LS_26,-0.09892992845802949,-0.13570154421499084
LS_4,0.06043132027877668,-0.0997691374752937
LS_12,0.0436734582623865,-0.05417278928844094
LS_3,0.027508040712922954,-0.08201445882637731
LS_6,0.09366119969538628,-0.052481643416531665
LS_27,0.1340727846846621,0.0014568661716578835
LS_3,0.06100142767911182,-0.016399084123209673
LS_18,0.019853181210568616,-0.11856614537085274
LS_42,0.06278406084816354,0.00293810359376398
LS_4,0.10375319429097307,-0.053273272227700535
LS_12,0.08489298603572165,-0.01939230749626153
LS_10,0.10771420260319736,-0.060647038341130444
