marker,cd96,val,subtype
CD9,8.106460629737107,6.039237492219561,PML-RARA
CD9,7.98472265816668,6.263501204782318,PML-RARA
CD9,5.828530208112311,2.7977655893899382,Other
CD9,7.646354148212291,4.4744118399707125,t(8;21)
CD9,3.97225046046108,1.8564492085056987,Other
CD9,7.52504099621356,3.2452873890115606,t(8;21)
CD9,7.939680117612997,3.910586195881769,Other
CD9,4.048179612823151,3.182574992877693,inv(16)
CD9,7.96492828779512,5.5510044534562795,Other
CD9,8.676316859606585,2.2441141533559437,t(8;21)
CD9,1.8501880800958566,5.271951551937767,Other
CD9,5.02396000968743,3.4804672665887817,t(8;21)
CD9,2.805888192592566,4.119016809345962,CN
CD9,6.172939930064597,6.41915009466845,PML-RARA
CD9,5.279343486911292,7.36657533986671,KMT2Ar
CD9,6.565959301910762,5.007161769332382,Other
CD9,5.004921585950841,3.0019027235103533,Other
CD9,8.686100533489377,1.8154258604161422,CN
CD9,7.609955303125314,1.7097202762696018,NUP98r
CD9,5.698686550241212,3.303708592062307,CN
CD9,6.630291969685213,5.367450272799708,Other
CD9,3.4124618977265055,4.267018710741101,CN
CD9,1.8007211035335262,5.182710594479676,KMT2Ar
CD9,5.839894885129104,2.209710656866375,Other
CD9,7.0435279617573725,3.7960075117889738,Other
CD9,3.4584465002333094,4.911381108809667,Other
CD9,5.678500282333082,6.720498759450338,inv(16)
CD9,2.2463326882954657,2.2658319359367836,KMT2Ar
CD9,5.112206605346362,3.1632178083202525,Other
CD9,5.762241382592485,5.477813136971054,t(8;21)
CD9,7.27058959559094,1.8017900159276579,Other
CD9,4.526312659402557,4.724238806059395,KMT2Ar
CD9,7.637218069398485,1.3117189658500452,Other
CD9,2.638601715379129,5.756985023917511,Other
CD9,3.4358653742746026,4.744045980669542,KMT2Ar
CD9,5.552866192902695,1.8774124177026987,t(8;21)
CD9,9.629422949611468,1.5776102488641084,CN
CD9,1.472771252917752,5.835321186830669,KMT2Ar
CD9,8.058296093448178,6.240130325963952,PML-RARA
CD9,8.143128724417318,3.9013268666553853,t(8;21)
CD9,4.867657007648095,1.902309815229367,CN
CD9,8.114983451275217,5.3521879982943945,CN
CD9,6.103120660813604,4.393605275782814,CN
CD9,7.771481456732143,6.324163988757749,PML-RARA
CD9,5.118757628801284,6.474459899316199,inv(16)
CD9,5.4261579221663,1.8579017924542822,CN
CD9,5.25937339813517,2.0599920836980665,t(8;21)
CD9,5.710815535096467,6.329949650348165,inv(16)
CD9,8.869607562317949,3.125204082127174,CN
CD9,8.859816964713879,1.2781213384656747,CN
CD9,7.626386965998754,2.0834133849127947,t(8;21)
CD9,5.680786830346481,6.355525335203356,inv(16)
CD9,2.2259963571262373,3.4209962945574723,KMT2Ar
CD9,5.908068516137354,6.784793801360203,t(8;21)
CD9,5.946547083851016,6.5330588566903405,Other
CD9,3.7893502680349007,2.1962243537228017,CN
CD9,3.0254055559783417,7.525514562920602,KMT2Ar
CD9,7.421700610778571,2.9972867629773297,Other
CD9,7.664085430897609,3.486240033231336,t(8;21)
CD9,3.455024927209636,5.391779565717658,Other
CD9,8.143837391299881,7.632965364969281,PML-RARA
CD9,6.136671485475215,2.8934930375772496,Other
CD9,4.623766867502626,8.031712159259465,Other
CD9,7.383587652093152,3.2454399738139856,CN
CD9,3.0878987584283224,6.308658257492416,inv(16)
CD9,7.176572974059979,5.339107653609109,PML-RARA
CD9,5.418393825767486,0.7637832673515859,t(8;21)
CD9,1.2500824348009127,2.69508237459513,KMT2Ar
CD9,7.445145650681248,3.2346038105407513,Other
CD9,6.30100579863769,1.7686187355988388,CN
CD9,7.9384755464047085,0.7071441016622915,t(8;21)
CD9,4.125924650076125,6.263071373438239,KMT2Ar
CD9,8.686494799241121,5.406280563324759,t(8;21)
CD9,5.079700548265173,7.0027447464166075,inv(16)
CD9,7.4960016027975716,3.6345847636049804,t(8;21)
CD9,2.6388762510719004,5.177806068642868,Other
CD9,3.437934218460819,4.814107346948158,KMT2Ar
CD9,6.8267173827888135,4.017334043710408,KMT2Ar
CD9,3.780494485209641,5.075727679464005,Other
CD9,1.538271993112098,8.13823072929669,Other
CD9,6.4658786759931655,3.202933039338667,CN
CD9,8.249401317632707,3.063069204992212,Other
CD9,5.306904858453265,6.177099674568557,inv(16)
CD9,8.04049457698583,5.259086634825105,CN
CD9,4.257192177797509,4.672918354304805,Other
CD9,3.061333204447309,5.867357239440325,KMT2Ar
CD9,4.7786384963785515,6.137750056052867,inv(16)
CD9,5.9317635404317715,2.463890994518682,t(8;21)
CD9,0.25417953776979824,6.664195188935245,Other
CD9,4.067269649696735,1.0098799123468534,CN
CD9,7.80051737896007,3.339811485608875,t(8;21)
CD9,3.1817662691387025,3.4635634879646595,KMT2Ar
CD9,6.202759261897176,3.808511482622902,t(8;21)
CD9,7.8495687894649775,1.6718704233764097,Other
CD9,4.760730831167432,5.177599359546251,CN
CD9,7.246941254914325,4.175545372296442,t(8;21)
CD9,6.0240174401658075,3.35445111138902,CN
CD9,3.8462144245570022,7.009197584244128,CN
CD9,3.4603762573524994,3.513682237179503,KMT2Ar
CD9,8.276116869091073,7.495678003321354,NUP98r
CD9,8.130686480865625,3.1319855786031923,CN
CD9,3.5009917977374974,4.4891467707254575,KMT2Ar
CD9,3.901765353939945,2.6377538244084118,t(8;21)
CD9,3.064272671021901,7.300591361994273,inv(16)
CD9,1.2485444839838902,6.142631676575317,Other
CD9,3.727778794124088,2.6096662313794825,KMT2Ar
CD9,3.239138986439916,8.438223790527934,inv(16)
CD9,2.5928607523523097,2.767914791229178,KMT2Ar
CD9,5.1549206832913175,2.748167096936428,t(8;21)
CD9,2.971121307875433,4.537567042875092,Other
CD9,5.826654687723509,5.900249359887732,Other
CD9,6.444978516216486,4.9507117883394525,KMT2Ar
CD9,3.9078183620712394,2.4072550745557457,Other
CD9,5.210491214806115,3.0764117949560745,CN
CD9,2.663589419649844,7.1031297993590865,KMT2Ar
CD9,3.186324167411635,2.78687815562632,CN
CD9,7.547795500332256,1.948021252419481,t(8;21)
CD9,2.5484818109589487,3.506113803874111,CN
CD9,6.117870947771688,5.787181170575046,CN
CD9,6.06521872455309,3.5493583885070015,KMT2Ar
CD9,5.6014417540797625,5.512652567886393,inv(16)
CD9,6.589371803994721,3.2512596402892013,CN
CD9,6.272884799277186,3.4513170284553727,Other
CD9,5.760112587407365,8.013070834876109,inv(16)
CD9,3.8394201273951793,5.829026131088882,inv(16)
CD9,6.414340784765959,3.0562679917051216,Other
CD9,3.304934313460325,1.2696328628594533,Other
CD9,7.2287052051350775,3.968738113820004,Other
CD9,2.4668064247246866,4.250894820408487,KMT2Ar
CD9,6.907162016018625,5.1718511932458595,t(8;21)
CD9,6.765487221224087,4.779147137878771,NUP98r
CD9,8.888709147771577,5.38107491468045,Other
CD9,5.961351010751433,7.208054378618716,inv(16)
CD9,7.258069407074864,3.040012101635577,t(8;21)
CD9,4.699897860472221,4.651612103957952,CN
CD9,5.850581274163074,3.84234800137207,KMT2Ar
CD9,5.2400607894930555,3.854199191468451,KMT2Ar
CD9,7.333069842845707,5.146707115933397,NUP98r
CD9,8.346225893828018,1.1593665840132603,CN
CD9,6.021624045485473,5.461154031146921,KMT2Ar
CD9,4.977753431568956,4.379239124051513,Other
CD9,5.511259072790095,3.5371855576011066,t(8;21)
CD9,8.161480263324192,6.252804969538473,Other
CD9,8.223742823038446,6.623547519974986,Other
CD9,6.655982172553703,3.6298214753248277,Other
CD9,2.563718358373207,7.4406147428206815,CN
CD9,6.936321616250519,6.796139079892249,inv(16)
CD9,4.22330992006407,5.106805023742053,KMT2Ar
CD9,5.37834797473097,2.462205961713065,Other
CD9,6.581932397012417,0.3515494166830042,t(8;21)
CD9,6.472040042417919,3.6552258841823444,Other
CD9,7.7307719880531165,2.887464922559872,t(8;21)
CD9,3.459129046182523,5.236308093388075,KMT2Ar
CD9,5.884656752306655,6.646595140063096,inv(16)
CD9,2.469882221751858,4.925828878449744,Other
CD9,2.699197968420589,1.1387500617717177,Other
CD9,6.7627524039520654,2.831625829969422,Other
CD9,8.5608575724315,6.923209120899892,PML-RARA
CD9,3.7545584832373,4.798335105049309,Other
CD9,2.340735058377408,0.9606713626919237,Other
CD9,2.4891952129560746,4.187875548947788,Other
CD9,2.4964427265088007,5.897269967416965,CN
CD9,0.6047748594309773,3.996341798175147,KMT2Ar
CD9,2.3050537017143884,4.852809344174766,CN
CD9,6.439266019198269,4.37275251483044,NUP98r
CD9,1.5251858342925304,3.9997301096482003,CN
CD9,4.169917091075157,6.158497387742531,inv(16)
CD9,2.1466459027153997,6.661059833305237,Other
CD9,5.94310947153714,0.8653284281224799,CN
CD9,0.8622347435265756,2.4717745896561722,CN
CD9,8.331857596279944,6.271640858868157,PML-RARA
CD9,4.336159023104609,0.866142439754784,Other
CD9,5.510091282863253,3.051650894867779,t(8;21)
CD9,5.754715259279735,5.981169329808415,inv(16)
CD9,8.289219214989222,0.15703650368654296,CN
CD9,3.5069441406362696,2.368925264607156,Other
CD9,7.319635903997648,3.434665524999751,CN
CD9,4.555091798616468,6.69036462445835,inv(16)
CD9,3.445618257572025,5.073890809548282,KMT2Ar
CD9,1.0424425172943563,6.60527496838779,Other
CD9,6.079794426473452,4.642562095269248,inv(16)
CD9,8.706601167889684,3.2122839884920795,CN
CD9,4.7474990703184545,4.21902596000122,Other
CD9,4.2798152186150915,6.531208510748681,Other
CD9,6.762578135404846,3.22248266170206,t(8;21)
CD9,7.129995622864576,2.9439427658547124,Other
CD9,5.497719712079719,7.124099032435164,inv(16)
CD9,2.7641600602650063,2.888550810566257,Other
CD9,3.38634811488439,7.775917179719376,KMT2Ar
CD9,4.841084043359573,4.712680357804922,KMT2Ar
CD9,6.674788636727665,3.460561125304483,t(8;21)
CD9,7.386072733638435,4.417583317863452,Other
CD9,7.298205407675573,4.913655940009716,Other
CD9,7.343845368648669,6.61671550334699,PML-RARA
CD9,7.113205624210808,3.6440463724284586,CN
CD9,3.3865786136725027,4.614113965727047,CN
CD9,5.474724884575827,3.7518867575809387,Other
CD9,6.402358560264159,2.593875082034763,t(8;21)
CD9,2.1833529024119094,5.771500918932361,KMT2Ar
CD9,8.233791602638977,1.5460817953823003,CN
CD9,2.6023722881665043,6.495913744916729,inv(16)
CD9,2.7954015351388146,3.7099428709082884,KMT2Ar
CD9,6.6476299676000075,3.1111940498708126,t(8;21)
CD9,7.614187392326574,4.277096420928243,t(8;21)
CD9,9.256565294723037,5.926659256948622,CN
CD9,1.2837187756626836,1.9999055752714079,CN
CD9,3.5463239666605104,6.720159623089291,KMT2Ar
CD9,4.404523377507141,4.443665968860058,KMT2Ar
CD9,7.460034363428628,3.5571046433524534,t(8;21)
CD9,6.964617511109604,3.2262764924491583,NUP98r
CD9,6.453365983472721,3.0855054780595497,KMT2Ar
CD9,7.158842360384761,2.431725689415322,t(8;21)
CD9,4.1378923780692505,2.0530080503913917,Other
CD9,8.184815754679029,5.708811593811781,PML-RARA
CD9,5.713162329146599,6.247873551194275,Other
CD9,3.4026083623030705,5.15698885099674,Other
CD9,2.1027774140318596,6.452748179519427,KMT2Ar
CD9,4.249150914744856,1.134286066506052,Other
CD9,7.2377226459846735,3.663373979623707,t(8;21)
CD9,4.05577640654572,7.281288158096972,inv(16)
CD9,6.362780804864956,2.2843129570226473,t(8;21)
CD9,7.233626454179169,3.851597678534775,t(8;21)
CD9,7.565279940155798,3.8246273108435225,t(8;21)
CD9,4.771700930262206,3.3500894397289422,Other
CD9,7.848031104357099,5.899603020359738,PML-RARA
CD9,1.8191477102478424,3.757567311868812,KMT2Ar
CD9,8.572379355217528,2.919914749820778,t(8;21)
CD9,8.442917145913018,3.3603001837904305,t(8;21)
CD9,7.469419728767902,3.437698416668663,inv(16)
CD9,7.556391259919856,6.542178741401735,PML-RARA
CD9,5.910110482029686,2.4795004277189485,CN
CD9,8.026339432920032,1.8550522904813,Other
CD9,8.373635069305676,3.361101728047022,t(8;21)
CD9,2.150829413526857,4.968218241912786,CN
CD9,6.358171627072956,5.295203493163717,inv(16)
CD9,7.205993410741789,6.955109469843285,CN
CD9,4.436577718710232,4.362003286887785,KMT2Ar
CD9,8.744867860155955,3.4152947057065055,CN
CD9,3.5568160590709894,3.8156550427398472,Other
CD9,7.054931094428286,2.2639662291953666,t(8;21)
CD9,5.127856789284953,3.7754256701415345,Other
CD9,7.865217040176527,1.1482288340935092,CN
